version,engine_and_version,engine,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
3.2,ft3.2,ft,oltp,2000000,1,10,63.00,295.11,41.16,21.00,1
3.2,ft3.2,ft,oltp,2000000,1,20,159.60,744.70,26.40,53.20,1
3.2,ft3.2,ft,oltp,2000000,1,30,186.00,868.20,25.24,62.00,1
3.2,ft3.2,ft,oltp,2000000,1,40,182.70,852.50,23.22,60.90,1
3.2,ft3.2,ft,oltp,2000000,1,50,184.20,859.70,25.43,61.40,1
3.2,ft3.2,ft,oltp,2000000,1,60,165.80,773.00,22.89,55.20,1
3.2,ft3.2,ft,oltp,2000000,1,70,183.70,857.90,23.05,61.30,1
3.2,ft3.2,ft,oltp,2000000,1,80,166.80,778.60,25.39,55.60,1
3.2,ft3.2,ft,oltp,2000000,1,90,184.50,860.70,25.30,61.50,1
3.2,ft3.2,ft,oltp,2000000,1,100,184.50,860.20,25.46,61.50,1
3.2,ft3.2,ft,oltp,2000000,1,110,209.10,977.00,17.49,69.70,1
3.2,ft3.2,ft,oltp,2000000,1,120,228.80,1066.80,17.08,76.20,1
3.2,ft3.2,ft,oltp,2000000,1,130,226.60,1058.00,17.58,75.60,1
3.2,ft3.2,ft,oltp,2000000,1,140,225.30,1051.70,17.81,75.10,1
3.2,ft3.2,ft,oltp,2000000,1,150,212.40,991.10,18.76,70.80,1
3.2,ft3.2,ft,oltp,2000000,1,160,197.70,922.70,19.25,65.90,1
3.2,ft3.2,ft,oltp,2000000,1,170,199.20,929.40,19.32,66.40,1
3.2,ft3.2,ft,oltp,2000000,1,180,196.20,915.50,19.32,65.40,1
3.2,ft3.2,ft,oltp,2000000,1,190,193.80,904.50,19.20,64.60,1
3.2,ft3.2,ft,oltp,2000000,1,200,198.90,928.10,18.72,66.30,1
3.2,ft3.2,ft,oltp,2000000,1,210,196.20,915.70,19.05,65.40,1
3.2,ft3.2,ft,oltp,2000000,1,220,192.90,900.10,19.61,64.30,1
3.2,ft3.2,ft,oltp,2000000,1,230,191.20,892.20,19.81,63.70,1
3.2,ft3.2,ft,oltp,2000000,1,240,196.40,916.60,19.57,65.50,1
3.2,ft3.2,ft,oltp,2000000,1,250,199.20,929.70,19.02,66.40,1
3.2,ft3.2,ft,oltp,2000000,1,260,199.50,930.00,19.43,66.50,1
3.2,ft3.2,ft,oltp,2000000,1,270,195.30,912.40,19.51,65.10,1
3.2,ft3.2,ft,oltp,2000000,1,280,197.10,920.00,19.31,65.70,1
3.2,ft3.2,ft,oltp,2000000,1,290,198.00,923.80,18.97,66.00,1
3.2,ft3.2,ft,oltp,2000000,1,300,192.00,896.30,19.72,64.00,1
3.2,ft3.2,ft,oltp,2000000,1,310,190.20,887.40,19.92,63.40,1
3.2,ft3.2,ft,oltp,2000000,1,320,194.70,908.50,19.65,64.90,1
3.2,ft3.2,ft,oltp,2000000,1,330,194.70,908.80,19.32,64.90,1
3.2,ft3.2,ft,oltp,2000000,1,340,194.70,908.60,19.73,64.90,1
3.2,ft3.2,ft,oltp,2000000,1,350,193.80,904.20,19.57,64.60,1
3.2,ft3.2,ft,oltp,2000000,1,360,192.30,897.30,19.59,64.10,1
3.2,ft3.2,ft,oltp,2000000,1,370,195.60,912.90,19.24,65.20,1
3.2,ft3.2,ft,oltp,2000000,1,380,189.00,881.90,20.20,63.00,1
3.2,ft3.2,ft,oltp,2000000,1,390,184.50,861.20,20.92,61.50,1
3.2,ft3.2,ft,oltp,2000000,1,400,185.40,865.10,20.28,61.80,1
3.2,ft3.2,ft,oltp,2000000,1,410,185.40,865.20,20.44,61.80,1
3.2,ft3.2,ft,oltp,2000000,1,420,187.80,876.30,19.89,62.60,1
3.2,ft3.2,ft,oltp,2000000,1,430,188.70,880.70,20.31,62.90,1
3.2,ft3.2,ft,oltp,2000000,1,440,183.30,855.70,20.84,61.10,1
3.2,ft3.2,ft,oltp,2000000,1,450,180.90,843.90,20.93,60.30,1
3.2,ft3.2,ft,oltp,2000000,1,460,181.20,845.80,20.84,60.40,1
3.2,ft3.2,ft,oltp,2000000,1,470,180.30,841.40,21.09,60.10,1
3.2,ft3.2,ft,oltp,2000000,1,480,181.50,846.60,20.76,60.50,1
3.2,ft3.2,ft,oltp,2000000,1,490,182.70,851.90,20.77,60.90,1
3.2,ft3.2,ft,oltp,2000000,1,500,183.30,856.00,20.54,61.10,1
3.2,ft3.2,ft,oltp,2000000,1,510,181.80,848.80,20.77,60.60,1
3.2,ft3.2,ft,oltp,2000000,1,520,182.10,849.90,20.57,60.70,1
3.2,ft3.2,ft,oltp,2000000,1,530,186.40,869.50,20.40,62.10,1
3.2,ft3.2,ft,oltp,2000000,1,540,185.60,866.50,20.61,61.90,1
3.2,ft3.2,ft,oltp,2000000,1,550,186.30,869.30,20.19,62.10,1
3.2,ft3.2,ft,oltp,2000000,1,560,187.80,876.30,20.32,62.60,1
3.2,ft3.2,ft,oltp,2000000,1,570,187.20,873.60,20.36,62.40,1
3.2,ft3.2,ft,oltp,2000000,1,580,185.10,863.70,20.32,61.70,1
3.2,ft3.2,ft,oltp,2000000,1,590,188.40,879.20,20.29,62.80,1
3.2,ft3.2,ft,oltp,2000000,1,600,188.40,878.30,20.05,62.80,1
3.2,ft3.2,ft,oltp,2000000,128,10,1703.88,8089.72,357.95,565.29,128
3.2,ft3.2,ft,oltp,2000000,128,20,2169.50,10126.60,311.07,723.40,128
3.2,ft3.2,ft,oltp,2000000,128,30,1788.80,8334.21,416.12,595.10,128
3.2,ft3.2,ft,oltp,2000000,128,40,1684.80,7872.59,425.57,562.50,128
3.2,ft3.2,ft,oltp,2000000,128,50,1546.40,7207.81,516.66,514.70,128
3.2,ft3.2,ft,oltp,2000000,128,60,1487.90,6940.20,520.08,495.80,128
3.2,ft3.2,ft,oltp,2000000,128,70,1441.30,6733.60,530.77,480.90,128
3.2,ft3.2,ft,oltp,2000000,128,80,1405.60,6556.00,541.85,468.40,128
3.2,ft3.2,ft,oltp,2000000,128,90,1355.50,6320.20,619.61,451.40,128
3.2,ft3.2,ft,oltp,2000000,128,100,1300.80,6070.60,622.03,433.50,128
3.2,ft3.2,ft,oltp,2000000,128,110,1240.20,5785.20,656.07,413.20,128
3.2,ft3.2,ft,oltp,2000000,128,120,1256.20,5861.80,635.39,418.70,128
3.2,ft3.2,ft,oltp,2000000,128,130,1271.50,5941.50,623.14,424.40,128
3.2,ft3.2,ft,oltp,2000000,128,140,1246.40,5811.90,643.23,415.20,128
3.2,ft3.2,ft,oltp,2000000,128,150,1236.30,5760.90,658.23,411.50,128
3.2,ft3.2,ft,oltp,2000000,128,160,1219.70,5703.60,635.58,407.30,128
3.2,ft3.2,ft,oltp,2000000,128,170,1196.50,5582.00,710.23,398.80,128
3.2,ft3.2,ft,oltp,2000000,128,180,1195.70,5582.00,715.78,398.80,128
3.2,ft3.2,ft,oltp,2000000,128,190,1183.40,5518.20,676.41,394.10,128
3.2,ft3.2,ft,oltp,2000000,128,200,1171.50,5462.00,715.14,390.10,128
3.2,ft3.2,ft,oltp,2000000,128,210,1151.70,5381.20,724.18,384.40,128
3.2,ft3.2,ft,oltp,2000000,128,220,1123.90,5245.50,725.92,374.70,128
3.2,ft3.2,ft,oltp,2000000,128,230,1135.30,5296.30,722.88,378.30,128
3.2,ft3.2,ft,oltp,2000000,128,240,1147.50,5362.30,720.72,383.00,128
3.2,ft3.2,ft,oltp,2000000,128,250,1151.40,5366.00,723.75,383.30,128
3.2,ft3.2,ft,oltp,2000000,128,260,1151.30,5372.00,719.43,383.70,128
3.2,ft3.2,ft,oltp,2000000,128,270,1148.00,5360.60,724.62,382.90,128
3.2,ft3.2,ft,oltp,2000000,128,280,1145.50,5339.00,722.24,381.30,128
3.2,ft3.2,ft,oltp,2000000,128,290,1123.80,5252.50,722.45,375.20,128
3.2,ft3.2,ft,oltp,2000000,128,300,1144.00,5334.60,722.67,381.10,128
3.2,ft3.2,ft,oltp,2000000,128,310,1131.40,5284.10,723.32,377.40,128
3.2,ft3.2,ft,oltp,2000000,128,320,1114.70,5201.80,728.97,371.50,128
3.2,ft3.2,ft,oltp,2000000,128,330,1129.10,5263.90,723.75,376.10,128
3.2,ft3.2,ft,oltp,2000000,128,340,1138.90,5318.50,721.37,379.80,128
3.2,ft3.2,ft,oltp,2000000,128,350,1147.20,5352.50,723.75,382.50,128
3.2,ft3.2,ft,oltp,2000000,128,360,1133.40,5279.48,722.67,377.00,128
3.2,ft3.2,ft,oltp,2000000,128,370,1135.70,5309.72,720.72,379.20,128
3.2,ft3.2,ft,oltp,2000000,128,380,1137.40,5311.49,721.37,379.40,128
3.2,ft3.2,ft,oltp,2000000,128,390,1117.20,5204.40,732.03,371.70,128
3.2,ft3.2,ft,oltp,2000000,128,400,1123.80,5252.10,723.10,375.30,128
3.2,ft3.2,ft,oltp,2000000,128,410,1123.70,5243.21,722.45,374.50,128
3.2,ft3.2,ft,oltp,2000000,128,420,1123.50,5235.69,722.88,373.90,128
3.2,ft3.2,ft,oltp,2000000,128,430,1093.90,5110.50,727.01,365.00,128
