distribution,version,engine,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
uniform,psmdb-3.2,ft,oltp,2000000,1,10,9.30,44.60,760.62,3.10,1
uniform,psmdb-3.2,ft,oltp,2000000,1,20,94.50,440.20,49.40,31.50,1
uniform,psmdb-3.2,ft,oltp,2000000,1,30,275.10,1284.70,17.30,91.70,1
uniform,psmdb-3.2,ft,oltp,2000000,1,40,347.40,1621.30,10.94,115.80,1
uniform,psmdb-3.2,ft,oltp,2000000,1,50,357.00,1664.80,9.87,119.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,60,359.40,1678.30,9.51,119.80,1
uniform,psmdb-3.2,ft,oltp,2000000,1,70,367.70,1715.11,9.24,122.50,1
uniform,psmdb-3.2,ft,oltp,2000000,1,80,361.90,1688.69,10.04,120.70,1
uniform,psmdb-3.2,ft,oltp,2000000,1,90,369.90,1726.21,9.02,123.30,1
uniform,psmdb-3.2,ft,oltp,2000000,1,100,371.70,1735.60,8.68,123.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,110,370.80,1729.30,8.73,123.60,1
uniform,psmdb-3.2,ft,oltp,2000000,1,120,372.20,1737.20,8.90,124.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,130,375.40,1752.40,8.99,125.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,140,372.90,1740.50,8.83,124.30,1
uniform,psmdb-3.2,ft,oltp,2000000,1,150,367.20,1712.30,8.89,122.40,1
uniform,psmdb-3.2,ft,oltp,2000000,1,160,366.10,1709.40,9.65,122.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,170,366.80,1711.00,8.71,122.30,1
uniform,psmdb-3.2,ft,oltp,2000000,1,180,362.00,1689.60,10.07,120.60,1
uniform,psmdb-3.2,ft,oltp,2000000,1,190,366.40,1709.90,8.98,122.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,200,367.20,1714.40,8.72,122.40,1
uniform,psmdb-3.2,ft,oltp,2000000,1,210,367.20,1713.70,8.80,122.40,1
uniform,psmdb-3.2,ft,oltp,2000000,1,220,367.50,1714.80,8.82,122.50,1
uniform,psmdb-3.2,ft,oltp,2000000,1,230,366.30,1709.50,8.88,122.10,1
uniform,psmdb-3.2,ft,oltp,2000000,1,240,378.00,1763.10,8.58,126.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,250,361.80,1689.20,10.37,120.60,1
uniform,psmdb-3.2,ft,oltp,2000000,1,260,366.00,1707.20,9.14,122.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,270,368.10,1718.50,8.84,122.70,1
uniform,psmdb-3.2,ft,oltp,2000000,1,280,369.30,1722.50,9.74,123.10,1
uniform,psmdb-3.2,ft,oltp,2000000,1,290,371.40,1734.20,8.66,123.80,1
uniform,psmdb-3.2,ft,oltp,2000000,1,300,373.80,1744.40,8.98,124.60,1
uniform,psmdb-3.2,ft,oltp,2000000,1,310,371.40,1732.91,8.75,123.80,1
uniform,psmdb-3.2,ft,oltp,2000000,1,320,378.00,1764.40,8.77,126.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,330,372.90,1739.51,8.84,124.30,1
uniform,psmdb-3.2,ft,oltp,2000000,1,340,371.40,1733.59,8.84,123.80,1
uniform,psmdb-3.2,ft,oltp,2000000,1,350,372.60,1739.00,8.77,124.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,360,375.00,1750.00,8.54,125.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,370,366.30,1709.30,8.96,122.10,1
uniform,psmdb-3.2,ft,oltp,2000000,1,380,366.30,1709.70,8.81,122.10,1
uniform,psmdb-3.2,ft,oltp,2000000,1,390,365.70,1705.50,8.88,121.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,400,366.60,1711.10,8.92,122.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,410,378.00,1764.70,8.66,126.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,420,374.70,1748.60,8.95,124.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,430,368.70,1720.10,8.84,122.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,440,366.60,1711.19,8.84,122.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,450,368.70,1720.70,8.84,122.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,460,368.70,1720.70,9.04,122.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,470,362.10,1689.80,10.10,120.70,1
uniform,psmdb-3.2,ft,oltp,2000000,1,480,370.50,1728.70,8.82,123.50,1
uniform,psmdb-3.2,ft,oltp,2000000,1,490,369.60,1724.80,8.76,123.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,500,365.70,1706.80,10.03,121.90,1
uniform,psmdb-3.2,ft,oltp,2000000,1,510,366.60,1710.41,8.81,122.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,520,366.00,1707.40,9.02,122.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,530,368.40,1719.90,9.32,122.80,1
uniform,psmdb-3.2,ft,oltp,2000000,1,540,366.30,1709.60,8.93,122.10,1
uniform,psmdb-3.2,ft,oltp,2000000,1,550,360.60,1682.70,10.35,120.20,1
uniform,psmdb-3.2,ft,oltp,2000000,1,560,367.20,1713.70,8.86,122.40,1
uniform,psmdb-3.2,ft,oltp,2000000,1,570,366.00,1707.40,8.95,122.00,1
uniform,psmdb-3.2,ft,oltp,2000000,1,580,361.50,1687.60,10.43,120.50,1
uniform,psmdb-3.2,ft,oltp,2000000,1,590,376.20,1755.60,8.50,125.40,1
uniform,psmdb-3.2,ft,oltp,2000000,1,600,371.40,1733.20,8.73,123.80,1
uniform,psmdb-3.2,ft,oltp,2000000,128,10,8799.82,41193.05,63.81,2932.67,128
uniform,psmdb-3.2,ft,oltp,2000000,128,20,10377.40,48421.21,59.73,3459.40,128
uniform,psmdb-3.2,ft,oltp,2000000,128,30,10546.29,49229.03,55.87,3515.60,128
uniform,psmdb-3.2,ft,oltp,2000000,128,40,10643.32,49652.38,53.26,3547.21,128
uniform,psmdb-3.2,ft,oltp,2000000,128,50,10640.40,49650.90,52.83,3546.80,128
uniform,psmdb-3.2,ft,oltp,2000000,128,60,10659.79,49755.87,52.43,3553.30,128
uniform,psmdb-3.2,ft,oltp,2000000,128,70,10615.30,49535.70,52.31,3538.60,128
uniform,psmdb-3.2,ft,oltp,2000000,128,80,10495.00,48977.50,53.03,3498.10,128
uniform,psmdb-3.2,ft,oltp,2000000,128,90,10532.20,49152.10,53.18,3511.00,128
uniform,psmdb-3.2,ft,oltp,2000000,128,100,10469.90,48862.99,53.32,3489.90,128
uniform,psmdb-3.2,ft,oltp,2000000,128,110,10428.30,48659.91,53.48,3476.10,128
uniform,psmdb-3.2,ft,oltp,2000000,128,120,10351.80,48313.19,54.45,3450.50,128
uniform,psmdb-3.2,ft,oltp,2000000,128,130,10383.60,48439.80,54.16,3461.10,128
uniform,psmdb-3.2,ft,oltp,2000000,128,140,10382.67,48470.07,54.12,3461.09,128
uniform,psmdb-3.2,ft,oltp,2000000,128,150,10349.13,48298.33,54.64,3449.91,128
uniform,psmdb-3.2,ft,oltp,2000000,128,160,10305.90,48089.69,54.82,3435.00,128
uniform,psmdb-3.2,ft,oltp,2000000,128,170,10294.61,48036.03,55.02,3431.70,128
uniform,psmdb-3.2,ft,oltp,2000000,128,180,10278.60,47972.28,55.07,3425.90,128
uniform,psmdb-3.2,ft,oltp,2000000,128,190,10234.70,47762.22,54.96,3411.50,128
uniform,psmdb-3.2,ft,oltp,2000000,128,200,10268.77,47922.15,54.86,3423.09,128
uniform,psmdb-3.2,ft,oltp,2000000,128,210,10179.03,47506.22,55.44,3392.81,128
uniform,psmdb-3.2,ft,oltp,2000000,128,220,10227.40,47712.51,54.97,3409.30,128
uniform,psmdb-3.2,ft,oltp,2000000,128,230,10197.30,47579.72,55.22,3398.90,128
uniform,psmdb-3.2,ft,oltp,2000000,128,240,10152.49,47386.78,55.75,3384.00,128
uniform,psmdb-3.2,ft,oltp,2000000,128,250,10166.00,47442.01,55.68,3389.20,128
uniform,psmdb-3.2,ft,oltp,2000000,128,260,9990.80,46625.22,56.86,3330.20,128
uniform,psmdb-3.2,ft,oltp,2000000,128,270,9682.39,45188.85,59.44,3227.40,128
uniform,psmdb-3.2,ft,oltp,2000000,128,280,9265.11,43245.55,62.77,3088.40,128
uniform,psmdb-3.2,ft,oltp,2000000,128,290,8991.60,41953.18,64.89,2997.20,128
uniform,psmdb-3.2,ft,oltp,2000000,128,300,8740.99,40789.94,66.92,2913.70,128
uniform,psmdb-3.2,ft,oltp,2000000,128,310,8458.61,39474.65,69.18,2819.30,128
uniform,psmdb-3.2,ft,oltp,2000000,128,320,8257.75,38547.47,70.90,2753.08,128
uniform,psmdb-3.2,ft,oltp,2000000,128,330,8087.85,37729.64,72.38,2695.72,128
uniform,psmdb-3.2,ft,oltp,2000000,128,340,7856.58,36662.61,74.80,2618.99,128
uniform,psmdb-3.2,ft,oltp,2000000,128,350,7648.39,35699.46,76.82,2549.40,128
uniform,psmdb-3.2,ft,oltp,2000000,128,360,7458.40,34809.49,78.76,2486.30,128
uniform,psmdb-3.2,ft,oltp,2000000,128,370,7389.02,34459.82,79.82,2462.91,128
uniform,psmdb-3.2,ft,oltp,2000000,128,380,7232.58,33773.42,81.66,2410.79,128
