disk,type,parallel_threads,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
ssd,baseline,1,xb,10000000,16,1,26132.25,19715.68,12.39,2174.85,1
ssd,baseline,1,xb,10000000,16,2,33358.04,24987.03,9.82,2779.00,1
ssd,baseline,1,xb,10000000,16,3,34577.09,25927.06,9.56,2881.01,1
ssd,baseline,1,xb,10000000,16,4,34625.98,25972.98,9.58,2884.00,1
ssd,baseline,1,xb,10000000,16,5,34917.99,26160.99,9.49,2909.00,1
ssd,baseline,1,xb,10000000,16,6,36665.02,27529.01,9.03,3058.00,1
ssd,baseline,1,xb,10000000,16,7,36761.98,27564.99,9.25,3064.00,1
ssd,baseline,1,xb,10000000,16,8,36506.98,27392.98,9.56,3042.00,1
ssd,baseline,1,xb,10000000,16,9,37045.05,27759.04,9.25,3084.00,1
ssd,baseline,1,xb,10000000,16,10,37460.04,28111.03,9.12,3123.00,1
ssd,baseline,1,xb,10000000,16,11,38244.97,28679.98,8.93,3188.00,1
ssd,baseline,1,xb,10000000,16,12,38678.46,29005.59,8.85,3222.95,1
ssd,baseline,1,xb,10000000,16,13,37689.52,28294.39,8.98,3141.04,1
ssd,baseline,1,xb,10000000,16,14,39511.01,29639.01,8.72,3295.00,1
ssd,baseline,1,xb,10000000,16,15,38795.24,29048.68,8.73,3227.85,1
ssd,baseline,1,xb,10000000,16,16,39800.81,29862.36,8.36,3319.15,1
ssd,baseline,1,xb,10000000,16,17,39104.02,29354.01,8.98,3260.00,1
ssd,baseline,1,xb,10000000,16,18,40599.96,30405.97,8.46,3379.00,1
ssd,baseline,1,xb,10000000,16,19,40083.03,30094.03,8.60,3343.00,1
ssd,baseline,1,xb,10000000,16,20,40754.93,30552.95,8.49,3394.99,1
ssd,baseline,1,xb,10000000,16,21,32921.05,24695.03,9.86,2745.00,1
ssd,baseline,1,xb,10000000,16,22,26498.99,19875.00,16.13,2209.00,1
ssd,baseline,1,xb,10000000,16,23,21731.66,16230.74,17.50,1799.97,1
ssd,baseline,1,xb,10000000,16,24,22221.37,16757.28,17.20,1862.03,1
ssd,baseline,1,xb,10000000,16,25,22807.90,17030.93,17.19,1892.99,1
