distribution,version,engine,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pareto,psmdb-3.0,ft,oltp,2000000,1,10,1067.44,2015.97,4.35,355.81,1
pareto,psmdb-3.0,ft,oltp,2000000,1,20,978.60,1820.10,5.05,326.20,1
pareto,psmdb-3.0,ft,oltp,2000000,1,30,874.50,1642.00,5.79,291.50,1
pareto,psmdb-3.0,ft,oltp,2000000,1,40,794.70,1478.20,6.52,264.90,1
pareto,psmdb-3.0,ft,oltp,2000000,1,50,686.10,1286.80,7.34,228.70,1
pareto,psmdb-3.0,ft,oltp,2000000,1,60,693.90,1300.60,7.65,231.30,1
pareto,psmdb-3.0,ft,oltp,2000000,1,70,643.20,1202.80,8.35,214.40,1
pareto,psmdb-3.0,ft,oltp,2000000,1,80,601.80,1126.20,8.95,200.60,1
pareto,psmdb-3.0,ft,oltp,2000000,1,90,569.40,1058.30,9.57,189.80,1
pareto,psmdb-3.0,ft,oltp,2000000,1,100,551.40,1028.30,9.79,183.80,1
pareto,psmdb-3.0,ft,oltp,2000000,1,110,517.20,957.10,10.64,172.40,1
pareto,psmdb-3.0,ft,oltp,2000000,1,120,521.40,971.10,10.74,173.80,1
pareto,psmdb-3.0,ft,oltp,2000000,1,130,487.80,911.60,11.17,162.60,1
pareto,psmdb-3.0,ft,oltp,2000000,1,140,472.20,884.40,11.89,157.40,1
pareto,psmdb-3.0,ft,oltp,2000000,1,150,465.20,870.50,12.25,155.00,1
pareto,psmdb-3.0,ft,oltp,2000000,1,160,466.60,865.20,11.84,155.60,1
pareto,psmdb-3.0,ft,oltp,2000000,1,170,462.60,865.20,12.22,154.20,1
pareto,psmdb-3.0,ft,oltp,2000000,1,180,452.10,844.50,12.24,150.70,1
pareto,psmdb-3.0,ft,oltp,2000000,1,190,458.70,864.20,12.08,152.90,1
pareto,psmdb-3.0,ft,oltp,2000000,1,200,465.30,872.30,11.70,155.10,1
pareto,psmdb-3.0,ft,oltp,2000000,1,210,483.90,902.40,11.82,161.30,1
pareto,psmdb-3.0,ft,oltp,2000000,1,220,459.30,860.30,12.23,153.10,1
pareto,psmdb-3.0,ft,oltp,2000000,1,230,459.30,861.50,12.32,153.10,1
pareto,psmdb-3.0,ft,oltp,2000000,1,240,467.40,869.40,11.87,155.80,1
pareto,psmdb-3.0,ft,oltp,2000000,1,250,465.30,871.00,12.28,155.10,1
pareto,psmdb-3.0,ft,oltp,2000000,1,260,474.00,890.80,11.83,158.00,1
pareto,psmdb-3.0,ft,oltp,2000000,1,270,457.50,854.50,12.08,152.50,1
pareto,psmdb-3.0,ft,oltp,2000000,1,280,448.50,841.30,12.51,149.50,1
pareto,psmdb-3.0,ft,oltp,2000000,1,290,441.00,821.80,12.61,147.00,1
pareto,psmdb-3.0,ft,oltp,2000000,1,300,465.90,871.90,12.18,155.30,1
pareto,psmdb-3.0,ft,oltp,2000000,1,310,445.50,830.30,16.29,148.50,1
pareto,psmdb-3.0,ft,oltp,2000000,1,320,453.60,835.10,16.24,151.20,1
pareto,psmdb-3.0,ft,oltp,2000000,1,330,430.80,800.70,12.40,143.60,1
pareto,psmdb-3.0,ft,oltp,2000000,1,340,473.40,875.30,11.95,157.80,1
pareto,psmdb-3.0,ft,oltp,2000000,1,350,439.20,823.50,12.44,146.40,1
pareto,psmdb-3.0,ft,oltp,2000000,1,360,463.20,872.90,11.99,154.40,1
pareto,psmdb-3.0,ft,oltp,2000000,1,370,469.20,870.10,11.93,156.40,1
pareto,psmdb-3.0,ft,oltp,2000000,1,380,442.80,830.50,16.26,147.60,1
pareto,psmdb-3.0,ft,oltp,2000000,1,390,459.00,855.20,12.00,153.00,1
pareto,psmdb-3.0,ft,oltp,2000000,1,400,477.60,892.80,11.96,159.20,1
pareto,psmdb-3.0,ft,oltp,2000000,1,410,467.10,878.00,11.98,155.70,1
