workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,2000000,1,1,1627.65,1629.65,1.88,3257.31,1
oltp,2000000,1,2,1673.01,1671.01,1.81,3344.01,1
oltp,2000000,1,3,1704.00,1704.00,1.78,3408.01,1
oltp,2000000,1,4,1670.98,1671.98,1.82,3342.96,1
oltp,2000000,1,5,1665.01,1664.01,1.82,3329.03,1
oltp,2000000,1,6,1653.00,1655.00,1.83,3307.99,1
oltp,2000000,1,7,1656.00,1655.00,1.83,3311.01,1
oltp,2000000,1,8,1658.01,1658.01,1.83,3316.01,1
oltp,2000000,1,9,1695.99,1694.99,1.82,3390.98,1
oltp,2000000,1,10,1694.96,1695.96,1.81,3390.91,1
oltp,2000000,1,11,1683.05,1683.05,1.81,3366.10,1
oltp,2000000,1,12,1709.99,1708.99,1.78,3418.98,1
oltp,2000000,1,13,1698.00,1701.00,1.81,3398.99,1
oltp,2000000,1,14,1677.01,1674.01,1.81,3351.02,1
oltp,2000000,1,15,1640.99,1640.99,1.86,3281.98,1
oltp,2000000,1,16,1681.00,1683.00,1.87,3364.01,1
oltp,2000000,1,17,1685.00,1683.00,1.81,3368.00,1
oltp,2000000,1,18,1566.00,1567.00,2.31,3133.00,1
oltp,2000000,1,19,1365.00,1364.00,2.31,2729.00,1
oltp,2000000,1,20,1452.00,1452.00,2.30,2904.01,1
oltp,2000000,1,21,1661.99,1663.99,1.82,3325.98,1
oltp,2000000,1,22,1661.99,1660.99,1.83,3322.98,1
oltp,2000000,1,23,1668.02,1667.02,1.82,3335.04,1
oltp,2000000,1,24,1662.01,1662.01,1.88,3324.01,1
oltp,2000000,1,25,1604.99,1604.99,1.90,3209.99,1
oltp,2000000,1,26,1590.00,1591.00,2.31,3181.00,1
oltp,2000000,1,27,1308.01,1307.01,2.32,2615.01,1
oltp,2000000,1,28,1535.99,1535.99,2.25,3071.99,1
oltp,2000000,1,29,1340.00,1341.00,2.26,2680.99,1
oltp,2000000,1,30,1339.01,1340.01,2.25,2679.01,1
oltp,2000000,16,1,21176.73,21189.73,2.49,42366.47,16
oltp,2000000,16,2,21811.06,21804.06,2.52,43615.11,16
oltp,2000000,16,3,21614.33,21617.33,2.50,43231.66,16
oltp,2000000,16,4,21714.67,21713.67,2.46,43428.34,16
oltp,2000000,16,5,21338.91,21333.91,2.47,42672.82,16
oltp,2000000,16,6,21580.23,21584.23,2.47,43164.47,16
oltp,2000000,16,7,21533.97,21533.97,2.55,43067.94,16
oltp,2000000,16,8,21409.86,21416.86,2.48,42826.71,16
oltp,2000000,16,9,21516.98,21511.98,2.52,43028.96,16
oltp,2000000,16,10,21670.00,21666.00,2.50,43335.99,16
oltp,2000000,16,11,21681.00,21688.00,2.49,43368.99,16
oltp,2000000,16,12,21279.04,21272.04,2.47,42551.07,16
oltp,2000000,16,13,21217.15,21220.15,2.46,42437.30,16
