workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,2000000,1,1,1536.59,1536.59,1.98,3073.18,1
oltp,2000000,1,2,1618.01,1620.01,1.87,3238.01,1
oltp,2000000,1,3,1574.00,1572.00,2.37,3146.00,1
oltp,2000000,1,4,1263.00,1263.00,2.39,2525.99,1
oltp,2000000,1,5,1299.01,1299.01,2.39,2598.01,1
oltp,2000000,1,6,1611.00,1611.00,1.89,3222.00,1
oltp,2000000,1,7,1598.98,1598.98,1.97,3197.96,1
oltp,2000000,1,8,1542.01,1545.01,2.31,3087.03,1
oltp,2000000,1,9,1331.98,1328.98,2.33,2660.95,1
oltp,2000000,1,10,1491.02,1491.02,2.38,2982.05,1
oltp,2000000,1,11,1260.00,1260.00,2.40,2520.00,1
oltp,2000000,1,12,1260.00,1260.00,2.40,2520.00,1
oltp,2000000,1,13,1260.00,1260.00,2.40,2519.99,1
oltp,2000000,1,14,1257.00,1258.00,2.41,2515.00,1
oltp,2000000,1,15,1335.01,1334.01,2.39,2669.02,1
oltp,2000000,1,16,1592.99,1592.99,1.90,3185.98,1
oltp,2000000,1,17,1593.01,1593.01,1.90,3186.01,1
oltp,2000000,1,18,1598.99,1598.99,1.90,3197.98,1
oltp,2000000,1,19,1593.01,1593.01,1.90,3186.01,1
oltp,2000000,1,20,1596.00,1597.00,1.90,3193.00,1
oltp,2000000,1,21,1589.99,1588.99,1.95,3178.99,1
oltp,2000000,1,22,1533.01,1533.01,2.00,3066.01,1
oltp,2000000,1,23,1574.00,1575.00,1.95,3148.99,1
oltp,2000000,1,24,1536.99,1535.99,1.99,3072.98,1
oltp,2000000,1,25,1596.01,1596.01,1.90,3192.01,1
oltp,2000000,1,26,1578.00,1578.00,1.92,3156.01,1
oltp,2000000,1,27,1566.00,1568.00,1.94,3134.00,1
oltp,2000000,1,28,1530.00,1531.00,2.39,3060.99,1
oltp,2000000,1,29,1262.00,1260.00,2.40,2522.01,1
oltp,2000000,1,30,1258.00,1257.00,2.40,2514.99,1
oltp,2000000,16,1,20153.53,20165.54,2.61,40319.07,16
oltp,2000000,16,2,20580.08,20569.08,2.58,41149.17,16
oltp,2000000,16,3,20332.30,20343.30,2.55,40675.60,16
oltp,2000000,16,4,20634.73,20632.73,2.54,41267.46,16
oltp,2000000,16,5,20323.00,20321.00,2.56,40643.99,16
oltp,2000000,16,6,19642.90,19642.90,2.55,39285.81,16
oltp,2000000,16,7,20523.95,20526.95,2.56,41050.90,16
oltp,2000000,16,8,20445.02,20441.02,2.56,40886.05,16
oltp,2000000,16,9,20357.97,20358.97,2.54,40716.94,16
oltp,2000000,16,10,20303.95,20311.95,2.55,40615.89,16
oltp,2000000,16,11,20512.08,20504.08,2.54,41016.16,16
oltp,2000000,16,12,20730.96,20727.96,2.55,41458.92,16
oltp,2000000,16,13,20479.08,20479.08,2.56,40958.17,16
oltp,2000000,16,14,20748.06,20750.06,2.55,41498.11,16
oltp,2000000,16,15,20760.96,20762.96,2.54,41523.91,16
oltp,2000000,16,16,20710.02,20710.02,2.56,41420.04,16
oltp,2000000,16,17,20810.05,20806.05,2.54,41616.09,16
oltp,2000000,16,18,20380.85,20389.85,2.54,40770.71,16
oltp,2000000,16,19,20636.16,20630.16,2.58,41266.32,16
oltp,2000000,16,20,20754.98,20752.98,2.56,41507.95,16
oltp,2000000,16,21,20551.93,20551.93,2.58,41103.87,16
oltp,2000000,16,22,20318.13,20322.13,2.54,40640.26,16
oltp,2000000,16,23,20757.85,20761.85,2.56,41519.69,16
oltp,2000000,16,24,20652.01,20644.01,2.57,41296.02,16
oltp,2000000,16,25,20750.93,20750.93,2.60,41500.86,16
oltp,2000000,16,26,20732.19,20730.19,2.55,41463.37,16
oltp,2000000,16,27,20711.83,20714.83,2.56,41426.65,16
oltp,2000000,16,28,20689.10,20686.10,2.55,41375.20,16
oltp,2000000,16,29,20629.92,20635.92,2.55,41265.84,16
oltp,2000000,16,30,20543.10,20545.10,2.57,41088.19,16
oltp,2000000,256,1,23091.99,23211.98,73.08,46303.97,256
oltp,2000000,256,2,27980.73,28036.72,53.56,56017.45,256
oltp,2000000,256,3,27735.31,27719.31,53.59,55454.62,256
oltp,2000000,256,4,27098.98,27073.98,54.99,54172.96,256
oltp,2000000,256,5,27613.04,27601.04,53.10,55214.08,256
oltp,2000000,256,6,27896.06,27905.06,53.24,55801.11,256
oltp,2000000,256,7,27941.94,27958.94,53.26,55900.88,256
oltp,2000000,256,8,27802.02,27776.02,53.29,55578.03,256
oltp,2000000,256,9,27771.03,27790.03,53.77,55561.06,256
oltp,2000000,256,10,27913.91,27909.91,53.72,55823.83,256
oltp,2000000,256,11,27729.05,27720.05,53.34,55449.10,256
oltp,2000000,256,12,27820.99,27811.99,53.29,55632.98,256
oltp,2000000,256,13,27680.83,27700.83,53.78,55381.65,256
oltp,2000000,256,14,27881.20,27878.20,53.02,55759.40,256
oltp,2000000,256,15,27790.97,27807.97,53.56,55598.94,256
oltp,2000000,256,16,27636.01,27638.01,54.12,55274.02,256
oltp,2000000,256,17,21754.96,22074.96,61.58,43829.91,256
oltp,2000000,256,18,22190.00,22155.00,56.32,44345.00,256
oltp,2000000,256,19,22883.05,22946.05,55.20,45829.09,256
oltp,2000000,256,20,23045.96,23030.96,55.19,46076.92,256
oltp,2000000,256,21,23136.04,23154.04,54.91,46290.08,256
oltp,2000000,256,22,23239.04,23178.04,54.66,46417.07,256
oltp,2000000,256,23,23112.95,23140.95,54.97,46253.89,256
oltp,2000000,256,24,22985.99,22949.99,55.40,45935.97,256
oltp,2000000,256,25,23006.99,23037.99,54.46,46044.99,256
oltp,2000000,256,26,23035.02,23024.02,54.94,46059.05,256
oltp,2000000,256,27,23033.99,23057.99,54.84,46091.98,256
oltp,2000000,256,28,23223.02,23240.02,54.38,46463.04,256
oltp,2000000,256,29,23160.96,23122.96,54.97,46283.93,256
oltp,2000000,255,30,22188.49,22180.49,57.45,44368.98,256
oltp,2000000,32,1,32400.41,32412.41,3.86,64812.83,32
oltp,2000000,32,2,32553.03,32557.03,4.00,65110.06,32
oltp,2000000,32,3,32313.06,32329.06,4.00,64642.12,32
oltp,2000000,32,4,32253.39,32243.39,4.01,64496.78,32
oltp,2000000,32,5,32229.58,32227.58,4.01,64457.16,32
oltp,2000000,32,6,32118.70,32110.70,3.98,64229.39,32
oltp,2000000,32,7,32107.32,32117.32,4.02,64224.65,32
oltp,2000000,32,8,32275.00,32275.00,3.92,64549.99,32
oltp,2000000,32,9,32274.83,32278.83,3.98,64553.66,32
oltp,2000000,32,10,32275.96,32265.96,3.90,64541.92,32
oltp,2000000,32,11,32067.15,32064.15,4.10,64131.31,32
oltp,2000000,32,12,32076.82,32083.82,4.02,64160.65,32
oltp,2000000,32,13,32174.22,32176.22,3.99,64350.45,32
oltp,2000000,32,14,32358.97,32360.97,4.08,64719.93,32
oltp,2000000,32,15,31983.88,31982.88,4.09,63966.75,32
oltp,2000000,32,16,32205.13,32201.13,3.96,64406.27,32
oltp,2000000,32,17,32169.95,32166.95,3.95,64336.89,32
oltp,2000000,32,18,32278.87,32270.87,3.97,64549.74,32
oltp,2000000,32,19,32318.20,32327.20,3.91,64645.40,32
oltp,2000000,32,20,32118.92,32118.92,3.98,64237.85,32
oltp,2000000,32,21,32126.89,32128.89,4.06,64255.77,32
oltp,2000000,32,22,32188.03,32194.03,3.95,64382.06,32
oltp,2000000,32,23,30714.91,30703.91,4.07,61418.83,32
oltp,2000000,32,24,32175.04,32178.04,4.00,64353.08,32
oltp,2000000,32,25,32257.83,32255.83,4.05,64513.67,32
oltp,2000000,32,26,32118.21,32120.21,4.27,64238.41,32
oltp,2000000,32,27,32157.97,32165.97,3.94,64323.95,32
oltp,2000000,32,28,32028.82,32019.82,4.01,64048.64,32
oltp,2000000,32,29,32239.20,32241.20,3.92,64480.40,32
oltp,2000000,32,30,32289.13,32288.13,3.91,64577.26,32
oltp,2000000,4,1,5581.21,5584.21,2.49,11165.42,4
oltp,2000000,4,2,5932.03,5929.03,2.19,11861.06,4
oltp,2000000,4,3,5949.01,5949.01,2.19,11898.03,4
oltp,2000000,4,4,5822.94,5823.94,2.47,11646.89,4
oltp,2000000,4,5,5892.04,5894.04,2.43,11786.08,4
oltp,2000000,4,6,5838.00,5837.00,2.43,11675.00,4
oltp,2000000,4,7,5826.97,5826.97,2.41,11653.93,4
oltp,2000000,4,8,5851.99,5853.99,2.41,11705.98,4
oltp,2000000,4,9,6057.02,6056.02,2.06,12113.05,4
oltp,2000000,4,10,5713.98,5714.98,2.41,11428.97,4
oltp,2000000,4,11,5972.01,5970.01,2.23,11942.02,4
oltp,2000000,4,12,5981.97,5983.97,2.18,11965.94,4
oltp,2000000,4,13,6030.03,6029.03,2.09,12059.05,4
oltp,2000000,4,14,5945.00,5945.00,2.26,11890.00,4
oltp,2000000,4,15,5921.04,5921.04,2.25,11842.09,4
oltp,2000000,4,16,5748.95,5749.95,2.39,11498.90,4
oltp,2000000,4,17,5958.03,5956.03,2.41,11914.05,4
oltp,2000000,4,18,5927.98,5930.98,2.21,11858.96,4
oltp,2000000,4,19,5685.02,5680.02,2.41,11365.05,4
oltp,2000000,4,20,5756.96,5756.96,2.50,11513.91,4
oltp,2000000,4,21,5766.04,5769.04,2.49,11535.07,4
oltp,2000000,4,22,5973.03,5970.03,2.18,11943.06,4
oltp,2000000,4,23,5821.95,5822.95,2.45,11644.91,4
oltp,2000000,4,24,5906.00,5910.00,2.24,11816.00,4
oltp,2000000,4,25,5977.04,5976.04,2.23,11953.08,4
oltp,2000000,4,26,5994.95,5993.95,2.25,11988.91,4
