workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,2000000,1,1,1089.40,1089.40,3.06,2178.80,1
oltp,2000000,1,2,1143.00,1143.00,2.72,2285.99,1
oltp,2000000,1,3,1128.01,1128.01,2.76,2256.02,1
oltp,2000000,1,4,1109.99,1109.99,2.80,2219.99,1
oltp,2000000,1,5,977.98,978.98,3.17,1956.96,1
oltp,2000000,1,6,975.02,974.02,3.18,1949.04,1
oltp,2000000,1,7,1107.01,1107.01,2.83,2214.02,1
oltp,2000000,1,8,1115.99,1115.99,2.78,2231.98,1
oltp,2000000,1,9,1133.99,1133.99,2.76,2267.98,1
oltp,2000000,1,10,1140.00,1140.00,2.74,2280.01,1
oltp,2000000,1,11,1143.01,1143.01,2.72,2286.01,1
oltp,2000000,1,12,1140.00,1140.00,2.72,2279.99,1
oltp,2000000,1,13,1127.99,1128.99,2.77,2256.98,1
oltp,2000000,1,14,1105.01,1106.01,2.82,2211.01,1
oltp,2000000,1,15,1139.01,1137.01,2.74,2276.01,1
oltp,2000000,1,16,1121.99,1121.99,2.80,2243.97,1
oltp,2000000,1,17,1119.01,1122.01,2.77,2241.01,1
oltp,2000000,1,18,1104.00,1103.00,2.84,2207.00,1
oltp,2000000,1,19,1127.00,1126.00,2.77,2253.01,1
oltp,2000000,1,20,1098.99,1097.99,2.84,2196.98,1
oltp,2000000,1,21,1122.00,1123.00,2.77,2245.01,1
oltp,2000000,1,22,1104.00,1103.00,2.83,2207.00,1
oltp,2000000,1,23,1097.01,1098.01,2.84,2195.01,1
oltp,2000000,1,24,1101.99,1100.99,2.83,2202.98,1
oltp,2000000,1,25,1107.00,1110.00,2.82,2217.01,1
oltp,2000000,1,26,1119.00,1116.00,2.80,2235.00,1
oltp,2000000,1,27,1101.00,1101.00,2.84,2202.00,1
oltp,2000000,1,28,1116.00,1116.00,2.78,2232.00,1
oltp,2000000,1,29,1119.00,1119.00,2.77,2238.00,1
oltp,2000000,1,30,1113.00,1113.00,2.78,2225.99,1
oltp,2000000,16,1,3721.16,3743.16,14.85,7464.32,16
oltp,2000000,16,2,3819.00,3806.00,13.32,7625.00,16
oltp,2000000,16,3,3881.00,3884.00,13.14,7765.00,16
oltp,2000000,16,4,3861.01,3849.01,12.90,7710.03,16
oltp,2000000,16,5,3795.98,3801.98,13.11,7597.97,16
oltp,2000000,16,6,3791.01,3785.01,13.23,7576.02,16
oltp,2000000,16,7,3871.00,3886.00,12.91,7757.00,16
oltp,2000000,16,8,3853.00,3842.00,12.93,7695.00,16
oltp,2000000,16,9,3748.01,3744.01,13.37,7492.01,16
oltp,2000000,16,10,3794.98,3817.98,12.95,7612.97,16
oltp,2000000,16,11,3837.01,3814.01,13.06,7651.01,16
oltp,2000000,16,12,3792.01,3792.01,13.15,7584.02,16
oltp,2000000,16,13,3760.99,3783.99,13.29,7544.98,16
oltp,2000000,16,14,3822.00,3800.00,13.05,7622.00,16
oltp,2000000,16,15,3838.00,3840.00,12.90,7678.01,16
oltp,2000000,16,16,3790.01,3793.01,13.12,7583.02,16
oltp,2000000,16,17,3799.89,3793.89,13.05,7593.79,16
oltp,2000000,16,18,3840.10,3840.10,12.86,7680.20,16
oltp,2000000,16,19,3809.99,3830.99,13.02,7640.98,16
oltp,2000000,16,20,3850.98,3841.98,12.95,7692.96,16
oltp,2000000,16,21,3847.01,3850.01,12.90,7697.01,16
oltp,2000000,16,22,3816.00,3806.00,13.00,7622.01,16
oltp,2000000,16,23,3838.02,3835.02,12.99,7673.03,16
oltp,2000000,16,24,3793.97,3793.97,13.07,7587.93,16
oltp,2000000,16,25,3800.01,3803.01,13.16,7603.02,16
oltp,2000000,16,26,3835.01,3833.01,13.09,7668.01,16
oltp,2000000,16,27,3804.00,3807.00,12.99,7611.00,16
oltp,2000000,16,28,3840.00,3838.00,12.91,7678.01,16
oltp,2000000,16,29,3833.99,3831.99,13.03,7665.99,16
oltp,2000000,15,30,3848.99,3854.99,12.87,7703.98,16
oltp,2000000,256,1,2348.80,2376.80,345.63,4725.60,256
