workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,2000000,1,10,799.43,1237.95,19.97,2037.38,1
oltp,2000000,1,20,761.60,1148.50,15.10,1910.10,1
oltp,2000000,1,30,1022.00,1498.40,13.89,2520.40,1
oltp,2000000,1,40,763.00,1084.60,13.17,1847.60,1
oltp,2000000,1,50,697.20,974.30,12.93,1671.50,1
oltp,2000000,1,60,900.20,1229.20,12.54,2129.40,1
oltp,2000000,1,70,946.40,1264.20,12.28,2210.60,1
oltp,2000000,1,80,834.40,1094.10,11.99,1928.50,1
oltp,2000000,1,90,1141.00,1471.90,11.62,2612.90,1
oltp,2000000,1,100,928.20,1171.70,11.66,2099.90,1
oltp,2000000,1,110,1163.40,1460.50,11.00,2623.90,1
oltp,2000000,1,120,1519.00,1856.10,11.08,3375.10,1
oltp,2000000,1,130,1569.40,1890.90,10.71,3460.30,1
oltp,2000000,1,140,1583.40,1884.20,10.78,3467.60,1
oltp,2000000,1,150,1611.40,1888.60,10.69,3500.00,1
oltp,2000000,1,160,1619.80,1878.40,10.74,3498.20,1
oltp,2000000,1,170,1635.20,1882.30,10.65,3517.50,1
oltp,2000000,1,180,1659.00,1889.60,10.57,3548.60,1
oltp,2000000,1,190,1661.80,1884.60,10.52,3546.40,1
oltp,2000000,1,200,1670.20,1888.60,10.36,3558.80,1
oltp,2000000,1,210,1684.20,1897.10,10.21,3581.30,1
oltp,2000000,1,220,1656.20,1847.00,10.51,3503.20,1
oltp,2000000,1,230,1663.20,1834.20,10.31,3497.40,1
oltp,2000000,1,240,1643.60,1788.40,10.39,3432.00,1
oltp,2000000,1,250,1628.20,1772.00,10.51,3400.20,1
oltp,2000000,1,260,1598.20,1717.30,10.86,3315.50,1
oltp,2000000,1,270,1549.00,1643.50,11.10,3192.50,1
oltp,2000000,1,280,1527.40,1613.30,11.15,3140.70,1
oltp,2000000,1,290,1498.00,1556.10,11.29,3054.10,1
oltp,2000000,1,300,1437.80,1493.40,11.65,2931.20,1
oltp,2000000,1,310,1377.60,1408.10,12.15,2785.70,1
oltp,2000000,1,320,1309.00,1331.80,12.57,2640.80,1
oltp,2000000,1,330,1282.40,1289.70,12.75,2572.10,1
oltp,2000000,1,340,1223.60,1215.30,13.43,2438.90,1
oltp,2000000,1,350,1163.40,1155.10,14.01,2318.50,1
oltp,2000000,1,360,1094.80,1078.90,15.13,2173.70,1
oltp,2000000,1,370,1015.00,987.50,16.22,2002.50,1
oltp,2000000,1,380,975.80,952.10,16.82,1927.90,1
oltp,2000000,1,390,957.60,930.10,17.35,1887.70,1
oltp,2000000,1,400,910.00,884.20,18.11,1794.20,1
oltp,2000000,1,410,873.60,841.80,18.84,1715.40,1
oltp,2000000,1,420,870.80,846.60,18.77,1717.40,1
oltp,2000000,1,430,809.20,778.70,21.39,1587.90,1
oltp,2000000,1,440,768.60,745.90,21.77,1514.50,1
oltp,2000000,1,450,677.60,655.60,25.69,1333.20,1
oltp,2000000,1,460,641.20,615.60,27.34,1256.80,1
oltp,2000000,1,470,589.40,568.20,29.63,1157.60,1
oltp,2000000,1,480,581.00,557.70,29.98,1138.70,1
oltp,2000000,1,490,567.00,543.40,30.08,1110.40,1
oltp,2000000,1,500,564.20,541.70,30.18,1105.90,1
oltp,2000000,1,510,561.40,538.40,30.04,1099.80,1
oltp,2000000,1,520,558.60,528.90,30.45,1087.50,1
oltp,2000000,1,530,560.00,533.20,30.57,1093.20,1
oltp,2000000,1,540,567.00,546.50,30.34,1113.50,1
oltp,2000000,1,550,467.60,447.60,40.39,915.20,1
oltp,2000000,1,560,436.80,419.30,40.44,856.10,1
oltp,2000000,1,570,442.40,427.60,39.85,870.00,1
oltp,2000000,1,580,435.40,411.40,40.44,846.80,1
oltp,2000000,1,590,434.00,409.60,39.60,843.60,1
oltp,2000000,1,600,417.20,395.00,42.29,812.20,1
oltp,2000000,1,610,424.20,403.60,41.42,827.80,1
oltp,2000000,1,620,415.80,398.00,42.74,813.80,1
oltp,2000000,1,630,414.40,392.80,42.42,807.20,1
oltp,2000000,1,640,420.00,395.50,42.55,815.50,1
oltp,2000000,1,650,421.40,404.50,41.42,825.90,1
oltp,2000000,1,660,420.00,400.00,41.45,820.00,1
oltp,2000000,1,670,415.80,396.10,41.48,811.90,1
oltp,2000000,1,680,421.40,398.50,41.93,819.90,1
oltp,2000000,1,690,422.80,401.90,42.10,824.70,1
oltp,2000000,1,700,418.60,399.90,42.44,818.50,1
oltp,2000000,1,710,417.20,403.60,41.43,820.80,1
oltp,2000000,1,720,420.00,396.80,40.75,816.80,1
oltp,2000000,128,10,22637.91,28662.46,92.07,51300.37,128
oltp,2000000,128,20,24009.61,25374.11,74.20,49383.71,128
oltp,2000000,128,30,16824.10,16218.80,131.12,33042.90,128
oltp,2000000,128,40,7527.80,7138.00,464.44,14665.80,128
oltp,2000000,128,50,4384.80,4130.50,1207.87,8515.30,128
oltp,2000000,128,60,4587.80,4310.80,528.39,8898.60,128
oltp,2000000,128,70,5021.80,4706.30,698.42,9728.10,128
oltp,2000000,128,80,5024.60,4692.90,498.43,9717.50,128
oltp,2000000,128,90,4880.40,4559.20,497.69,9439.60,128
oltp,2000000,128,100,4231.15,3940.53,673.38,8171.68,128
oltp,2000000,128,110,3193.58,2988.26,1012.63,6181.84,128
oltp,2000000,128,120,3054.58,2828.93,710.02,5883.50,128
oltp,2000000,128,130,3004.56,2796.48,829.85,5801.04,128
oltp,2000000,128,140,3103.75,2860.68,1028.51,5964.43,128
oltp,2000000,128,150,3022.79,2787.49,729.40,5810.28,128
oltp,2000000,128,160,3067.21,2822.57,984.24,5889.78,128
oltp,2000000,128,170,3034.24,2787.26,946.11,5821.50,128
oltp,2000000,128,180,2988.40,2765.01,727.01,5753.40,128
oltp,2000000,128,190,3089.63,2820.61,1038.10,5910.24,128
oltp,2000000,128,200,3063.66,2808.40,742.40,5872.06,128
oltp,2000000,128,210,3029.93,2770.85,720.29,5800.78,128
oltp,2000000,128,220,3122.88,2855.67,1014.45,5978.54,128
oltp,2000000,128,230,3043.53,2779.01,722.02,5822.54,128
oltp,2000000,128,240,3058.26,2785.21,755.63,5843.47,128
oltp,2000000,128,250,3094.39,2812.47,1034.69,5906.86,128
oltp,2000000,128,260,3058.03,2776.55,721.15,5834.58,128
oltp,2000000,128,270,3045.03,2776.04,958.08,5821.07,128
oltp,2000000,128,280,3020.15,2746.58,1044.65,5766.73,128
oltp,2000000,128,290,3006.32,2716.76,731.81,5723.09,128
oltp,2000000,128,300,3035.94,2760.36,1031.60,5796.30,128
oltp,2000000,128,310,3030.22,2725.65,771.17,5755.87,128
oltp,2000000,128,320,3012.53,2723.99,728.53,5736.42,128
oltp,2000000,128,330,3085.26,2800.11,1047.78,5885.47,128
oltp,2000000,128,340,3047.53,2739.87,725.70,5787.40,128
oltp,2000000,128,350,3072.51,2762.22,776.03,5834.73,128
oltp,2000000,128,360,3050.88,2744.43,1044.65,5795.30,128
oltp,2000000,128,370,2989.43,2678.54,735.76,5667.96,128
oltp,2000000,128,380,3010.71,2714.84,905.38,5725.55,128
oltp,2000000,128,390,3015.59,2731.24,1005.08,5746.83,128
oltp,2000000,128,400,3009.93,2680.61,737.09,5690.54,128
oltp,2000000,128,410,3054.67,2704.93,1032.52,5759.60,128
oltp,2000000,128,420,3012.09,2699.15,971.65,5711.23,128
oltp,2000000,128,430,3022.81,2708.27,723.97,5731.07,128
oltp,2000000,128,440,3046.98,2713.60,1064.85,5760.59,128
oltp,2000000,128,450,3037.32,2708.40,841.86,5745.72,128
oltp,2000000,128,460,3028.07,2676.82,739.52,5704.89,128
oltp,2000000,128,470,3078.10,2735.71,1025.44,5813.81,128
oltp,2000000,128,480,2995.84,2672.38,758.80,5668.23,128
oltp,2000000,128,490,3067.19,2732.14,875.00,5799.33,128
oltp,2000000,128,500,3025.99,2676.45,1058.82,5702.44,128
oltp,2000000,128,510,3046.32,2693.73,731.37,5740.05,128
oltp,2000000,128,520,3056.11,2699.11,983.35,5755.21,128
oltp,2000000,128,530,3055.91,2685.55,964.41,5741.46,128
oltp,2000000,128,540,3055.71,2697.43,715.14,5753.14,128
oltp,2000000,128,550,3091.25,2728.02,1034.69,5819.27,128
oltp,2000000,128,560,3012.41,2656.37,898.90,5668.78,128
oltp,2000000,128,570,3059.23,2688.38,753.60,5747.61,128
oltp,2000000,128,580,3065.94,2687.31,1022.68,5753.25,128
oltp,2000000,128,590,2993.19,2643.96,881.31,5637.15,128
oltp,2000000,128,600,3071.56,2703.22,914.37,5774.78,128
oltp,2000000,128,610,3018.70,2646.68,1005.68,5665.38,128
oltp,2000000,128,620,3024.79,2645.82,773.25,5670.61,128
oltp,2000000,128,630,2994.07,2630.47,1069.01,5624.55,128
oltp,2000000,128,640,3034.71,2638.91,959.51,5673.62,128
