workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,2000000,1,10,793.35,3703.25,4.55,264.42,1
oltp,2000000,1,20,897.20,4187.11,3.62,299.10,1
oltp,2000000,1,30,903.00,4214.10,3.53,301.00,1
oltp,2000000,1,40,869.70,4058.40,3.90,289.90,1
oltp,2000000,1,50,894.00,4172.30,3.78,298.00,1
oltp,2000000,1,60,803.40,3749.10,3.89,267.80,1
oltp,2000000,1,70,803.10,3747.40,3.90,267.70,1
oltp,2000000,1,80,804.60,3754.80,3.88,268.20,1
oltp,2000000,1,90,807.60,3769.30,3.87,269.20,1
oltp,2000000,1,100,896.40,4182.00,3.61,298.80,1
oltp,2000000,1,110,903.90,4219.10,3.47,301.30,1
oltp,2000000,1,120,903.30,4215.40,3.46,301.10,1
oltp,2000000,1,130,915.60,4273.00,3.42,305.20,1
oltp,2000000,1,140,811.20,3785.20,3.84,270.40,1
oltp,2000000,1,150,919.80,4292.80,3.41,306.60,1
oltp,2000000,1,160,910.20,4247.60,3.43,303.40,1
oltp,2000000,1,170,910.20,4247.40,3.42,303.40,1
oltp,2000000,1,180,913.50,4263.30,3.41,304.50,1
oltp,2000000,1,190,910.80,4250.50,3.41,303.60,1
oltp,2000000,1,200,900.60,4202.20,3.75,300.20,1
oltp,2000000,1,210,926.70,4324.90,3.36,308.90,1
oltp,2000000,1,220,919.20,4289.70,3.41,306.40,1
oltp,2000000,1,230,914.40,4267.20,3.42,304.80,1
oltp,2000000,1,240,876.00,4088.20,3.81,292.00,1
oltp,2000000,1,250,912.30,4257.30,3.40,304.10,1
oltp,2000000,1,260,912.60,4257.60,3.40,304.20,1
oltp,2000000,1,270,920.10,4294.90,3.37,306.70,1
oltp,2000000,1,280,922.20,4303.40,3.38,307.40,1
oltp,2000000,1,290,890.10,4154.10,3.74,296.70,1
oltp,2000000,1,300,924.60,4314.80,3.34,308.20,1
oltp,2000000,1,310,863.10,4027.30,3.85,287.70,1
oltp,2000000,1,320,836.40,3903.50,3.79,278.80,1
oltp,2000000,1,330,810.90,3783.70,3.79,270.30,1
oltp,2000000,1,340,880.80,4111.10,3.74,293.60,1
oltp,2000000,1,350,914.30,4265.90,3.38,304.70,1
oltp,2000000,1,360,926.40,4323.20,3.38,308.80,1
oltp,2000000,1,370,915.90,4274.20,3.38,305.30,1
oltp,2000000,1,380,915.10,4271.30,3.37,305.10,1
oltp,2000000,1,390,894.90,4175.90,3.78,298.30,1
oltp,2000000,1,400,871.50,4066.50,3.80,290.50,1
oltp,2000000,1,410,923.70,4311.30,3.38,307.90,1
oltp,2000000,1,420,890.10,4153.00,3.80,296.70,1
oltp,2000000,1,430,908.70,4241.30,3.39,302.90,1
oltp,2000000,1,440,909.90,4246.30,3.40,303.30,1
oltp,2000000,1,450,912.00,4255.80,3.38,304.00,1
oltp,2000000,1,460,913.50,4263.10,3.38,304.50,1
oltp,2000000,1,470,912.00,4255.90,3.39,304.00,1
oltp,2000000,1,480,909.90,4246.40,3.41,303.30,1
oltp,2000000,1,490,886.50,4136.90,3.80,295.50,1
oltp,2000000,1,500,922.50,4305.20,3.35,307.50,1
oltp,2000000,1,510,815.40,3805.00,3.77,271.80,1
oltp,2000000,1,520,810.60,3782.10,3.78,270.20,1
oltp,2000000,1,530,810.60,3783.70,3.78,270.20,1
oltp,2000000,1,540,924.00,4310.70,3.35,308.00,1
oltp,2000000,1,550,897.30,4188.50,3.75,299.10,1
oltp,2000000,1,560,911.70,4253.60,3.37,303.90,1
oltp,2000000,1,570,922.50,4306.10,3.35,307.50,1
oltp,2000000,1,580,902.40,4211.40,3.45,300.80,1
oltp,2000000,1,590,924.00,4311.90,3.35,308.00,1
oltp,2000000,1,600,929.70,4338.30,3.31,309.90,1
oltp,2000000,128,10,15763.87,73670.48,36.78,5253.86,128
oltp,2000000,128,20,15695.01,73228.73,35.89,5231.80,128
oltp,2000000,128,30,15592.73,72787.27,35.85,5197.58,128
oltp,2000000,128,40,15394.25,71838.64,36.67,5131.62,128
oltp,2000000,128,50,14974.41,69868.84,37.35,4991.20,128
oltp,2000000,128,60,15280.70,71317.59,35.92,5093.80,128
oltp,2000000,128,70,14265.40,66574.71,39.95,4754.90,128
oltp,2000000,128,80,14716.09,68656.28,38.37,4905.10,128
oltp,2000000,128,90,15720.60,73378.40,34.15,5240.60,128
oltp,2000000,128,100,15144.70,70666.31,36.71,5048.20,128
oltp,2000000,128,110,15617.40,72888.62,34.59,5205.80,128
oltp,2000000,128,120,15615.29,72868.56,34.45,5204.60,128
oltp,2000000,128,130,15243.41,71134.83,35.88,5081.40,128
