workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,2000000,1,10,853.53,3984.16,4.08,284.51,1
oltp,2000000,1,20,923.40,4309.40,3.52,307.80,1
oltp,2000000,1,30,862.50,4025.00,3.80,287.50,1
oltp,2000000,1,40,908.70,4240.70,3.72,302.90,1
oltp,2000000,1,50,835.20,3897.50,3.77,278.40,1
oltp,2000000,1,60,926.10,4321.78,3.62,308.70,1
oltp,2000000,1,70,951.90,4442.12,3.34,317.30,1
oltp,2000000,1,80,941.70,4394.89,3.35,313.90,1
oltp,2000000,1,90,927.60,4328.31,3.64,309.20,1
oltp,2000000,1,100,955.20,4457.89,3.29,318.40,1
oltp,2000000,1,110,951.00,4438.01,3.31,317.00,1
oltp,2000000,1,120,951.30,4439.49,3.31,317.10,1
oltp,2000000,1,130,962.70,4492.31,3.26,320.90,1
oltp,2000000,1,140,957.30,4467.40,3.27,319.10,1
oltp,2000000,1,150,962.40,4491.61,3.24,320.80,1
oltp,2000000,1,160,951.30,4439.00,3.36,317.10,1
oltp,2000000,1,170,963.90,4498.20,3.25,321.30,1
oltp,2000000,1,180,957.30,4467.60,3.27,319.10,1
oltp,2000000,1,190,940.50,4388.90,3.31,313.50,1
oltp,2000000,1,200,959.70,4478.69,3.26,319.90,1
oltp,2000000,1,210,961.50,4487.11,3.29,320.50,1
oltp,2000000,1,220,957.30,4466.09,3.26,319.10,1
oltp,2000000,1,230,925.50,4320.21,3.64,308.50,1
oltp,2000000,1,240,966.60,4510.69,3.22,322.20,1
oltp,2000000,1,250,964.50,4500.70,3.23,321.50,1
oltp,2000000,1,260,948.50,4426.00,3.62,316.10,1
oltp,2000000,1,270,956.20,4462.21,3.25,318.80,1
oltp,2000000,1,280,960.00,4480.82,3.24,320.00,1
oltp,2000000,1,290,942.60,4398.88,3.54,314.20,1
oltp,2000000,1,300,935.70,4365.52,3.57,311.90,1
oltp,2000000,1,310,956.50,4464.38,3.24,318.80,1
oltp,2000000,1,320,957.80,4469.32,3.24,319.30,1
oltp,2000000,1,330,959.10,4475.58,3.22,319.70,1
oltp,2000000,1,340,955.40,4458.72,3.24,318.40,1
oltp,2000000,1,350,965.50,4506.48,3.21,321.90,1
oltp,2000000,1,360,935.70,4366.50,3.55,311.90,1
oltp,2000000,1,370,854.40,3987.20,3.63,284.80,1
oltp,2000000,1,380,902.10,4209.20,3.59,300.70,1
oltp,2000000,1,390,926.10,4322.10,3.64,308.70,1
oltp,2000000,1,400,899.10,4196.11,3.67,299.70,1
oltp,2000000,1,410,966.90,4510.99,3.20,322.30,1
oltp,2000000,1,420,953.70,4451.71,3.25,317.90,1
oltp,2000000,1,430,958.50,4472.69,3.22,319.50,1
oltp,2000000,1,440,955.80,4460.81,3.25,318.60,1
oltp,2000000,1,450,962.70,4492.39,3.22,320.90,1
oltp,2000000,1,460,966.00,4508.21,3.21,322.00,1
oltp,2000000,1,470,959.50,4477.39,3.22,319.80,1
