profile_level,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pl0,oltp,2000000,1,1,1584.58,1584.58,2.02,3169.16,1
pl0,oltp,2000000,1,2,1635.01,1636.01,1.86,3271.01,1
pl0,oltp,2000000,1,3,1629.00,1630.00,1.86,3259.01,1
pl0,oltp,2000000,1,4,1616.99,1614.99,1.91,3231.98,1
pl0,oltp,2000000,1,5,1617.01,1617.01,2.02,3234.02,1
pl0,oltp,2000000,1,6,1610.99,1612.99,1.94,3223.99,1
pl0,oltp,2000000,1,7,1643.99,1644.99,1.85,3288.99,1
pl0,oltp,2000000,1,8,1650.01,1647.01,1.85,3297.02,1
pl0,oltp,2000000,1,9,1673.96,1675.96,1.82,3349.92,1
pl0,oltp,2000000,1,10,1638.02,1636.02,1.85,3274.03,1
pl0,oltp,2000000,1,11,1662.01,1662.01,1.85,3324.02,1
pl0,oltp,2000000,1,12,1662.00,1662.00,1.81,3324.00,1
pl0,oltp,2000000,1,13,1560.00,1560.00,2.30,3120.01,1
pl0,oltp,2000000,1,14,1632.01,1634.01,1.86,3266.01,1
pl0,oltp,2000000,1,15,1640.99,1640.99,1.85,3281.98,1
pl0,oltp,2000000,1,16,1635.01,1633.01,1.85,3268.02,1
pl0,oltp,2000000,1,17,1646.99,1646.99,1.84,3293.98,1
pl0,oltp,2000000,1,18,1641.00,1641.00,1.85,3282.01,1
pl0,oltp,2000000,1,19,1643.99,1643.99,1.85,3287.99,1
pl0,oltp,2000000,1,20,1641.02,1641.02,1.85,3282.04,1
pl0,oltp,2000000,1,21,1661.98,1661.98,1.82,3323.96,1
pl0,oltp,2000000,1,22,1311.00,1311.00,2.31,2622.01,1
pl0,oltp,2000000,1,23,1311.01,1311.01,2.30,2622.02,1
pl0,oltp,2000000,1,24,1319.99,1319.99,2.30,2639.98,1
pl0,oltp,2000000,1,25,1646.95,1646.95,1.84,3293.90,1
pl0,oltp,2000000,1,26,1647.05,1647.05,1.84,3294.11,1
pl0,oltp,2000000,1,27,1639.99,1640.99,1.85,3280.99,1
pl0,oltp,2000000,1,28,1633.01,1632.01,1.88,3265.02,1
pl0,oltp,2000000,1,29,1341.00,1341.00,2.31,2681.99,1
pl0,oltp,2000000,1,30,1526.99,1526.99,2.30,3053.99,1
pl0,oltp,2000000,16,1,20218.59,20225.59,2.71,40444.18,16
pl0,oltp,2000000,16,2,21527.09,21529.09,2.55,43056.17,16
pl0,oltp,2000000,16,3,21595.08,21593.08,2.47,43188.15,16
pl0,oltp,2000000,16,4,21554.78,21555.78,2.53,43110.55,16
pl0,oltp,2000000,16,5,21444.18,21451.18,2.45,42895.36,16
pl0,oltp,2000000,16,6,21611.69,21600.69,2.46,43212.38,16
pl0,oltp,2000000,16,7,21482.04,21489.04,2.46,42971.08,16
pl0,oltp,2000000,16,8,21558.01,21551.01,2.50,43109.02,16
