profile_level,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
pl0,oltp,2000000,1,1,1502.57,1503.57,2.01,3006.14,1
pl0,oltp,2000000,1,2,1660.01,1659.01,1.84,3319.01,1
pl0,oltp,2000000,1,3,1561.00,1563.00,2.00,3124.00,1
pl0,oltp,2000000,1,4,1666.98,1664.98,1.82,3331.96,1
pl0,oltp,2000000,1,5,1710.01,1710.01,1.77,3420.03,1
pl0,oltp,2000000,1,6,1708.00,1710.00,1.77,3418.00,1
pl0,oltp,2000000,1,7,1715.00,1714.00,1.79,3429.00,1
pl0,oltp,2000000,1,8,1707.00,1706.00,1.82,3413.00,1
pl0,oltp,2000000,1,9,1662.00,1662.00,1.83,3324.00,1
pl0,oltp,2000000,1,10,1661.98,1661.98,1.83,3323.97,1
pl0,oltp,2000000,1,11,1692.01,1692.01,1.80,3384.02,1
pl0,oltp,2000000,1,12,1706.99,1706.99,1.79,3413.99,1
pl0,oltp,2000000,1,13,1701.00,1701.00,1.78,3402.00,1
pl0,oltp,2000000,1,14,1704.00,1705.00,1.79,3409.00,1
pl0,oltp,2000000,1,15,1668.00,1667.00,1.82,3335.00,1
pl0,oltp,2000000,1,16,1665.00,1665.00,1.83,3330.00,1
pl0,oltp,2000000,1,17,1656.00,1656.00,1.84,3312.01,1
pl0,oltp,2000000,1,18,1667.99,1667.99,1.82,3335.99,1
pl0,oltp,2000000,1,19,1668.00,1669.00,1.81,3336.99,1
pl0,oltp,2000000,1,20,1659.00,1658.00,1.85,3317.00,1
pl0,oltp,2000000,1,21,1713.00,1716.00,1.77,3429.01,1
pl0,oltp,2000000,1,22,1667.00,1665.00,1.82,3332.00,1
pl0,oltp,2000000,1,23,1711.00,1710.00,1.77,3421.00,1
pl0,oltp,2000000,1,24,1707.00,1707.00,1.78,3414.01,1
pl0,oltp,2000000,1,25,1713.00,1716.00,1.77,3429.01,1
pl0,oltp,2000000,1,26,1671.99,1670.99,1.82,3342.98,1
pl0,oltp,2000000,1,27,1667.01,1665.01,1.82,3332.02,1
pl0,oltp,2000000,1,28,1712.99,1712.99,1.77,3425.98,1
pl0,oltp,2000000,1,29,1716.00,1716.00,1.77,3432.01,1
pl0,oltp,2000000,1,30,1715.00,1716.00,1.77,3430.99,1
pl0,oltp,2000000,16,1,21223.70,21229.70,2.47,42453.39,16
pl0,oltp,2000000,16,2,21586.05,21583.05,2.45,43169.11,16
pl0,oltp,2000000,16,3,21630.19,21635.19,2.50,43265.38,16
pl0,oltp,2000000,16,4,21709.90,21704.90,2.51,43414.80,16
pl0,oltp,2000000,16,5,21790.05,21793.05,2.46,43583.11,16
pl0,oltp,2000000,16,6,21599.78,21607.78,2.47,43207.55,16
pl0,oltp,2000000,16,7,21569.15,21564.15,2.47,43133.30,16
pl0,oltp,2000000,16,8,21579.90,21576.90,2.48,43156.79,16
pl0,oltp,2000000,16,9,21570.00,21573.00,2.45,43143.01,16
pl0,oltp,2000000,16,10,21748.99,21748.99,2.46,43497.98,16
pl0,oltp,2000000,16,11,21362.87,21361.87,2.51,42724.75,16
pl0,oltp,2000000,16,12,21297.04,21295.04,2.50,42592.07,16
pl0,oltp,2000000,16,13,21365.25,21369.25,2.48,42734.50,16
pl0,oltp,2000000,16,14,21335.93,21335.93,2.50,42671.85,16
pl0,oltp,2000000,16,15,21505.10,21504.10,2.48,43009.20,16
pl0,oltp,2000000,16,16,21842.98,21835.98,2.47,43678.96,16
pl0,oltp,2000000,16,17,21555.85,21566.85,2.47,43122.71,16
pl0,oltp,2000000,16,18,21663.15,21662.15,2.57,43325.31,16
pl0,oltp,2000000,16,19,20816.02,20811.02,2.50,41627.03,16
pl0,oltp,2000000,16,20,20813.88,20814.88,2.50,41628.76,16
pl0,oltp,2000000,16,21,21240.16,21249.16,2.59,42489.32,16
pl0,oltp,2000000,16,22,20879.93,20872.93,2.64,41752.86,16
pl0,oltp,2000000,16,23,21055.04,21055.04,2.61,42110.07,16
pl0,oltp,2000000,16,24,21407.98,21405.98,2.50,42813.97,16
pl0,oltp,2000000,16,25,20871.91,20877.91,2.65,41749.82,16
pl0,oltp,2000000,16,26,21379.12,21370.12,2.49,42749.23,16
pl0,oltp,2000000,16,27,21149.00,21152.00,2.47,42301.00,16
pl0,oltp,2000000,16,28,20882.98,20889.98,2.50,41772.95,16
pl0,oltp,2000000,16,29,21160.97,21159.97,2.47,42320.94,16
pl0,oltp,2000000,14,30,20825.00,20821.00,2.45,41646.01,16
pl0,oltp,2000000,256,1,27540.56,27751.54,69.87,55292.10,256
pl0,oltp,2000000,256,2,29150.12,29065.12,51.44,58215.24,256
pl0,oltp,2000000,256,3,28659.00,28655.00,52.45,57314.00,256
pl0,oltp,2000000,256,4,28547.06,28559.06,52.26,57106.12,256
pl0,oltp,2000000,256,5,28336.02,28365.02,53.03,56701.04,256
pl0,oltp,2000000,256,6,28766.94,28725.94,52.04,57492.87,256
pl0,oltp,2000000,256,7,28772.95,28804.95,52.07,57577.90,256
pl0,oltp,2000000,256,8,28790.04,28782.04,52.04,57572.09,256
pl0,oltp,2000000,256,9,28706.97,28695.97,52.43,57402.94,256
pl0,oltp,2000000,256,10,28639.01,28640.01,53.02,57279.01,256
pl0,oltp,2000000,256,11,28822.89,28812.89,51.98,57635.77,256
pl0,oltp,2000000,256,12,28502.97,28488.98,54.73,56991.95,256
pl0,oltp,2000000,256,13,28658.21,28684.21,52.25,57342.43,256
pl0,oltp,2000000,256,14,29045.01,29060.01,52.28,58105.03,256
pl0,oltp,2000000,256,15,28799.65,28787.65,52.21,57587.30,256
pl0,oltp,2000000,256,16,28787.28,28795.28,52.61,57582.55,256
pl0,oltp,2000000,256,17,28889.02,28872.02,52.39,57761.05,256
pl0,oltp,2000000,256,18,28860.06,28864.06,52.07,57724.11,256
pl0,oltp,2000000,256,19,28807.91,28804.91,52.32,57612.83,256
pl0,oltp,2000000,256,20,28755.09,28768.09,52.35,57523.18,256
pl0,oltp,2000000,256,21,28910.90,28937.90,52.35,57848.80,256
pl0,oltp,2000000,256,22,28805.07,28756.07,52.34,57561.15,256
pl0,oltp,2000000,256,23,28824.03,28837.03,52.46,57661.06,256
pl0,oltp,2000000,256,24,28839.97,28809.97,52.25,57649.94,256
pl0,oltp,2000000,256,25,28881.95,28917.95,52.29,57799.90,256
pl0,oltp,2000000,256,26,27606.36,27605.36,71.16,55211.72,256
pl0,oltp,2000000,256,27,26918.58,26915.58,55.10,53834.16,256
pl0,oltp,2000000,256,28,26229.52,26253.52,56.88,52483.04,256
pl0,oltp,2000000,256,29,26488.59,26475.59,55.17,52964.17,256
pl0,oltp,2000000,256,30,26551.96,26536.96,55.60,53088.91,256
pl0,oltp,2000000,32,1,33462.33,33485.33,3.91,66947.65,32
pl0,oltp,2000000,32,2,33841.01,33831.01,3.70,67672.02,32
pl0,oltp,2000000,32,3,33194.66,33206.66,4.00,66401.32,32
pl0,oltp,2000000,32,4,33553.42,33542.42,3.90,67095.83,32
pl0,oltp,2000000,32,5,33579.00,33580.00,3.74,67159.01,32
pl0,oltp,2000000,32,6,33289.98,33295.98,3.92,66585.97,32
pl0,oltp,2000000,32,7,33459.67,33460.67,3.78,66920.34,32
pl0,oltp,2000000,32,8,33384.13,33385.13,3.80,66769.27,32
pl0,oltp,2000000,32,9,33567.02,33554.02,3.78,67121.04,32
pl0,oltp,2000000,32,10,33409.03,33404.03,3.82,66813.06,32
pl0,oltp,2000000,32,11,33255.97,33262.97,3.85,66518.94,32
pl0,oltp,2000000,32,12,33226.09,33234.09,3.88,66460.18,32
pl0,oltp,2000000,32,13,33212.94,33208.94,3.87,66421.88,32
pl0,oltp,2000000,32,14,33287.22,33285.22,3.91,66572.44,32
pl0,oltp,2000000,32,15,33375.72,33382.72,3.84,66758.43,32
pl0,oltp,2000000,32,16,33307.00,33307.00,3.84,66614.00,32
pl0,oltp,2000000,32,17,33146.06,33134.06,3.90,66280.12,32
pl0,oltp,2000000,32,18,33546.03,33554.03,3.76,67100.06,32
pl0,oltp,2000000,32,19,33548.02,33546.02,3.77,67094.03,32
pl0,oltp,2000000,32,20,33207.86,33207.86,3.88,66415.71,32
pl0,oltp,2000000,32,21,33218.25,33222.25,3.88,66440.51,32
pl0,oltp,2000000,32,22,33326.64,33321.64,3.90,66648.28,32
pl0,oltp,2000000,32,23,31076.39,31077.39,3.96,62153.78,32
pl0,oltp,2000000,32,24,33002.63,33001.63,3.95,66004.26,32
pl0,oltp,2000000,32,25,33256.33,33263.33,3.88,66519.66,32
pl0,oltp,2000000,32,26,33473.01,33465.01,3.78,66938.02,32
pl0,oltp,2000000,32,27,33063.80,33074.80,3.92,66138.59,32
pl0,oltp,2000000,32,28,33108.09,33102.09,3.88,66210.18,32
pl0,oltp,2000000,32,29,33424.10,33426.10,3.81,66850.20,32
pl0,oltp,2000000,32,30,33445.70,33446.70,3.82,66892.39,32
pl0,oltp,2000000,4,1,6386.15,6389.15,1.91,12775.30,4
pl0,oltp,2000000,4,2,6336.01,6333.01,2.13,12669.01,4
pl0,oltp,2000000,4,3,6504.00,6504.00,1.97,13008.01,4
pl0,oltp,2000000,4,4,6476.92,6478.92,1.91,12955.84,4
pl0,oltp,2000000,4,5,6480.06,6478.06,1.91,12958.13,4
pl0,oltp,2000000,4,6,6516.01,6517.01,2.10,13033.03,4
pl0,oltp,2000000,4,7,6158.79,6159.79,2.42,12318.57,4
pl0,oltp,2000000,4,8,6212.22,6211.22,2.41,12423.43,4
pl0,oltp,2000000,4,9,6155.95,6158.95,2.41,12314.90,4
pl0,oltp,2000000,4,10,6151.00,6147.00,2.41,12298.01,4
pl0,oltp,2000000,4,11,6142.00,6146.00,2.42,12288.00,4
pl0,oltp,2000000,4,12,6304.97,6301.97,2.39,12606.94,4
pl0,oltp,2000000,4,13,6478.07,6479.07,1.90,12957.14,4
pl0,oltp,2000000,4,14,6462.98,6461.98,1.90,12924.96,4
pl0,oltp,2000000,4,15,6483.00,6486.00,1.93,12968.99,4
pl0,oltp,2000000,4,16,6423.03,6427.03,1.92,12850.06,4
pl0,oltp,2000000,4,17,6426.96,6419.96,1.92,12846.93,4
pl0,oltp,2000000,4,18,5913.01,5912.01,2.39,11825.02,4
pl0,oltp,2000000,4,19,5364.03,5367.03,2.37,10731.06,4
pl0,oltp,2000000,4,20,6262.95,6263.95,2.38,12526.91,4
pl0,oltp,2000000,4,21,6319.02,6317.02,2.37,12636.04,4
pl0,oltp,2000000,4,22,6374.99,6373.99,1.95,12748.97,4
pl0,oltp,2000000,4,23,6362.99,6364.99,2.10,12727.98,4
pl0,oltp,2000000,4,24,6411.00,6408.00,1.94,12819.01,4
pl0,oltp,2000000,4,25,6291.00,6292.00,2.18,12583.00,4
pl0,oltp,2000000,4,26,6335.00,6337.00,2.00,12672.00,4
pl0,oltp,2000000,4,27,6285.00,6288.00,2.12,12572.99,4
pl0,oltp,2000000,4,28,6384.99,6380.99,2.03,12765.98,4
pl0,oltp,2000000,4,29,6093.02,6091.02,2.32,12184.03,4
pl0,oltp,2000000,4,30,6093.99,6096.99,2.33,12190.98,4
pl0,oltp,2000000,64,1,29119.66,29148.66,10.47,58268.33,64
pl0,oltp,2000000,64,2,29969.11,29970.11,9.57,59939.22,64
pl0,oltp,2000000,64,3,29774.01,29795.01,9.70,59569.01,64
pl0,oltp,2000000,64,4,30741.00,30738.00,9.65,61479.00,64
pl0,oltp,2000000,64,5,30627.81,30615.81,9.55,61243.62,64
pl0,oltp,2000000,64,6,30717.22,30713.22,9.65,61430.45,64
pl0,oltp,2000000,64,7,30736.83,30735.83,9.60,61472.67,64
pl0,oltp,2000000,64,8,30758.19,30777.20,9.62,61535.39,64
pl0,oltp,2000000,64,9,30846.82,30834.82,9.54,61681.63,64
pl0,oltp,2000000,64,10,30812.66,30828.66,9.65,61641.32,64
pl0,oltp,2000000,64,11,30897.46,30893.46,9.56,61790.92,64
pl0,oltp,2000000,64,12,31032.05,31025.05,9.73,62057.09,64
pl0,oltp,2000000,64,13,30765.69,30758.69,9.88,61524.37,64
pl0,oltp,2000000,64,14,30911.09,30917.09,9.70,61828.18,64
pl0,oltp,2000000,64,15,28783.09,28776.09,9.93,57559.19,64
pl0,oltp,2000000,64,16,29326.90,29322.90,10.01,58649.80,64
pl0,oltp,2000000,64,17,29348.02,29355.02,10.07,58703.04,64
pl0,oltp,2000000,64,18,30844.93,30849.93,9.64,61694.85,64
pl0,oltp,2000000,64,19,30443.01,30425.01,9.75,60868.03,64
pl0,oltp,2000000,64,20,30580.71,30584.71,9.77,61165.42,64
pl0,oltp,2000000,64,21,30818.33,30832.33,9.60,61650.66,64
pl0,oltp,2000000,64,22,30632.94,30619.94,9.74,61252.87,64
pl0,oltp,2000000,64,23,30756.95,30762.95,9.64,61519.90,64
pl0,oltp,2000000,64,24,30592.08,30586.08,9.78,61177.16,64
pl0,oltp,2000000,64,25,30550.94,30561.94,9.78,61113.88,64
pl0,oltp,2000000,64,26,30652.08,30648.08,9.63,61300.17,64
pl0,oltp,2000000,64,27,30648.99,30640.99,9.68,61289.99,64
pl0,oltp,2000000,64,28,30545.00,30553.00,9.72,61098.00,64
pl0,oltp,2000000,64,29,30618.01,30633.01,9.76,61251.02,64
pl0,oltp,2000000,63,30,29315.03,29303.03,9.81,58618.06,64
pl0,oltp,2000000,8,1,11590.17,11596.17,2.41,23186.33,8
pl0,oltp,2000000,8,2,11612.01,11611.01,2.41,23223.03,8
pl0,oltp,2000000,8,3,11905.59,11907.59,2.41,23813.18,8
pl0,oltp,2000000,8,4,11768.39,11765.39,2.42,23533.78,8
pl0,oltp,2000000,8,5,11787.98,11790.98,2.41,23578.96,8
pl0,oltp,2000000,8,6,12021.91,12018.91,2.38,24040.82,8
pl0,oltp,2000000,8,7,12361.10,12359.10,2.21,24720.20,8
pl0,oltp,2000000,8,8,12236.97,12239.97,2.24,24476.93,8
pl0,oltp,2000000,8,9,12664.06,12665.06,1.97,25329.12,8
pl0,oltp,2000000,8,10,12503.89,12501.89,2.13,25005.77,8
pl0,oltp,2000000,8,11,11871.06,11871.06,2.44,23742.12,8
pl0,oltp,2000000,8,12,11856.95,11853.95,2.42,23710.90,8
pl0,oltp,2000000,8,13,12048.10,12050.10,2.37,24098.19,8
pl0,oltp,2000000,8,14,11739.00,11743.00,2.36,23481.99,8
pl0,oltp,2000000,8,15,11852.01,11849.01,2.43,23701.01,8
pl0,oltp,2000000,8,16,11758.96,11758.96,2.40,23517.91,8
pl0,oltp,2000000,8,17,11732.01,11728.01,2.40,23460.01,8
pl0,oltp,2000000,8,18,11826.03,11829.03,2.42,23655.07,8
pl0,oltp,2000000,8,19,11708.91,11706.91,2.45,23415.81,8
pl0,oltp,2000000,8,20,11760.08,11762.08,2.42,23522.17,8
pl0,oltp,2000000,8,21,11556.00,11557.00,2.42,23112.99,8
pl0,oltp,2000000,8,22,11813.99,11809.99,2.42,23623.97,8
pl0,oltp,2000000,8,23,11840.02,11844.02,2.44,23684.03,8
pl0,oltp,2000000,8,24,11933.97,11934.97,2.31,23868.93,8
pl0,oltp,2000000,8,25,11754.94,11752.94,2.43,23507.88,8
pl0,oltp,2000000,8,26,11904.05,11903.05,2.45,23807.10,8
pl0,oltp,2000000,8,27,11927.01,11926.01,2.45,23853.02,8
pl0,oltp,2000000,8,28,12375.88,12379.88,2.17,24755.76,8
pl0,oltp,2000000,8,29,12261.08,12261.08,2.20,24522.16,8
pl0,oltp,2000000,8,30,11995.00,11995.00,2.31,23990.01,8
pl0,oltp_ro,2000000,1,1,0.00,3130.15,0.98,3130.15,1
pl0,oltp_ro,2000000,1,2,0.00,3137.57,0.99,3137.57,1
pl0,oltp_ro,2000000,1,3,0.00,3221.45,0.94,3221.45,1
pl0,oltp_ro,2000000,1,4,0.00,3149.02,0.97,3149.02,1
pl0,oltp_ro,2000000,1,5,0.00,3137.99,0.97,3137.99,1
pl0,oltp_ro,2000000,1,6,0.00,3150.01,0.97,3150.01,1
pl0,oltp_ro,2000000,1,7,0.00,3118.98,0.98,3118.98,1
pl0,oltp_ro,2000000,1,8,0.00,3147.03,0.96,3147.03,1
pl0,oltp_ro,2000000,1,9,0.00,3141.98,0.96,3141.98,1
pl0,oltp_ro,2000000,1,10,0.00,3161.00,0.96,3161.00,1
pl0,oltp_ro,2000000,1,11,0.00,3174.00,0.98,3174.00,1
pl0,oltp_ro,2000000,1,12,0.00,3188.98,0.97,3188.98,1
pl0,oltp_ro,2000000,1,13,0.00,3147.02,0.97,3147.02,1
pl0,oltp_ro,2000000,1,14,0.00,3225.01,0.94,3225.01,1
pl0,oltp_ro,2000000,1,15,0.00,3128.99,0.97,3128.99,1
pl0,oltp_ro,2000000,1,16,0.00,3069.00,1.02,3069.00,1
pl0,oltp_ro,2000000,1,17,0.00,3183.03,0.97,3183.03,1
pl0,oltp_ro,2000000,1,18,0.00,3212.95,0.94,3212.95,1
pl0,oltp_ro,2000000,1,19,0.00,3090.02,1.01,3090.02,1
pl0,oltp_ro,2000000,1,20,0.00,3146.99,0.98,3146.99,1
pl0,oltp_ro,2000000,1,21,0.00,3102.03,0.98,3102.03,1
pl0,oltp_ro,2000000,1,22,0.00,3137.98,0.97,3137.98,1
pl0,oltp_ro,2000000,1,23,0.00,2934.00,1.30,2934.00,1
pl0,oltp_ro,2000000,1,24,0.00,3212.99,0.94,3212.99,1
pl0,oltp_ro,2000000,1,25,0.00,3186.02,0.96,3186.02,1
pl0,oltp_ro,2000000,1,26,0.00,3125.95,1.00,3125.95,1
