engine,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
wt,oltp,2000000,1,10,850.23,3968.95,4.03,283.41,1
wt,oltp,2000000,1,20,904.20,4218.71,3.57,301.40,1
wt,oltp,2000000,1,30,911.40,4252.90,3.52,303.80,1
wt,oltp,2000000,1,40,857.10,4001.00,3.90,285.70,1
wt,oltp,2000000,1,50,872.40,4070.30,3.84,290.80,1
wt,oltp,2000000,1,60,924.90,4317.10,3.43,308.30,1
wt,oltp,2000000,1,70,919.20,4289.00,3.44,306.40,1
wt,oltp,2000000,1,80,919.20,4290.40,3.65,306.40,1
wt,oltp,2000000,1,90,864.60,4033.79,3.84,288.20,1
wt,oltp,2000000,1,100,797.70,3723.21,3.89,265.90,1
wt,oltp,2000000,1,110,840.00,3919.40,3.86,280.00,1
wt,oltp,2000000,1,120,936.70,4371.80,3.33,312.20,1
wt,oltp,2000000,1,130,923.90,4312.00,3.38,308.00,1
wt,oltp,2000000,1,140,936.00,4367.40,3.35,312.00,1
wt,oltp,2000000,1,150,925.40,4318.20,3.38,308.40,1
wt,oltp,2000000,1,160,920.80,4297.50,3.39,307.00,1
wt,oltp,2000000,1,170,911.10,4252.10,3.38,303.70,1
wt,oltp,2000000,1,180,904.70,4221.21,3.37,301.50,1
wt,oltp,2000000,1,190,900.10,4200.60,3.39,300.10,1
wt,oltp,2000000,1,200,904.30,4220.40,3.47,301.40,1
wt,oltp,2000000,1,210,903.20,4215.00,3.38,301.10,1
wt,oltp,2000000,1,220,917.40,4281.20,3.34,305.80,1
wt,oltp,2000000,1,230,912.60,4258.70,3.35,304.20,1
wt,oltp,2000000,1,240,914.70,4269.00,3.35,304.90,1
wt,oltp,2000000,1,250,916.80,4277.40,3.34,305.60,1
wt,oltp,2000000,1,260,833.70,3890.70,3.77,277.90,1
wt,oltp,2000000,1,270,812.70,3793.50,3.78,270.90,1
wt,oltp,2000000,1,280,912.70,4258.91,3.36,304.20,1
wt,oltp,2000000,1,290,902.60,4212.38,3.76,300.90,1
wt,oltp,2000000,1,300,919.80,4292.42,3.32,306.60,1
wt,oltp,2000000,1,310,924.90,4315.99,3.32,308.30,1
wt,oltp,2000000,1,320,913.20,4261.61,3.36,304.40,1
wt,oltp,2000000,1,330,921.90,4302.00,3.34,307.30,1
wt,oltp,2000000,1,340,911.40,4252.90,3.35,303.80,1
wt,oltp,2000000,1,350,924.30,4314.20,3.32,308.10,1
wt,oltp,2000000,1,360,914.70,4268.10,3.35,304.90,1
wt,oltp,2000000,1,370,866.40,4043.49,3.78,288.80,1
wt,oltp,2000000,1,380,905.40,4225.21,3.74,301.80,1
wt,oltp,2000000,1,390,909.90,4246.19,3.37,303.30,1
wt,oltp,2000000,1,400,932.10,4349.81,3.30,310.70,1
wt,oltp,2000000,1,410,910.80,4250.39,3.35,303.60,1
wt,oltp,2000000,1,420,928.50,4332.31,3.30,309.50,1
wt,oltp,2000000,1,430,884.10,4126.40,3.77,294.70,1
wt,oltp,2000000,1,440,910.80,4250.50,3.65,303.60,1
wt,oltp,2000000,1,450,932.40,4350.80,3.30,310.80,1
wt,oltp,2000000,1,460,914.70,4269.20,3.34,304.90,1
wt,oltp,2000000,1,470,930.60,4342.10,3.29,310.20,1
wt,oltp,2000000,1,480,914.70,4268.70,3.38,304.90,1
wt,oltp,2000000,1,490,915.00,4270.40,3.64,305.00,1
wt,oltp,2000000,1,500,911.10,4252.00,3.69,303.70,1
wt,oltp,2000000,1,510,921.60,4300.50,3.34,307.20,1
wt,oltp,2000000,1,520,923.70,4309.70,3.30,307.90,1
wt,oltp,2000000,1,530,920.10,4295.00,3.33,306.70,1
wt,oltp,2000000,1,540,918.00,4283.10,3.35,306.00,1
wt,oltp,2000000,1,550,917.40,4281.40,3.67,305.80,1
wt,oltp,2000000,1,560,927.90,4330.90,3.30,309.30,1
wt,oltp,2000000,1,570,924.60,4314.80,3.32,308.20,1
wt,oltp,2000000,1,580,917.70,4282.70,3.32,305.90,1
wt,oltp,2000000,1,590,927.60,4328.60,3.31,309.20,1
wt,oltp,2000000,1,600,921.30,4299.40,3.32,307.10,1
wt,oltp,2000000,128,10,15955.26,74561.27,36.96,5317.85,128
wt,oltp,2000000,128,20,15823.59,73848.48,35.53,5274.60,128
wt,oltp,2000000,128,30,15617.47,72879.75,35.91,5205.19,128
wt,oltp,2000000,128,40,15153.93,70726.03,36.93,5052.01,128
wt,oltp,2000000,128,50,15081.70,70378.72,36.97,5027.10,128
wt,oltp,2000000,128,60,15359.40,71674.80,35.65,5119.60,128
wt,oltp,2000000,128,70,14218.30,66355.89,39.70,4739.70,128
wt,oltp,2000000,128,80,14895.40,69503.91,37.49,4965.20,128
wt,oltp,2000000,128,90,15828.09,73871.15,34.23,5275.90,128
wt,oltp,2000000,128,100,15783.61,73648.16,34.30,5261.10,128
wt,oltp,2000000,128,110,15487.69,72267.37,34.64,5162.50,128
wt,oltp,2000000,128,120,15586.20,72755.38,34.39,5195.20,128
wt,oltp,2000000,128,130,14074.41,65673.23,41.96,4691.70,128
wt,oltp,2000000,128,140,15203.40,70951.41,36.58,5068.00,128
wt,oltp,2000000,128,150,15271.00,71263.18,36.17,5090.30,128
wt,oltp,2000000,128,160,15252.60,71167.91,35.63,5084.20,128
wt,oltp,2000000,128,170,15308.90,71459.58,35.85,5102.90,128
wt,oltp,2000000,128,180,15166.20,70768.41,35.94,5055.10,128
wt,oltp,2000000,128,190,15586.80,72737.39,34.71,5195.90,128
wt,oltp,2000000,128,200,15562.98,72624.32,34.32,5187.29,128
wt,oltp,2000000,128,210,14452.72,67445.78,40.30,4817.81,128
wt,oltp,2000000,128,220,15796.30,73721.98,33.84,5265.30,128
wt,oltp,2000000,128,230,15807.70,73765.82,33.94,5269.50,128
wt,oltp,2000000,128,240,15880.40,74116.59,34.14,5292.70,128
wt,oltp,2000000,128,250,14597.80,68113.02,39.07,4866.50,128
wt,oltp,2000000,128,260,14475.89,67567.37,39.66,4825.60,128
wt,oltp,2000000,128,270,15007.50,70021.72,36.58,5002.40,128
wt,oltp,2000000,128,280,14594.90,68108.49,38.88,4865.20,128
wt,oltp,2000000,128,290,14954.30,69787.10,36.15,4984.40,128
wt,oltp,2000000,128,300,14378.30,67102.62,41.12,4793.10,128
wt,oltp,2000000,128,310,15791.10,73687.50,33.99,5263.40,128
wt,oltp,2000000,128,320,15845.40,73945.69,33.80,5281.80,128
wt,oltp,2000000,128,330,15799.49,73733.44,33.90,5266.60,128
wt,oltp,2000000,128,340,15758.91,73531.06,34.22,5252.80,128
wt,oltp,2000000,128,350,15615.30,72883.59,34.70,5205.30,128
wt,oltp,2000000,128,360,15640.90,72988.19,34.02,5213.70,128
wt,oltp,2000000,128,370,15202.40,70941.22,36.16,5067.00,128
wt,oltp,2000000,128,380,15149.20,70701.59,36.00,5050.00,128
wt,oltp,2000000,128,390,15149.50,70706.30,36.28,5049.60,128
wt,oltp,2000000,128,400,14324.00,66845.09,40.17,4774.70,128
wt,oltp,2000000,128,410,15170.51,70791.03,36.11,5056.80,128
wt,oltp,2000000,128,420,14946.60,69748.78,36.68,4982.50,128
wt,oltp,2000000,128,430,15542.80,72543.20,34.77,5181.10,128
wt,oltp,2000000,128,440,15559.40,72599.51,34.43,5186.10,128
wt,oltp,2000000,128,450,14525.50,67789.19,41.27,4842.20,128
wt,oltp,2000000,128,460,15379.14,71761.43,35.73,5126.48,128
wt,oltp,2000000,128,470,15762.06,73562.08,33.78,5253.62,128
wt,oltp,2000000,128,480,15761.50,73555.12,34.08,5253.80,128
wt,oltp,2000000,128,490,15245.40,71132.29,35.98,5081.90,128
wt,oltp,2000000,128,500,15113.70,70543.19,36.42,5037.80,128
wt,oltp,2000000,128,510,15002.80,70006.31,36.68,5001.10,128
wt,oltp,2000000,128,520,14963.30,69828.00,36.27,4987.80,128
wt,oltp,2000000,128,530,15188.40,70893.21,36.12,5062.90,128
wt,oltp,2000000,128,540,14188.60,66211.01,42.66,4729.10,128
wt,oltp,2000000,128,550,15620.30,72883.38,34.08,5206.80,128
wt,oltp,2000000,128,560,15737.36,73455.42,33.92,5245.99,128
wt,oltp,2000000,128,570,15754.14,73510.40,33.98,5251.51,128
wt,oltp,2000000,128,580,14264.69,66561.86,41.66,4754.70,128
wt,oltp,2000000,128,590,15497.40,72330.41,34.62,5165.90,128
wt,oltp,2000000,125,600,15564.37,72627.64,34.52,5188.19,128
wt,oltp,2000000,16,10,11955.01,55805.82,4.45,3984.90,16
wt,oltp,2000000,16,20,12054.82,56254.31,4.20,4018.31,16
wt,oltp,2000000,16,30,12186.02,56868.20,4.43,4062.01,16
wt,oltp,2000000,16,40,11935.20,55690.72,4.51,3977.40,16
wt,oltp,2000000,16,50,12042.19,56205.58,4.48,4015.10,16
wt,oltp,2000000,16,60,12113.30,56527.90,4.44,4037.80,16
wt,oltp,2000000,16,70,12262.20,57223.09,4.19,4087.40,16
wt,oltp,2000000,16,80,12270.10,57260.40,4.18,4090.00,16
wt,oltp,2000000,16,90,12192.90,56897.99,4.30,4064.20,16
wt,oltp,2000000,16,100,12173.11,56810.17,4.11,4057.80,16
wt,oltp,2000000,16,110,12207.39,56970.34,4.17,4069.10,16
wt,oltp,2000000,16,120,12189.71,56882.75,4.27,4063.20,16
wt,oltp,2000000,16,130,12399.00,57862.50,4.15,4133.00,16
wt,oltp,2000000,16,140,12223.79,57041.86,4.46,4074.50,16
wt,oltp,2000000,16,150,12164.60,56769.61,4.44,4055.00,16
wt,oltp,2000000,16,160,12100.30,56469.38,4.48,4033.50,16
wt,oltp,2000000,16,170,12075.90,56354.42,4.44,4025.30,16
wt,oltp,2000000,16,180,12072.20,56334.51,4.51,4024.00,16
wt,oltp,2000000,16,190,12131.79,56615.77,4.46,4044.00,16
wt,oltp,2000000,16,200,12146.60,56683.50,4.48,4048.70,16
wt,oltp,2000000,16,210,12231.90,57082.02,4.42,4077.40,16
wt,oltp,2000000,16,220,12111.70,56525.31,4.50,4037.30,16
wt,oltp,2000000,16,230,12260.60,57213.09,4.38,4086.80,16
wt,oltp,2000000,16,240,12095.50,56444.81,4.49,4031.70,16
wt,oltp,2000000,16,250,11981.10,55911.70,4.56,3993.90,16
wt,oltp,2000000,16,260,11983.30,55924.10,4.54,3994.30,16
wt,oltp,2000000,16,270,12090.10,56416.99,4.51,4030.00,16
wt,oltp,2000000,16,280,12051.30,56241.09,4.52,4017.10,16
wt,oltp,2000000,16,290,12245.20,57146.10,4.34,4081.90,16
wt,oltp,2000000,16,300,12075.30,56349.52,4.52,4025.10,16
wt,oltp,2000000,16,310,12065.50,56306.59,4.51,4021.80,16
wt,oltp,2000000,16,320,12113.10,56527.51,4.48,4037.70,16
wt,oltp,2000000,16,330,11998.00,55987.99,4.51,3999.30,16
wt,oltp,2000000,16,340,12093.80,56436.58,4.48,4031.30,16
wt,oltp,2000000,16,350,12131.65,56618.06,4.50,4043.88,16
wt,oltp,2000000,16,360,12087.23,56406.83,4.51,4029.11,16
wt,oltp,2000000,16,370,12250.30,57168.51,4.41,4083.40,16
wt,oltp,2000000,16,380,12036.42,56169.20,4.54,4012.11,16
wt,oltp,2000000,16,390,12081.40,56382.09,4.52,4027.20,16
wt,oltp,2000000,16,400,12117.71,56548.92,4.52,4039.20,16
wt,oltp,2000000,16,410,11948.30,55757.50,4.56,3982.70,16
wt,oltp,2000000,16,420,11914.20,55597.99,4.55,3971.40,16
wt,oltp,2000000,16,430,12201.90,56945.21,4.24,4067.40,16
wt,oltp,2000000,16,440,12178.90,56836.09,4.45,4059.50,16
wt,oltp,2000000,16,450,12211.80,56985.11,4.47,4070.60,16
wt,oltp,2000000,16,460,12038.50,56180.69,4.53,4012.90,16
wt,oltp,2000000,16,470,11994.40,55973.02,4.54,3998.10,16
