sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 316.50, reads: 4453.46, writes: 1272.42, response time: 56.97ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 319.50, reads: 4473.00, writes: 1277.80, response time: 56.69ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 321.30, reads: 4498.20, writes: 1284.00, response time: 56.88ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 318.50, reads: 4454.00, writes: 1269.30, response time: 58.42ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 321.10, reads: 4489.70, writes: 1284.10, response time: 56.41ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 320.30, reads: 4493.90, writes: 1283.40, response time: 57.95ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 320.10, reads: 4482.30, writes: 1283.70, response time: 59.24ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 320.70, reads: 4489.90, writes: 1283.30, response time: 56.04ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 320.10, reads: 4461.20, writes: 1274.40, response time: 57.83ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 324.30, reads: 4558.70, writes: 1297.70, response time: 57.55ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 324.00, reads: 4518.10, writes: 1296.30, response time: 56.10ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 321.90, reads: 4526.01, writes: 1290.50, response time: 57.19ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 321.20, reads: 4497.00, writes: 1286.80, response time: 58.03ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 326.50, reads: 4557.80, writes: 1300.30, response time: 55.54ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 324.80, reads: 4560.39, writes: 1305.20, response time: 55.42ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 326.80, reads: 4575.21, writes: 1307.30, response time: 55.15ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 321.60, reads: 4497.90, writes: 1280.70, response time: 56.73ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 324.80, reads: 4551.70, writes: 1304.20, response time: 56.49ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 323.50, reads: 4529.00, writes: 1293.20, response time: 57.43ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 329.90, reads: 4614.40, writes: 1315.20, response time: 54.46ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 329.10, reads: 4611.60, writes: 1322.60, response time: 54.64ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 327.50, reads: 4580.90, writes: 1303.80, response time: 55.34ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 328.10, reads: 4597.50, writes: 1317.50, response time: 55.65ms (95%), errors: 0.00, reconnects:  0.00
