workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,125000,250,10,6751.80,23671.94,158.57,1665.77,250
oltp,125000,250,20,7037.90,24875.90,162.07,1778.50,250
oltp,125000,250,30,7097.60,24573.81,165.51,1753.50,250
oltp,125000,250,40,7120.30,24945.29,161.54,1804.00,250
oltp,125000,250,50,6976.19,24428.88,162.36,1744.10,250
oltp,125000,250,60,7062.41,24688.44,167.90,1742.10,250
oltp,125000,250,70,7123.28,24983.64,162.46,1784.60,250
oltp,125000,250,80,7113.11,25047.12,172.69,1789.30,250
oltp,125000,250,90,7167.31,24976.72,170.59,1783.80,250
oltp,125000,250,100,7067.10,24885.70,161.88,1778.00,250
oltp,125000,250,110,7108.88,24890.63,160.29,1781.19,250
oltp,125000,250,120,7021.02,24558.36,162.90,1754.80,250
oltp,125000,250,130,7046.90,24708.31,186.67,1762.20,250
oltp,125000,250,140,7032.00,24576.60,154.49,1758.80,250
oltp,125000,250,150,7149.19,24983.95,151.25,1787.50,250
oltp,125000,250,160,7195.41,25031.32,171.25,1797.90,250
oltp,125000,250,170,7087.40,24906.59,167.60,1772.85,250
oltp,125000,250,180,7112.61,24874.33,161.25,1777.75,250
oltp,125000,250,190,7161.80,24956.39,172.02,1769.50,250
oltp,125000,250,200,7200.41,25217.32,167.05,1801.20,250
oltp,125000,250,210,7242.29,25569.08,149.09,1830.40,250
oltp,125000,250,220,7091.50,24827.61,161.59,1772.30,250
oltp,125000,250,230,7089.41,24646.42,172.64,1757.60,250
oltp,125000,250,240,7067.69,24806.77,158.95,1781.20,250
oltp,125000,250,250,7192.49,25259.87,168.45,1798.10,250
oltp,125000,250,260,7108.39,24649.18,164.03,1778.90,250
oltp,125000,250,270,7117.52,24892.87,160.48,1777.31,250
oltp,125000,250,280,7241.80,25326.01,173.68,1791.80,250
oltp,125000,250,290,7107.50,25119.18,151.47,1797.40,250
oltp,125000,250,300,7084.40,24566.40,163.88,1771.10,250
oltp,125000,250,310,6997.10,24703.90,176.88,1742.20,250
oltp,125000,250,320,7165.90,24991.19,161.73,1784.60,250
oltp,125000,250,330,6986.20,24418.21,172.12,1744.00,250
oltp,125000,250,340,7114.69,24884.18,160.34,1794.40,250
oltp,125000,250,350,7108.90,25012.01,180.46,1777.30,250
oltp,125000,250,360,7241.30,25274.70,161.64,1797.90,250
oltp,125000,250,370,7112.00,24833.40,174.93,1773.60,250
oltp,125000,250,380,7038.83,24745.19,178.15,1767.71,250
oltp,125000,250,390,7094.07,24910.41,162.27,1782.09,250
oltp,125000,250,400,7156.30,25044.00,158.52,1787.00,250
oltp,125000,250,410,7159.69,24976.57,167.50,1783.20,250
oltp,125000,250,420,7187.11,24956.84,172.49,1782.20,250
oltp,125000,250,430,7040.09,24710.37,170.84,1783.20,250
oltp,125000,250,440,7149.21,25031.23,162.27,1769.90,250
oltp,125000,250,450,7276.99,25572.08,154.77,1826.90,250
oltp,125000,250,460,6959.00,24404.32,243.07,1750.80,250
oltp,125000,250,470,7181.60,24972.41,157.81,1776.20,250
oltp,125000,250,480,7009.90,24699.89,173.11,1770.80,250
oltp,125000,250,490,7194.20,25110.10,160.72,1799.10,250
oltp,125000,250,500,7044.60,24514.70,166.75,1738.40,250
oltp,125000,250,510,7004.10,24586.50,163.39,1756.20,250
oltp,125000,250,520,7030.20,24681.39,166.10,1774.80,250
oltp,125000,250,530,7082.20,24913.31,157.62,1770.10,250
oltp,125000,250,540,7080.40,24781.21,205.99,1768.70,250
oltp,125000,250,550,6859.40,23931.80,225.75,1708.70,250
oltp,125000,250,560,7108.40,24936.60,166.20,1781.80,250
oltp,125000,250,570,7064.70,24735.80,200.69,1767.10,250
oltp,125000,250,580,7113.19,24902.98,164.42,1779.40,250
oltp,125000,250,590,7067.79,24456.68,172.28,1768.80,250
oltp,125000,250,600,7042.90,24873.49,194.89,1760.50,250
oltp,125000,250,610,7123.11,24739.53,235.13,1781.00,250
oltp,125000,250,620,7088.01,24936.42,188.97,1759.90,250
oltp,125000,250,630,7136.60,24852.59,156.26,1794.90,250
oltp,125000,250,640,7040.70,24638.51,246.37,1739.80,250
oltp,125000,250,650,7205.20,25344.20,150.34,1822.70,250
oltp,125000,250,660,7076.60,24621.99,168.25,1766.20,250
oltp,125000,250,670,7088.90,24913.42,165.21,1761.40,250
oltp,125000,250,680,7004.10,24667.19,162.71,1765.00,250
oltp,125000,250,690,7155.23,24922.11,157.01,1775.51,250
oltp,125000,250,700,7031.07,24571.19,181.22,1770.09,250
oltp,125000,250,710,6991.60,24566.09,169.31,1749.00,250
oltp,125000,250,720,7047.80,24705.59,163.68,1756.20,250
oltp,125000,250,730,7096.21,24819.12,243.87,1778.90,250
oltp,125000,250,740,7077.19,24667.67,166.30,1767.90,250
oltp,125000,250,750,7137.51,25058.14,234.42,1777.50,250
oltp,125000,250,760,7116.10,24758.78,196.18,1788.20,250
oltp,125000,250,770,7112.90,25064.11,165.41,1770.90,250
oltp,125000,250,780,7123.50,24960.10,173.68,1786.20,250
oltp,125000,250,790,7097.20,24596.99,174.35,1775.50,250
oltp,125000,250,800,7119.20,25140.88,157.20,1778.50,250
oltp,125000,250,810,7084.21,24713.82,170.38,1759.80,250
oltp,125000,250,820,7081.60,24925.48,162.41,1782.70,250
oltp,125000,250,830,7161.30,24901.52,159.86,1776.30,250
oltp,125000,250,840,7016.29,24669.68,164.57,1769.00,250
oltp,125000,250,850,7027.00,24384.39,158.81,1754.50,250
oltp,125000,250,860,7058.80,24667.30,185.89,1760.70,250
oltp,125000,250,870,7046.11,24799.84,165.85,1753.10,250
oltp,125000,250,880,7124.77,24840.00,237.39,1774.19,250
oltp,125000,250,890,7057.04,24679.64,225.95,1783.91,250
oltp,125000,250,900,7078.58,25018.44,194.54,1767.40,250
oltp,125000,250,910,7117.80,24812.50,155.61,1771.00,250
oltp,125000,250,920,7058.60,24615.69,169.26,1775.20,250
oltp,125000,250,930,7135.50,24925.90,161.15,1783.00,250
oltp,125000,250,940,7107.50,24870.21,237.82,1756.60,250
oltp,125000,250,950,7017.50,24796.99,177.73,1777.60,250
oltp,125000,250,960,7006.30,24423.99,165.90,1751.70,250
oltp,125000,250,970,7118.10,24791.31,215.84,1757.30,250
oltp,125000,250,980,7160.89,25178.27,172.95,1809.70,250
oltp,125000,250,990,7029.40,24641.92,163.44,1758.40,250
oltp,125000,250,1000,7139.50,24852.51,161.25,1765.40,250
oltp,125000,250,1010,7062.10,24952.20,169.21,1785.50,250
oltp,125000,250,1020,7107.60,24612.50,232.75,1754.80,250
oltp,125000,250,1030,6987.40,24689.59,225.21,1766.50,250
oltp,125000,250,1040,7137.61,24744.92,182.09,1764.50,250
oltp,125000,250,1050,7058.10,24970.99,214.23,1787.10,250
oltp,125000,250,1060,6893.80,24121.70,250.38,1724.30,250
oltp,125000,250,1070,7131.00,24790.98,158.81,1766.30,250
oltp,125000,250,1080,7127.01,25030.63,200.27,1787.90,250
oltp,125000,250,1090,7028.10,24520.39,159.24,1767.40,250
oltp,125000,250,1100,7091.00,24869.20,163.24,1770.60,250
oltp,125000,250,1110,6978.80,24414.71,252.26,1733.60,250
oltp,125000,250,1120,7071.60,24605.61,238.46,1757.40,250
oltp,125000,250,1130,7108.10,24985.98,183.62,1784.80,250
oltp,125000,250,1140,7006.30,24691.30,185.61,1766.30,250
oltp,125000,250,1150,7147.30,25016.89,197.24,1786.10,250
oltp,125000,250,1160,7159.90,24807.31,186.50,1791.90,250
oltp,125000,250,1170,6999.20,24494.00,163.54,1727.60,250
oltp,125000,250,1180,7125.80,25018.10,177.25,1787.10,250
oltp,125000,250,1190,7079.99,24954.78,206.98,1786.10,250
oltp,125000,250,1200,7114.80,24809.70,161.15,1776.70,250
oltp,125000,250,1210,7120.31,24722.42,162.75,1757.50,250
oltp,125000,250,1220,6998.30,24526.10,173.16,1751.90,250
oltp,125000,250,1230,6859.00,24127.89,244.46,1723.50,250
oltp,125000,250,1240,7162.39,25187.18,155.33,1800.70,250
oltp,125000,250,1250,7065.51,24476.72,202.56,1765.10,250
oltp,125000,250,1260,7067.40,24811.69,233.51,1753.70,250
oltp,125000,250,1270,7137.40,25092.41,238.17,1800.40,250
oltp,125000,250,1280,6991.22,24479.46,171.25,1749.10,250
oltp,125000,250,1290,7094.48,24662.74,180.79,1774.10,250
oltp,125000,250,1300,7082.70,24967.10,162.85,1769.10,250
oltp,125000,250,1310,7143.50,24952.30,158.90,1775.60,250
oltp,125000,250,1320,7039.90,24480.39,184.12,1770.30,250
oltp,125000,250,1330,7110.20,24928.11,208.35,1778.10,250
oltp,125000,250,1340,7046.80,24885.70,230.39,1762.80,250
oltp,125000,250,1350,7034.73,24574.99,163.19,1751.61,250
oltp,125000,250,1360,7069.08,24785.72,241.55,1771.79,250
oltp,125000,250,1370,6942.80,24305.50,228.26,1737.40,250
oltp,125000,250,1380,7146.00,24791.00,183.40,1787.30,250
oltp,125000,250,1390,7079.90,24973.89,164.96,1765.10,250
oltp,125000,250,1400,7159.60,24864.41,237.60,1794.60,250
oltp,125000,250,1410,7147.90,25038.81,157.86,1768.30,250
oltp,125000,250,1420,7094.50,24751.10,161.54,1767.90,250
oltp,125000,250,1430,7091.70,25100.99,172.74,1797.40,250
oltp,125000,250,1440,7129.00,24688.62,166.00,1759.00,250
oltp,125000,250,1450,6963.19,24555.76,163.00,1764.30,250
oltp,125000,250,1460,7143.41,24969.13,165.26,1773.50,250
oltp,125000,250,1470,7042.39,24575.46,167.40,1755.10,250
oltp,125000,250,1480,7111.91,24819.34,163.14,1772.80,250
oltp,125000,250,1490,6987.09,24592.38,172.54,1767.20,250
oltp,125000,250,1500,7050.79,24757.58,204.76,1765.20,250
oltp,125000,250,1510,7021.70,24598.42,167.00,1751.10,250
oltp,125000,250,1520,7033.20,24616.71,166.10,1757.70,250
oltp,125000,250,1530,7100.00,24716.11,163.00,1764.70,250
oltp,125000,250,1540,7037.30,24598.70,220.34,1757.00,250
oltp,125000,250,1550,7055.71,24872.14,233.17,1781.50,250
oltp,125000,250,1560,7127.49,24673.26,185.83,1757.40,250
oltp,125000,250,1570,7202.09,25441.78,163.83,1818.10,250
oltp,125000,250,1580,7036.30,24435.61,162.22,1744.60,250
oltp,125000,250,1590,6939.50,24396.69,227.17,1742.70,250
oltp,125000,250,1600,7104.21,24731.02,173.89,1766.40,250
oltp,125000,250,1610,7048.39,24812.86,239.75,1784.90,250
oltp,125000,250,1620,6973.21,24500.03,175.45,1738.70,250
oltp,125000,250,1630,7081.00,24779.40,159.43,1773.10,250
oltp,125000,250,1640,7059.10,24660.10,238.03,1757.20,250
oltp,125000,250,1650,7025.30,24403.90,171.66,1762.40,250
oltp,125000,250,1660,7131.40,25108.40,239.25,1785.10,250
oltp,125000,250,1670,7093.00,24659.00,242.93,1750.20,250
oltp,125000,250,1680,7045.70,24674.81,235.97,1762.90,250
oltp,125000,250,1690,7078.70,25002.79,189.26,1790.60,250
oltp,125000,250,1700,7140.51,24774.02,172.74,1764.50,250
oltp,125000,250,1710,7070.70,24813.80,235.90,1772.50,250
oltp,125000,250,1720,6938.79,24433.88,241.91,1750.30,250
oltp,125000,250,1730,7196.70,25004.62,165.36,1780.90,250
oltp,125000,250,1740,7002.10,24448.31,182.47,1746.30,250
oltp,125000,250,1750,7058.19,24900.17,172.54,1787.30,250
oltp,125000,250,1760,7014.20,24579.02,234.64,1754.80,250
oltp,125000,250,1770,6964.00,24364.09,211.87,1741.80,250
oltp,125000,250,1780,7085.51,24589.32,157.01,1747.00,250
oltp,125000,250,1790,7135.70,25071.59,196.89,1790.90,250
oltp,125000,250,1800,7097.59,24831.87,192.28,1791.80,250
oltp,125000,250,1810,6956.91,24499.23,194.83,1735.60,250
oltp,125000,250,1820,7166.80,24855.90,241.11,1771.60,250
oltp,125000,250,1830,6976.60,24612.19,158.71,1758.40,250
oltp,125000,250,1840,6999.69,24414.08,237.04,1757.60,250
oltp,125000,250,1850,6964.01,24481.83,236.33,1735.40,250
oltp,125000,250,1860,7117.79,24934.56,166.20,1783.40,250
oltp,125000,250,1870,7071.21,24695.03,208.72,1760.90,250
oltp,125000,250,1880,6935.00,24317.69,185.83,1737.40,250
oltp,125000,250,1890,7203.81,25161.22,234.21,1805.40,250
oltp,125000,250,1900,7049.30,24744.00,242.05,1761.10,250
oltp,125000,250,1910,7132.00,24850.80,242.56,1772.70,250
oltp,125000,250,1920,7030.30,24715.89,182.63,1769.20,250
oltp,125000,250,1930,7105.10,24792.89,233.30,1778.40,250
oltp,125000,250,1940,6987.92,24313.87,168.96,1725.41,250
oltp,125000,250,1950,6934.49,24460.85,193.50,1748.10,250
oltp,125000,250,1960,7154.40,24989.20,233.37,1784.20,250
oltp,125000,250,1970,7022.60,24618.49,161.11,1762.90,250
oltp,125000,250,1980,6981.80,24471.91,166.30,1745.20,250
oltp,125000,250,1990,7129.10,24983.49,200.63,1785.20,250
oltp,125000,250,2000,7094.40,24812.01,240.83,1774.90,250
oltp,125000,250,2010,6986.50,24455.50,184.61,1744.40,250
oltp,125000,250,2020,7099.10,24646.50,236.75,1757.70,250
oltp,125000,250,2030,7031.20,24559.69,240.32,1754.20,250
oltp,125000,250,2040,7071.49,24756.37,241.40,1791.00,250
oltp,125000,250,2050,7040.21,24726.43,168.66,1744.50,250
oltp,125000,250,2060,6940.00,24310.11,225.55,1735.50,250
oltp,125000,250,2070,6992.60,24450.00,173.99,1746.60,250
oltp,125000,250,2080,7057.60,24588.01,225.48,1756.00,250
oltp,125000,250,2090,7071.90,24946.49,168.30,1790.80,250
oltp,125000,250,2100,6962.70,24354.51,245.19,1731.00,250
oltp,125000,250,2110,6973.00,24499.69,179.87,1750.60,250
oltp,125000,250,2120,7189.90,25141.99,159.67,1795.50,250
oltp,125000,250,2130,7040.01,24390.32,202.81,1741.40,250
oltp,125000,250,2140,7126.51,25172.25,177.78,1798.50,250
oltp,125000,250,2150,7180.68,24922.55,234.00,1779.70,250
oltp,125000,250,2160,7085.50,24801.89,156.59,1790.40,250
oltp,125000,250,2170,6993.70,24698.29,241.91,1752.50,250
oltp,125000,250,2180,7037.09,24672.68,249.56,1756.50,250
oltp,125000,250,2190,7063.41,24703.73,173.73,1766.70,250
oltp,125000,250,2200,7151.00,25047.49,160.34,1789.70,250
oltp,125000,250,2210,7076.50,24499.71,170.74,1745.90,250
oltp,125000,250,2220,7014.50,24535.01,188.47,1752.50,250
oltp,125000,250,2230,7138.50,25164.51,171.76,1797.80,250
oltp,125000,250,2240,6928.39,24327.36,184.89,1743.40,250
oltp,125000,250,2250,7122.88,24680.04,242.42,1770.40,250
oltp,125000,250,2260,6847.82,24122.76,245.70,1709.90,250
oltp,125000,250,2270,6932.70,24143.51,176.56,1724.10,250
oltp,125000,250,2280,6994.40,24633.00,228.88,1759.60,250
oltp,125000,250,2290,7029.30,24437.30,216.61,1762.90,250
oltp,125000,250,2300,7111.50,25082.20,165.75,1774.60,250
oltp,125000,250,2310,7107.10,24885.79,235.20,1777.90,250
oltp,125000,250,2320,7027.40,24481.39,246.07,1764.20,250
oltp,125000,250,2330,7055.91,24821.93,239.39,1758.10,250
oltp,125000,250,2340,7155.40,25049.89,184.50,1791.70,250
oltp,125000,250,2350,7191.60,25057.51,216.87,1786.00,250
oltp,125000,250,2360,7010.00,24584.50,187.00,1765.20,250
oltp,125000,250,2370,7122.40,24944.00,172.33,1772.70,250
oltp,125000,250,2380,7031.10,24660.79,206.67,1762.00,250
oltp,125000,250,2390,6987.50,24376.81,211.99,1740.50,250
