sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 500, tps: 4043.33, reads: 57329.03, writes: 16342.32, response time: 147.31ms (95%), errors: 1.60, reconnects:  0.00
[  20s] threads: 500, tps: 4090.53, reads: 57280.03, writes: 16389.22, response time: 138.01ms (95%), errors: 0.90, reconnects:  0.00
[  30s] threads: 500, tps: 4194.37, reads: 58511.62, writes: 16587.06, response time: 131.12ms (95%), errors: 1.20, reconnects:  0.00
[  40s] threads: 500, tps: 4058.11, reads: 57052.49, writes: 16430.95, response time: 151.88ms (95%), errors: 0.90, reconnects:  0.00
[  50s] threads: 500, tps: 4144.13, reads: 58022.76, writes: 16509.10, response time: 137.59ms (95%), errors: 0.40, reconnects:  0.00
[  60s] threads: 500, tps: 4089.97, reads: 57272.82, writes: 16430.69, response time: 135.39ms (95%), errors: 0.90, reconnects:  0.00
[  70s] threads: 500, tps: 4145.89, reads: 58052.31, writes: 16560.97, response time: 131.99ms (95%), errors: 0.70, reconnects:  0.00
[  80s] threads: 500, tps: 4092.89, reads: 56719.55, writes: 16198.56, response time: 143.01ms (95%), errors: 0.80, reconnects:  0.00
[  90s] threads: 500, tps: 3995.41, reads: 56534.87, writes: 16181.05, response time: 149.22ms (95%), errors: 0.50, reconnects:  0.00
[ 100s] threads: 500, tps: 4092.90, reads: 57307.59, writes: 16359.70, response time: 163.00ms (95%), errors: 0.50, reconnects:  0.00
[ 110s] threads: 500, tps: 4063.67, reads: 56903.70, writes: 16187.59, response time: 133.62ms (95%), errors: 0.90, reconnects:  0.00
[ 120s] threads: 500, tps: 4094.73, reads: 57334.26, writes: 16412.13, response time: 137.76ms (95%), errors: 0.60, reconnects:  0.00
[ 130s] threads: 500, tps: 4140.10, reads: 57970.57, writes: 16609.62, response time: 136.28ms (95%), errors: 0.60, reconnects:  0.00
[ 140s] threads: 500, tps: 4094.79, reads: 57329.89, writes: 16225.67, response time: 162.85ms (95%), errors: 1.20, reconnects:  0.00
[ 150s] threads: 500, tps: 4045.30, reads: 56640.94, writes: 16196.48, response time: 135.59ms (95%), errors: 0.90, reconnects:  0.00
[ 160s] threads: 500, tps: 4142.10, reads: 58018.60, writes: 16615.40, response time: 135.79ms (95%), errors: 1.30, reconnects:  0.00
[ 170s] threads: 500, tps: 4099.59, reads: 56971.28, writes: 16297.06, response time: 144.30ms (95%), errors: 1.20, reconnects:  0.00
[ 180s] threads: 500, tps: 4147.24, reads: 58519.77, writes: 16788.96, response time: 132.70ms (95%), errors: 0.70, reconnects:  0.00
[ 190s] threads: 500, tps: 4114.37, reads: 57609.51, writes: 16439.79, response time: 140.38ms (95%), errors: 0.70, reconnects:  0.00
[ 200s] threads: 500, tps: 4036.10, reads: 56437.08, writes: 15969.09, response time: 170.38ms (95%), errors: 0.70, reconnects:  0.00
[ 210s] threads: 500, tps: 4093.70, reads: 57399.92, writes: 16405.81, response time: 142.37ms (95%), errors: 0.90, reconnects:  0.00
[ 220s] threads: 500, tps: 4111.30, reads: 57546.48, writes: 16497.09, response time: 140.13ms (95%), errors: 0.60, reconnects:  0.00
[ 230s] threads: 500, tps: 4139.70, reads: 57994.84, writes: 16618.18, response time: 134.66ms (95%), errors: 1.10, reconnects:  0.00
[ 240s] threads: 500, tps: 4194.29, reads: 58330.13, writes: 16636.15, response time: 134.10ms (95%), errors: 0.90, reconnects:  0.00
