sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1000
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 1000, tps: 702.09, reads: 11116.68, writes: 2812.64, response time: 1389.09ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1000, tps: 801.60, reads: 10824.38, writes: 3202.09, response time: 1328.10ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1000, tps: 701.70, reads: 10332.90, writes: 3203.00, response time: 1331.29ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1000, tps: 800.90, reads: 11083.83, writes: 2811.11, response time: 1330.89ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1000, tps: 802.90, reads: 10674.88, writes: 3207.89, response time: 1348.53ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1000, tps: 702.20, reads: 10526.71, writes: 3103.30, response time: 1342.09ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1000, tps: 801.00, reads: 10891.51, writes: 2909.50, response time: 1405.83ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1000, tps: 800.30, reads: 10243.67, writes: 3201.19, response time: 1340.48ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1000, tps: 700.40, reads: 11088.30, writes: 2867.50, response time: 1348.13ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1000, tps: 800.30, reads: 10988.88, writes: 3136.59, response time: 1306.42ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1000, tps: 801.90, reads: 10937.22, writes: 3206.31, response time: 1299.78ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1000, tps: 800.90, reads: 10699.98, writes: 3204.29, response time: 1300.56ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1000, tps: 700.90, reads: 10821.80, writes: 3168.70, response time: 1317.02ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1000, tps: 801.30, reads: 11226.51, writes: 2945.70, response time: 1307.98ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1000, tps: 804.70, reads: 11260.18, writes: 3161.69, response time: 1272.07ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1000, tps: 801.00, reads: 11051.95, writes: 3156.01, response time: 1364.37ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1000, tps: 802.20, reads: 11013.68, writes: 3207.59, response time: 1290.48ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1000, tps: 801.10, reads: 10641.93, writes: 3204.41, response time: 1325.32ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1000, tps: 800.40, reads: 10959.77, writes: 3201.59, response time: 1277.79ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1000, tps: 703.40, reads: 11051.00, writes: 3042.70, response time: 1314.26ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1000, tps: 800.00, reads: 11200.43, writes: 3003.81, response time: 1317.02ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 1000, tps: 802.30, reads: 11117.90, writes: 3177.60, response time: 1310.33ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 1000, tps: 808.20, reads: 11242.50, writes: 3232.10, response time: 1307.98ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 1000, tps: 820.90, reads: 11289.11, writes: 3283.00, response time: 1278.56ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 1000, tps: 800.20, reads: 11358.58, writes: 3201.39, response time: 1336.48ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 1000, tps: 802.50, reads: 11098.12, writes: 3209.41, response time: 1318.99ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 1000, tps: 800.60, reads: 10863.87, writes: 3202.39, response time: 1287.39ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 1000, tps: 800.00, reads: 10795.50, writes: 3200.00, response time: 1299.39ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 1000, tps: 700.00, reads: 10920.60, writes: 3080.10, response time: 1327.70ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 1000, tps: 802.60, reads: 11190.13, writes: 2949.21, response time: 1299.39ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 1000, tps: 801.10, reads: 11119.27, writes: 3186.89, response time: 1300.17ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 1000, tps: 801.80, reads: 10913.51, writes: 3222.60, response time: 1298.23ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 1000, tps: 805.30, reads: 10793.60, writes: 3206.00, response time: 1304.85ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 1000, tps: 703.20, reads: 10779.37, writes: 3210.62, response time: 1321.76ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 1000, tps: 801.00, reads: 11209.14, writes: 2974.48, response time: 1306.81ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 1000, tps: 800.30, reads: 11166.10, writes: 3042.60, response time: 1291.25ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 1000, tps: 801.30, reads: 11051.59, writes: 3194.00, response time: 1318.99ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 1000, tps: 800.80, reads: 11198.62, writes: 3203.31, response time: 1283.16ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 1000, tps: 815.70, reads: 11269.78, writes: 3262.59, response time: 1342.49ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 1000, tps: 800.60, reads: 11042.70, writes: 3202.40, response time: 1292.41ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 1000, tps: 810.40, reads: 11019.60, writes: 3250.40, response time: 1336.08ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 1000, tps: 797.80, reads: 10913.42, writes: 3202.80, response time: 1303.29ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 1000, tps: 724.50, reads: 11261.72, writes: 3262.90, response time: 1317.02ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 1000, tps: 812.40, reads: 11365.69, writes: 2891.60, response time: 1367.64ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 1000, tps: 809.50, reads: 11072.41, writes: 3210.80, response time: 1340.08ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 1000, tps: 800.70, reads: 11206.60, writes: 3202.80, response time: 1280.09ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 1000, tps: 803.70, reads: 11167.57, writes: 3214.69, response time: 1274.74ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 1000, tps: 814.70, reads: 11046.60, writes: 3259.60, response time: 1350.15ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 1000, tps: 800.30, reads: 11407.02, writes: 3200.41, response time: 1295.90ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 1000, tps: 800.50, reads: 10957.18, writes: 3201.99, response time: 1318.20ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 1000, tps: 800.10, reads: 11267.10, writes: 3229.60, response time: 1348.13ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 1000, tps: 810.50, reads: 11250.30, writes: 3212.80, response time: 1310.33ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 1000, tps: 801.00, reads: 11135.90, writes: 3204.00, response time: 1288.16ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 1000, tps: 800.00, reads: 11038.49, writes: 3200.00, response time: 1281.63ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 1000, tps: 801.50, reads: 11095.82, writes: 3206.41, response time: 1275.88ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 1000, tps: 743.50, reads: 10973.05, writes: 3203.19, response time: 1299.39ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 1000, tps: 758.10, reads: 11208.35, writes: 3202.01, response time: 1265.99ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 1000, tps: 800.10, reads: 11201.40, writes: 3088.20, response time: 1297.06ms (95%), errors: 0.00, reconnects:  0.00
