sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 250
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 250, tps: 2875.25, reads: 40586.71, writes: 11596.00, response time: 105.01ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 250, tps: 2823.00, reads: 39437.72, writes: 11197.01, response time: 103.57ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 250, tps: 2823.90, reads: 39635.73, writes: 11394.61, response time: 111.75ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 250, tps: 2849.80, reads: 39897.20, writes: 11381.60, response time: 105.01ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 250, tps: 2948.40, reads: 41277.40, writes: 11772.80, response time: 103.79ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 250, tps: 2860.96, reads: 39890.01, writes: 11383.26, response time: 106.52ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 250, tps: 2874.94, reads: 40412.61, writes: 11564.45, response time: 107.65ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 250, tps: 2849.29, reads: 39800.25, writes: 11332.46, response time: 107.71ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 250, tps: 2923.21, reads: 40954.32, writes: 11692.83, response time: 112.02ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 250, tps: 2898.09, reads: 40470.82, writes: 11592.38, response time: 100.97ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 250, tps: 2899.11, reads: 40750.60, writes: 11696.43, response time: 101.94ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 250, tps: 2898.29, reads: 40240.59, writes: 11495.97, response time: 101.82ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 250, tps: 2824.81, reads: 39882.84, writes: 11396.24, response time: 106.59ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 250, tps: 2899.30, reads: 40588.31, writes: 11522.60, response time: 104.28ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 250, tps: 2874.20, reads: 40240.70, writes: 11570.80, response time: 103.54ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 250, tps: 2899.10, reads: 40587.41, writes: 11597.20, response time: 103.63ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 250, tps: 2824.19, reads: 39260.11, writes: 11196.75, response time: 127.25ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 250, tps: 2899.31, reads: 40868.89, writes: 11697.26, response time: 112.15ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 250, tps: 2824.60, reads: 39543.49, writes: 11234.90, response time: 122.36ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 250, tps: 2799.10, reads: 39188.29, writes: 11259.90, response time: 124.80ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 250, tps: 2899.70, reads: 40595.82, writes: 11596.51, response time: 102.34ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 250, tps: 2899.80, reads: 40389.75, writes: 11501.49, response time: 102.92ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 250, tps: 2899.61, reads: 40801.88, writes: 11698.42, response time: 100.48ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 250, tps: 2874.69, reads: 39921.82, writes: 11398.78, response time: 121.38ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 250, tps: 2826.60, reads: 39896.37, writes: 11397.22, response time: 104.53ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 250, tps: 2899.70, reads: 40595.80, writes: 11608.00, response time: 102.77ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 250, tps: 2849.50, reads: 39893.00, writes: 11398.00, response time: 108.23ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 250, tps: 2924.50, reads: 40942.98, writes: 11697.59, response time: 102.18ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 250, tps: 2873.90, reads: 40074.85, writes: 11395.99, response time: 108.55ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 250, tps: 2823.81, reads: 39692.98, writes: 11395.22, response time: 101.82ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 250, tps: 2874.49, reads: 40078.11, writes: 11397.98, response time: 108.46ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 250, tps: 2850.61, reads: 40073.28, writes: 11501.72, response time: 106.62ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 250, tps: 2924.20, reads: 40934.00, writes: 11608.70, response time: 110.22ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 250, tps: 2849.70, reads: 39774.76, writes: 11387.59, response time: 103.66ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 250, tps: 2824.10, reads: 39663.21, writes: 11396.40, response time: 109.66ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 250, tps: 2874.20, reads: 40238.81, writes: 11496.80, response time: 108.65ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 250, tps: 2874.40, reads: 40237.88, writes: 11412.90, response time: 108.68ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 250, tps: 2898.90, reads: 40238.90, writes: 11580.30, response time: 104.60ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 250, tps: 2874.18, reads: 40585.71, writes: 11524.92, response time: 104.69ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 250, tps: 2873.71, reads: 39937.48, writes: 11466.65, response time: 105.70ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 250, tps: 2824.70, reads: 39812.04, writes: 11298.81, response time: 109.17ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 250, tps: 2874.00, reads: 40040.73, writes: 11496.41, response time: 105.51ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 250, tps: 2874.50, reads: 40468.87, writes: 11596.82, response time: 102.55ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 250, tps: 2874.09, reads: 40013.17, writes: 11397.16, response time: 103.60ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 250, tps: 2823.81, reads: 39737.69, writes: 11298.53, response time: 112.66ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 250, tps: 2824.00, reads: 39555.72, writes: 11392.71, response time: 109.20ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 250, tps: 2874.00, reads: 40231.68, writes: 11473.10, response time: 104.57ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 250, tps: 2898.40, reads: 40575.92, writes: 11525.31, response time: 120.65ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 250, tps: 2824.40, reads: 39547.62, writes: 11388.60, response time: 107.26ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 250, tps: 2899.29, reads: 40284.12, writes: 11497.38, response time: 124.17ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 250, tps: 2874.40, reads: 40547.65, writes: 11597.61, response time: 108.49ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 250, tps: 2899.60, reads: 40594.42, writes: 11574.30, response time: 111.68ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 250, tps: 2874.70, reads: 40245.77, writes: 11522.89, response time: 105.01ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 250, tps: 2874.60, reads: 40243.04, writes: 11498.01, response time: 107.00ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 250, tps: 2884.50, reads: 40312.69, writes: 11438.50, response time: 104.88ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 250, tps: 2873.91, reads: 40306.44, writes: 11565.04, response time: 106.27ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 250, tps: 2848.68, reads: 39676.28, writes: 11325.24, response time: 119.54ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 250, tps: 2849.51, reads: 40098.37, writes: 11498.02, response time: 108.33ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 250, tps: 2880.69, reads: 40118.68, writes: 11422.77, response time: 129.13ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 250, tps: 2873.81, reads: 40444.34, writes: 11595.24, response time: 102.09ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 250, tps: 2849.00, reads: 39885.74, writes: 11367.28, response time: 114.05ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 250, tps: 2823.40, reads: 39527.85, writes: 11322.31, response time: 123.13ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 250, tps: 2899.49, reads: 40432.09, writes: 11497.97, response time: 102.24ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 250, tps: 2899.21, reads: 40749.69, writes: 11696.53, response time: 105.73ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 250, tps: 2898.90, reads: 40584.42, writes: 11552.00, response time: 106.88ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 250, tps: 2873.90, reads: 40234.77, writes: 11539.49, response time: 103.38ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 250, tps: 2800.20, reads: 38894.46, writes: 11100.99, response time: 125.40ms (95%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 250, tps: 2898.00, reads: 40880.35, writes: 11691.82, response time: 101.39ms (95%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 250, tps: 2874.80, reads: 40193.10, writes: 11399.40, response time: 106.91ms (95%), errors: 0.00, reconnects:  0.00
[ 700s] threads: 250, tps: 2824.20, reads: 39592.92, writes: 11394.91, response time: 105.86ms (95%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 250, tps: 2874.20, reads: 40238.51, writes: 11455.60, response time: 104.35ms (95%), errors: 0.00, reconnects:  0.00
