sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1000
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6034.89, response time: 184.56ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6206.50, response time: 181.54ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6398.70, response time: 170.43ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6255.40, response time: 178.58ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6360.20, response time: 177.41ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6223.20, response time: 175.82ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6303.60, response time: 181.38ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6326.20, response time: 170.69ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6229.80, response time: 171.92ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6277.70, response time: 180.79ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6215.30, response time: 174.25ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6331.50, response time: 173.16ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6284.10, response time: 174.51ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6234.41, response time: 170.08ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6276.89, response time: 176.82ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6113.40, response time: 178.15ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6304.00, response time: 173.99ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6139.10, response time: 173.94ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6116.93, response time: 179.60ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6212.48, response time: 183.24ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 1000, tps: 0.00, reads: 0.00, writes: 6175.70, response time: 184.56ms (95%), errors: 0.00, reconnects:  0.00
