sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 143.80, reads: 2024.85, writes: 576.81, response time: 168.25ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 171.40, reads: 2401.60, writes: 684.00, response time: 133.62ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 171.50, reads: 2408.49, writes: 691.60, response time: 122.58ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 168.70, reads: 2355.61, writes: 671.00, response time: 121.96ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 185.50, reads: 2596.00, writes: 741.90, response time: 116.36ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 202.40, reads: 2833.30, writes: 809.10, response time: 110.09ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 202.80, reads: 2842.01, writes: 810.50, response time: 109.40ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 193.80, reads: 2715.89, writes: 777.60, response time: 138.30ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 211.20, reads: 2953.30, writes: 843.10, response time: 104.66ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 220.20, reads: 3083.30, writes: 881.70, response time: 102.64ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 218.70, reads: 3063.70, writes: 874.80, response time: 99.35ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 221.60, reads: 3104.70, writes: 888.30, response time: 101.63ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 225.40, reads: 3155.20, writes: 900.80, response time: 99.65ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 208.20, reads: 2911.10, writes: 832.40, response time: 127.33ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 231.00, reads: 3229.80, writes: 922.40, response time: 94.36ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 236.40, reads: 3316.10, writes: 947.20, response time: 93.18ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 237.50, reads: 3322.20, writes: 950.80, response time: 92.27ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 241.70, reads: 3386.40, writes: 965.70, response time: 94.70ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 232.80, reads: 3250.30, writes: 929.50, response time: 95.07ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 222.00, reads: 3115.20, writes: 888.80, response time: 120.76ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 246.20, reads: 3450.50, writes: 987.60, response time: 90.27ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 245.10, reads: 3426.50, writes: 977.70, response time: 89.68ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 245.30, reads: 3435.40, writes: 981.90, response time: 89.68ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 241.10, reads: 3378.60, writes: 964.10, response time: 92.93ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 240.20, reads: 3359.40, writes: 959.90, response time: 91.09ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 223.30, reads: 3127.20, writes: 894.00, response time: 118.29ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 245.10, reads: 3432.40, writes: 982.00, response time: 88.80ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 248.70, reads: 3481.90, writes: 993.90, response time: 87.38ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 249.30, reads: 3490.90, writes: 999.30, response time: 88.19ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 240.20, reads: 3364.20, writes: 959.90, response time: 92.79ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 241.70, reads: 3381.40, writes: 966.20, response time: 93.07ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 222.00, reads: 3110.10, writes: 889.90, response time: 119.97ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 248.90, reads: 3482.20, writes: 992.50, response time: 88.93ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 242.00, reads: 3385.40, writes: 966.70, response time: 93.16ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 243.70, reads: 3416.60, writes: 977.40, response time: 89.65ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 245.00, reads: 3424.70, writes: 977.30, response time: 93.21ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 236.60, reads: 3318.20, writes: 949.60, response time: 93.74ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 221.10, reads: 3092.90, writes: 883.30, response time: 114.77ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 16, tps: 243.20, reads: 3406.50, writes: 974.50, response time: 91.36ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 16, tps: 239.90, reads: 3356.60, writes: 957.10, response time: 93.77ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 16, tps: 244.70, reads: 3421.20, writes: 977.60, response time: 89.90ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 16, tps: 239.30, reads: 3358.20, writes: 961.20, response time: 95.33ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 16, tps: 239.30, reads: 3343.10, writes: 953.50, response time: 91.17ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 16, tps: 222.00, reads: 3107.99, writes: 889.60, response time: 129.06ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 16, tps: 241.40, reads: 3384.01, writes: 967.40, response time: 91.20ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 16, tps: 243.10, reads: 3404.20, writes: 968.60, response time: 89.90ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 16, tps: 240.30, reads: 3363.40, writes: 963.00, response time: 91.74ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 16, tps: 237.20, reads: 3320.30, writes: 950.10, response time: 95.19ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 16, tps: 232.40, reads: 3254.10, writes: 929.10, response time: 96.48ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 16, tps: 213.70, reads: 2994.60, writes: 854.20, response time: 143.18ms (95%), errors: 0.00, reconnects:  0.00
