sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 159.50, reads: 2249.16, writes: 638.02, response time: 265.67ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 153.10, reads: 2138.10, writes: 612.90, response time: 265.75ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 165.40, reads: 2320.10, writes: 663.20, response time: 261.41ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 174.70, reads: 2450.90, writes: 699.00, response time: 274.48ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 180.40, reads: 2522.31, writes: 720.10, response time: 267.03ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 192.90, reads: 2698.50, writes: 771.70, response time: 262.04ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 192.20, reads: 2692.40, writes: 770.70, response time: 251.74ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 195.00, reads: 2724.41, writes: 777.40, response time: 250.91ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 204.70, reads: 2869.50, writes: 819.70, response time: 255.99ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 209.60, reads: 2932.70, writes: 838.20, response time: 254.84ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 218.30, reads: 3057.80, writes: 873.70, response time: 247.77ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 215.90, reads: 3021.19, writes: 863.50, response time: 251.28ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 224.90, reads: 3148.81, writes: 899.00, response time: 248.00ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 226.50, reads: 3174.30, writes: 906.70, response time: 245.63ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 223.20, reads: 3121.00, writes: 892.00, response time: 246.52ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 221.20, reads: 3102.70, writes: 886.50, response time: 250.61ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 223.70, reads: 3126.00, writes: 893.00, response time: 246.15ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 221.20, reads: 3099.69, writes: 885.50, response time: 247.11ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 213.70, reads: 2993.70, writes: 855.20, response time: 249.19ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 219.00, reads: 3062.71, writes: 874.60, response time: 247.48ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 219.60, reads: 3074.39, writes: 878.50, response time: 248.52ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 218.10, reads: 3054.60, writes: 872.90, response time: 253.78ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 214.60, reads: 3007.20, writes: 860.40, response time: 244.09ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 223.30, reads: 3123.99, writes: 893.00, response time: 252.79ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 220.50, reads: 3090.10, writes: 883.10, response time: 247.92ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 218.00, reads: 3047.00, writes: 869.10, response time: 249.11ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 219.70, reads: 3081.10, writes: 881.40, response time: 248.22ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 217.80, reads: 3043.40, writes: 869.40, response time: 254.16ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 224.20, reads: 3143.50, writes: 897.80, response time: 244.31ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 226.30, reads: 3163.01, writes: 903.90, response time: 247.11ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 227.10, reads: 3183.80, writes: 909.60, response time: 246.66ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 227.40, reads: 3184.31, writes: 909.70, response time: 245.70ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 228.80, reads: 3198.60, writes: 914.00, response time: 247.33ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 226.60, reads: 3174.99, writes: 905.50, response time: 246.96ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 228.50, reads: 3192.91, writes: 914.20, response time: 244.60ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 232.40, reads: 3257.60, writes: 931.00, response time: 246.29ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 230.20, reads: 3220.70, writes: 919.50, response time: 245.48ms (95%), errors: 0.00, reconnects:  0.00
