disk,type,parallel_threads,threads,backup_duration
ssd,baseline,1,1,218
ssd,compression,1,1,133
ssd,compression,4,1,144
ssd,compression,8,1,152
ssd,compression,16,1,158
ssd,compression,1,4,117
ssd,compression,4,4,129
ssd,compression,8,4,142
ssd,compression,16,4,153
ssd,compression,1,8,119
ssd,compression,4,8,127
ssd,compression,8,8,143
ssd,compression,16,8,150
ssd,compression,1,16,120
ssd,compression,4,16,129
ssd,compression,8,16,140
ssd,compression,16,16,153
ssd,compression,1,32,120
ssd,compression,4,32,129
ssd,compression,8,32,140
ssd,compression,16,32,148
ssd,encryption,1,1,224
ssd,encryption,4,1,248
ssd,encryption,8,1,276
ssd,encryption,16,1,291
ssd,encryption,1,4,226
ssd,encryption,4,4,251
ssd,encryption,8,4,275
ssd,encryption,16,4,291
ssd,encryption,1,8,225
ssd,encryption,4,8,255
ssd,encryption,8,8,283
ssd,encryption,16,8,207
ssd,encryption,1,16,223
ssd,encryption,4,16,253
ssd,encryption,8,16,282
ssd,encryption,16,16,149
ssd,encryption,1,32,223
ssd,encryption,4,32,252
ssd,encryption,8,32,284
ssd,encryption,16,32,146
