disk,type,threads,backup_duration
hdd,baseline,1,597
ssd,baseline,1,215
hdd,compression,1,569
hdd,compression,4,533
hdd,compression,8,525
hdd,compression,16,527
hdd,compression,32,556
ssd,compression,1,135
ssd,compression,4,115
ssd,compression,8,116
ssd,compression,16,116
ssd,compression,32,116
hdd,encryption,1,629
hdd,encryption,4,627
hdd,encryption,8,637
hdd,encryption,16,639
hdd,encryption,32,625
ssd,encryption,1,216
ssd,encryption,4,216
ssd,encryption,8,219
ssd,encryption,16,222
ssd,encryption,32,222
