sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 394.91, reads: 5547.04, writes: 1582.84, response time: 53.24ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 387.50, reads: 5423.99, writes: 1548.40, response time: 59.40ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 354.80, reads: 4967.01, writes: 1419.50, response time: 80.18ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 349.90, reads: 4900.60, writes: 1400.10, response time: 77.05ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 391.00, reads: 5470.70, writes: 1563.40, response time: 56.54ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 397.30, reads: 5560.30, writes: 1588.80, response time: 53.00ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 404.10, reads: 5657.60, writes: 1617.20, response time: 54.25ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 391.40, reads: 5484.40, writes: 1565.30, response time: 62.08ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 383.20, reads: 5367.80, writes: 1536.50, response time: 56.83ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 400.60, reads: 5598.99, writes: 1599.20, response time: 54.42ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 395.70, reads: 5545.61, writes: 1583.90, response time: 54.79ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 400.50, reads: 5609.10, writes: 1603.10, response time: 52.92ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 402.00, reads: 5625.50, writes: 1605.90, response time: 53.78ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 389.60, reads: 5452.90, writes: 1558.00, response time: 59.09ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 378.20, reads: 5295.09, writes: 1512.00, response time: 60.34ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 402.80, reads: 5641.31, writes: 1612.70, response time: 54.40ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 396.70, reads: 5552.60, writes: 1586.60, response time: 54.11ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 404.80, reads: 5667.83, writes: 1619.51, response time: 52.64ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 400.90, reads: 5608.88, writes: 1601.99, response time: 52.46ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 385.00, reads: 5392.70, writes: 1540.30, response time: 60.39ms (95%), errors: 0.00, reconnects:  0.00
