sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 325.50, reads: 4571.35, writes: 1302.81, response time: 82.15ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 342.60, reads: 4800.60, writes: 1371.70, response time: 76.18ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 350.70, reads: 4904.40, writes: 1401.70, response time: 76.73ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 347.10, reads: 4858.40, writes: 1388.00, response time: 77.56ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 345.40, reads: 4836.70, writes: 1381.70, response time: 65.87ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 410.80, reads: 5752.97, writes: 1642.99, response time: 50.63ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 377.60, reads: 5283.13, writes: 1510.81, response time: 70.54ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 379.00, reads: 5310.57, writes: 1516.19, response time: 66.94ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 422.60, reads: 5917.14, writes: 1691.31, response time: 49.64ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 428.40, reads: 5995.90, writes: 1712.60, response time: 46.71ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 433.90, reads: 6072.20, writes: 1735.10, response time: 46.20ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 435.60, reads: 6102.20, writes: 1743.30, response time: 45.28ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 386.60, reads: 5410.80, writes: 1545.80, response time: 71.28ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 400.90, reads: 5613.59, writes: 1604.40, response time: 62.73ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 431.70, reads: 6042.02, writes: 1726.50, response time: 50.67ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 452.90, reads: 6340.70, writes: 1811.50, response time: 42.56ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 448.70, reads: 6283.00, writes: 1795.00, response time: 43.53ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 429.00, reads: 6004.10, writes: 1716.30, response time: 46.73ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 378.40, reads: 5299.70, writes: 1512.60, response time: 72.08ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 392.70, reads: 5495.15, writes: 1570.11, response time: 61.06ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 414.40, reads: 5802.54, writes: 1659.38, response time: 51.67ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 440.30, reads: 6167.11, writes: 1761.60, response time: 43.50ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 441.30, reads: 6177.99, writes: 1764.30, response time: 43.64ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 440.00, reads: 6156.39, writes: 1759.80, response time: 44.78ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 382.10, reads: 5352.01, writes: 1528.10, response time: 74.22ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 402.30, reads: 5631.60, writes: 1609.30, response time: 59.03ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 416.00, reads: 5825.60, writes: 1665.30, response time: 53.14ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 447.10, reads: 6257.90, writes: 1788.10, response time: 43.18ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 445.60, reads: 6240.90, writes: 1782.20, response time: 42.89ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 437.40, reads: 6120.80, writes: 1749.40, response time: 44.75ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 384.20, reads: 5375.70, writes: 1536.70, response time: 73.78ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 369.50, reads: 5176.39, writes: 1477.50, response time: 75.79ms (95%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 16, tps: 422.90, reads: 5920.21, writes: 1692.20, response time: 47.36ms (95%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 16, tps: 440.80, reads: 6170.60, writes: 1762.40, response time: 43.88ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 450.30, reads: 6304.40, writes: 1801.60, response time: 42.73ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 439.10, reads: 6149.20, writes: 1756.50, response time: 44.09ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 386.50, reads: 5407.20, writes: 1546.20, response time: 72.45ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 384.70, reads: 5390.90, writes: 1538.60, response time: 71.78ms (95%), errors: 0.00, reconnects:  0.00
[ 390s] threads: 16, tps: 420.20, reads: 5882.60, writes: 1682.30, response time: 53.48ms (95%), errors: 0.00, reconnects:  0.00
[ 400s] threads: 16, tps: 431.40, reads: 6038.30, writes: 1725.00, response time: 46.35ms (95%), errors: 0.00, reconnects:  0.00
[ 410s] threads: 16, tps: 444.60, reads: 6222.59, writes: 1777.70, response time: 43.72ms (95%), errors: 0.00, reconnects:  0.00
[ 420s] threads: 16, tps: 443.20, reads: 6205.02, writes: 1772.81, response time: 43.42ms (95%), errors: 0.00, reconnects:  0.00
[ 430s] threads: 16, tps: 389.40, reads: 5451.79, writes: 1557.80, response time: 71.33ms (95%), errors: 0.00, reconnects:  0.00
[ 440s] threads: 16, tps: 393.00, reads: 5504.00, writes: 1572.90, response time: 64.89ms (95%), errors: 0.00, reconnects:  0.00
[ 450s] threads: 16, tps: 399.20, reads: 5589.02, writes: 1596.10, response time: 59.67ms (95%), errors: 0.00, reconnects:  0.00
[ 460s] threads: 16, tps: 443.90, reads: 6213.98, writes: 1776.09, response time: 43.25ms (95%), errors: 0.00, reconnects:  0.00
[ 470s] threads: 16, tps: 447.20, reads: 6259.50, writes: 1787.20, response time: 43.41ms (95%), errors: 0.00, reconnects:  0.00
[ 480s] threads: 16, tps: 415.50, reads: 5815.61, writes: 1662.50, response time: 48.48ms (95%), errors: 0.00, reconnects:  0.00
[ 490s] threads: 16, tps: 384.00, reads: 5377.00, writes: 1536.80, response time: 70.92ms (95%), errors: 0.00, reconnects:  0.00
[ 500s] threads: 16, tps: 394.10, reads: 5519.30, writes: 1575.80, response time: 61.61ms (95%), errors: 0.00, reconnects:  0.00
[ 510s] threads: 16, tps: 387.90, reads: 5425.10, writes: 1551.30, response time: 58.38ms (95%), errors: 0.00, reconnects:  0.00
[ 520s] threads: 16, tps: 444.30, reads: 6223.33, writes: 1777.28, response time: 43.73ms (95%), errors: 0.00, reconnects:  0.00
[ 530s] threads: 16, tps: 448.60, reads: 6280.37, writes: 1794.42, response time: 43.32ms (95%), errors: 0.00, reconnects:  0.00
[ 540s] threads: 16, tps: 402.50, reads: 5636.40, writes: 1610.10, response time: 51.58ms (95%), errors: 0.00, reconnects:  0.00
[ 550s] threads: 16, tps: 361.30, reads: 5059.64, writes: 1444.91, response time: 75.82ms (95%), errors: 0.00, reconnects:  0.00
[ 560s] threads: 16, tps: 407.40, reads: 5698.95, writes: 1629.39, response time: 56.52ms (95%), errors: 0.00, reconnects:  0.00
[ 570s] threads: 16, tps: 395.20, reads: 5535.50, writes: 1581.10, response time: 58.96ms (95%), errors: 0.00, reconnects:  0.00
[ 580s] threads: 16, tps: 448.00, reads: 6270.70, writes: 1791.30, response time: 42.92ms (95%), errors: 0.00, reconnects:  0.00
[ 590s] threads: 16, tps: 449.70, reads: 6300.00, writes: 1800.60, response time: 42.85ms (95%), errors: 0.00, reconnects:  0.00
[ 600s] threads: 16, tps: 434.20, reads: 6074.00, writes: 1735.20, response time: 45.02ms (95%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 16, tps: 372.10, reads: 5207.60, writes: 1488.90, response time: 73.41ms (95%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 16, tps: 397.70, reads: 5568.50, writes: 1590.10, response time: 62.71ms (95%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 16, tps: 395.90, reads: 5547.30, writes: 1585.00, response time: 54.99ms (95%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 16, tps: 414.60, reads: 5800.38, writes: 1657.29, response time: 54.06ms (95%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 16, tps: 448.50, reads: 6279.42, writes: 1794.71, response time: 43.10ms (95%), errors: 0.00, reconnects:  0.00
[ 660s] threads: 16, tps: 441.70, reads: 6186.10, writes: 1766.50, response time: 43.79ms (95%), errors: 0.00, reconnects:  0.00
[ 670s] threads: 16, tps: 391.40, reads: 5478.19, writes: 1566.30, response time: 69.45ms (95%), errors: 0.00, reconnects:  0.00
