engine,memory,filesystem,configuration,distribution,test,workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,10,6678.61,28998.51,81.81,2226.07,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,20,10325.11,44689.35,58.63,3441.80,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,30,13428.66,58138.36,46.32,4475.92,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,40,14616.70,63306.59,26.27,4872.00,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,50,14066.20,60923.71,48.43,4689.10,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,60,16030.69,69433.15,24.10,5343.20,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,70,16559.83,71732.81,22.61,5520.28,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,80,16813.48,72832.66,22.19,5604.43,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,90,17252.08,74722.89,21.63,5750.49,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,100,17297.40,74915.50,21.58,5765.80,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,110,17222.12,74585.79,22.04,5740.71,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,120,16982.90,73545.80,22.09,5661.00,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,130,16392.50,71023.52,22.75,5464.40,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,140,16650.58,72124.01,22.35,5549.99,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,150,16671.82,72179.67,22.35,5556.91,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,160,16655.69,72167.54,22.34,5552.30,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,170,16632.21,72026.26,22.44,5544.00,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,180,16624.30,72027.70,22.43,5541.30,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,190,16634.30,72019.81,22.46,5545.10,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,200,16682.58,72256.51,22.28,5560.49,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,210,16632.92,72016.10,22.42,5544.81,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,220,16678.40,72199.60,22.35,5559.30,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,100,230,16175.49,70035.67,23.59,5391.50,100
rocks,100,ext4,rocks0,pareto,oltp,psfm,60000000,99,240,16068.51,69626.73,23.25,5356.40,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,10,0.00,42672.89,52.18,3278.67,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,20,0.00,70193.33,28.71,5403.01,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,30,0.00,82969.08,20.36,6387.68,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,40,0.00,84009.18,19.73,6468.21,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,50,0.00,84646.54,19.48,6515.30,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,60,0.00,84795.41,19.44,6528.31,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,70,0.00,84550.06,19.48,6509.60,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,80,0.00,84601.14,19.46,6510.10,100
rocks,100,ext4,rocks0,pareto,oltp_ro,psfm,60000000,100,90,0.00,84897.98,19.42,6534.41,100
