workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,125000,100,10,1955.67,6899.69,973.98,484.99,100
oltp,125000,100,20,2057.50,7239.40,906.73,517.40,100
oltp,125000,100,30,2280.70,7967.50,878.68,569.40,100
oltp,125000,100,40,2234.00,7818.40,817.03,556.60,100
oltp,125000,100,50,2446.60,8577.20,904.56,613.00,100
oltp,125000,100,60,2298.30,8044.10,782.80,573.60,100
oltp,125000,100,70,2183.41,7663.03,839.34,547.80,100
oltp,125000,100,80,2531.69,8854.36,824.40,632.70,100
oltp,125000,100,90,2125.30,7429.60,915.46,528.30,100
oltp,125000,100,100,2459.20,8639.90,724.18,617.70,100
oltp,125000,100,110,2210.70,7728.40,871.08,550.90,100
oltp,125000,100,120,2574.80,9022.60,816.54,644.40,100
oltp,125000,100,130,2264.40,7934.20,841.35,566.90,100
oltp,125000,100,140,2215.90,7745.20,822.18,552.60,100
oltp,125000,100,150,2497.10,8758.40,855.83,625.20,100
oltp,125000,100,160,2243.60,7854.60,917.66,560.70,100
oltp,125000,100,170,2367.40,8301.70,840.35,591.80,100
oltp,125000,100,180,2512.30,8776.50,828.11,625.30,100
oltp,125000,100,190,1880.10,6597.00,919.58,471.80,100
oltp,125000,100,200,1264.70,4435.00,1208.96,316.90,100
oltp,125000,100,210,1307.30,4578.50,1272.45,326.90,100
oltp,125000,100,220,1070.50,3758.70,1578.96,267.40,100
oltp,125000,100,230,1392.40,4876.90,1192.42,348.00,100
oltp,125000,100,240,1501.00,5254.20,1110.76,375.00,100
oltp,125000,100,250,1464.90,5128.10,1175.41,366.50,100
oltp,125000,100,260,1453.30,5079.60,1128.52,363.50,100
oltp,125000,100,270,1396.60,4896.81,1123.80,347.40,100
oltp,125000,100,280,1556.00,5444.89,1079.62,390.30,100
oltp,125000,100,290,1495.20,5237.08,1155.53,372.50,100
oltp,125000,100,300,2781.01,9736.63,743.51,693.40,100
oltp,125000,100,310,2722.60,9558.10,608.22,682.70,100
oltp,125000,100,320,2565.30,8974.70,769.78,640.40,100
oltp,125000,100,330,2916.20,10221.60,787.03,729.50,100
oltp,125000,100,340,2626.60,9194.50,728.75,655.50,100
oltp,125000,100,350,2622.10,9200.00,735.98,656.60,100
oltp,125000,100,360,2978.80,10416.50,560.49,743.80,100
oltp,125000,100,370,2683.60,9419.00,704.72,670.90,100
oltp,125000,100,380,2788.10,9727.31,681.49,693.90,100
oltp,125000,100,390,2852.50,10000.80,726.57,714.50,100
oltp,125000,100,400,2739.70,9607.81,647.87,686.60,100
oltp,125000,100,410,2765.00,9692.70,765.19,690.70,100
oltp,125000,100,420,2646.80,9258.30,770.71,660.90,100
oltp,125000,100,430,2745.10,9632.10,699.05,685.40,100
oltp,125000,100,440,2787.30,9750.70,648.45,694.20,100
oltp,125000,100,450,2698.00,9436.80,731.59,677.20,100
oltp,125000,100,460,2535.60,8909.90,680.27,631.00,100
oltp,125000,100,470,2804.30,9851.20,560.15,703.80,100
oltp,125000,100,480,2645.40,9262.60,835.08,661.40,100
oltp,125000,100,490,2637.30,9233.21,683.53,658.50,100
oltp,125000,100,500,2693.10,9435.60,744.63,673.10,100
oltp,125000,100,510,2998.30,10495.00,638.44,749.40,100
oltp,125000,100,520,2668.80,9356.60,677.42,667.30,100
oltp,125000,100,530,2644.80,9263.70,598.46,661.40,100
oltp,125000,100,540,2901.10,10156.20,674.99,724.30,100
oltp,125000,100,550,2593.60,9077.70,671.97,648.00,100
oltp,125000,100,560,2675.40,9375.10,689.70,668.30,100
oltp,125000,100,570,2795.50,9800.89,706.20,699.70,100
oltp,125000,100,580,2631.50,9205.30,652.35,656.40,100
oltp,125000,100,590,2686.50,9422.70,727.01,672.20,100
oltp,125000,100,600,2779.40,9729.60,735.98,694.30,100
oltp,125000,100,610,2623.20,9197.50,825.39,655.50,100
oltp,125000,100,620,2580.20,9026.60,703.04,643.30,100
oltp,125000,100,630,2899.50,10185.69,671.57,727.20,100
oltp,125000,100,640,2569.60,8977.60,794.36,639.70,100
oltp,125000,100,650,2668.20,9394.30,691.76,668.80,100
oltp,125000,100,660,2901.90,10127.30,648.26,724.60,100
oltp,125000,100,670,2694.90,9442.00,710.87,672.60,100
oltp,125000,100,680,2702.81,9472.12,703.88,677.20,100
oltp,125000,100,690,2726.19,9551.28,660.60,681.40,100
oltp,125000,100,700,2682.10,9394.60,725.05,670.00,100
oltp,125000,100,710,2923.30,10218.60,745.74,727.60,100
oltp,125000,100,720,2601.00,9096.10,744.18,649.30,100
oltp,125000,100,730,2669.60,9388.10,735.32,670.70,100
oltp,125000,100,740,2873.60,10057.00,642.85,718.90,100
oltp,125000,100,750,2590.70,9083.40,694.46,647.60,100
oltp,125000,100,760,2937.30,10275.50,668.36,734.30,100
oltp,125000,100,770,2702.10,9460.20,714.49,675.30,100
oltp,125000,100,780,2670.31,9342.84,784.20,664.20,100
oltp,125000,100,790,2920.49,10224.26,644.97,731.50,100
oltp,125000,100,800,2567.90,9018.20,705.15,643.10,100
oltp,125000,100,810,2644.10,9269.80,716.64,660.70,100
oltp,125000,100,820,2927.40,10246.60,645.16,731.50,100
oltp,125000,100,830,2636.80,9205.40,750.44,655.50,100
oltp,125000,100,840,2642.00,9264.30,677.83,662.80,100
oltp,125000,100,850,2955.30,10378.50,722.02,740.50,100
oltp,125000,100,860,2683.10,9388.70,679.86,670.40,100
oltp,125000,100,870,2726.60,9547.20,781.39,682.10,100
oltp,125000,100,880,2797.90,9791.00,747.08,699.00,100
oltp,125000,100,890,2586.00,9040.40,724.40,645.20,100
oltp,125000,100,900,2805.30,9851.30,706.41,702.30,100
oltp,125000,100,910,2721.90,9536.60,769.32,680.30,100
oltp,125000,100,920,2670.80,9329.50,737.31,666.70,100
oltp,125000,100,930,2885.40,10149.10,688.46,720.70,100
oltp,125000,100,940,2539.80,8880.40,736.87,633.90,100
oltp,125000,100,950,2632.81,9226.14,725.92,658.90,100
oltp,125000,100,960,2862.09,10016.95,723.32,715.20,100
oltp,125000,100,970,2646.60,9284.10,677.42,662.20,100
oltp,125000,100,980,2621.51,9166.75,818.75,653.50,100
oltp,125000,100,990,2730.99,9585.96,628.95,684.40,100
oltp,125000,100,1000,2583.20,8981.70,737.09,638.40,100
oltp,125000,100,1010,2755.20,9716.40,627.07,695.10,100
oltp,125000,100,1020,2693.10,9420.30,576.83,671.90,100
oltp,125000,100,1030,2509.20,8747.30,644.77,622.50,100
oltp,125000,100,1040,2927.10,10308.60,545.10,736.20,100
oltp,125000,100,1050,2590.40,9052.60,655.87,646.00,100
oltp,125000,100,1060,2526.40,8853.40,617.94,632.70,100
oltp,125000,100,1070,2663.50,9289.30,635.96,660.70,100
oltp,125000,100,1080,2866.70,10072.80,578.56,720.90,100
oltp,125000,100,1090,2651.90,9307.80,623.70,664.30,100
oltp,125000,100,1100,2632.10,9244.30,602.06,658.30,100
