sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 500, tps: 1389.48, reads: 21379.35, writes: 5696.01, response time: 1122.46ms (95%), errors: 93.10, reconnects:  0.00
[  20s] threads: 500, tps: 1551.80, reads: 23551.90, writes: 6333.90, response time: 918.48ms (95%), errors: 126.00, reconnects:  0.00
[  30s] threads: 500, tps: 1478.90, reads: 22346.60, writes: 6013.60, response time: 924.00ms (95%), errors: 121.00, reconnects:  0.00
[  40s] threads: 500, tps: 1550.00, reads: 23347.20, writes: 6323.50, response time: 782.33ms (95%), errors: 117.10, reconnects:  0.00
[  50s] threads: 500, tps: 1524.90, reads: 23028.20, writes: 6215.80, response time: 817.52ms (95%), errors: 120.20, reconnects:  0.00
[  60s] threads: 500, tps: 1548.80, reads: 23365.19, writes: 6302.30, response time: 826.87ms (95%), errors: 117.70, reconnects:  0.00
[  70s] threads: 500, tps: 1578.30, reads: 23727.81, writes: 6429.90, response time: 813.13ms (95%), errors: 119.30, reconnects:  0.00
[  80s] threads: 500, tps: 1549.40, reads: 23542.91, writes: 6336.10, response time: 884.22ms (95%), errors: 129.10, reconnects:  0.00
[  90s] threads: 500, tps: 1572.00, reads: 23671.39, writes: 6435.80, response time: 695.50ms (95%), errors: 121.20, reconnects:  0.00
[ 100s] threads: 500, tps: 1566.00, reads: 23622.30, writes: 6329.80, response time: 768.86ms (95%), errors: 124.40, reconnects:  0.00
[ 110s] threads: 500, tps: 1555.61, reads: 23613.93, writes: 6358.54, response time: 719.00ms (95%), errors: 126.80, reconnects:  0.00
[ 120s] threads: 500, tps: 1562.49, reads: 23739.07, writes: 6377.37, response time: 711.08ms (95%), errors: 132.60, reconnects:  0.00
[ 130s] threads: 500, tps: 1579.30, reads: 23720.09, writes: 6426.40, response time: 685.17ms (95%), errors: 120.60, reconnects:  0.00
[ 140s] threads: 500, tps: 1557.80, reads: 23401.80, writes: 6355.60, response time: 691.56ms (95%), errors: 109.20, reconnects:  0.00
[ 150s] threads: 500, tps: 1574.90, reads: 23799.70, writes: 6397.50, response time: 757.89ms (95%), errors: 128.60, reconnects:  0.00
[ 160s] threads: 500, tps: 1579.90, reads: 23873.71, writes: 6451.20, response time: 742.85ms (95%), errors: 122.70, reconnects:  0.00
[ 170s] threads: 500, tps: 1581.00, reads: 23898.49, writes: 6429.40, response time: 705.15ms (95%), errors: 125.40, reconnects:  0.00
[ 180s] threads: 500, tps: 1567.40, reads: 23802.80, writes: 6394.30, response time: 713.00ms (95%), errors: 131.80, reconnects:  0.00
[ 190s] threads: 500, tps: 1572.90, reads: 23789.31, writes: 6444.10, response time: 676.81ms (95%), errors: 126.00, reconnects:  0.00
[ 200s] threads: 500, tps: 1576.10, reads: 23856.30, writes: 6431.30, response time: 703.88ms (95%), errors: 132.30, reconnects:  0.00
[ 210s] threads: 500, tps: 1590.10, reads: 24037.09, writes: 6445.20, response time: 684.96ms (95%), errors: 123.40, reconnects:  0.00
[ 220s] threads: 500, tps: 1566.30, reads: 23618.91, writes: 6386.90, response time: 689.49ms (95%), errors: 124.20, reconnects:  0.00
[ 230s] threads: 500, tps: 1549.10, reads: 23554.62, writes: 6336.00, response time: 710.02ms (95%), errors: 127.10, reconnects:  0.00
[ 240s] threads: 500, tps: 1581.30, reads: 23906.39, writes: 6422.70, response time: 794.13ms (95%), errors: 131.20, reconnects:  0.00
[ 250s] threads: 500, tps: 1557.00, reads: 23686.40, writes: 6372.60, response time: 760.62ms (95%), errors: 131.10, reconnects:  0.00
[ 260s] threads: 500, tps: 1601.00, reads: 24119.69, writes: 6508.00, response time: 723.53ms (95%), errors: 128.10, reconnects:  0.00
[ 270s] threads: 500, tps: 1560.40, reads: 23765.51, writes: 6393.40, response time: 677.02ms (95%), errors: 131.30, reconnects:  0.00
[ 280s] threads: 500, tps: 1600.60, reads: 24110.20, writes: 6507.50, response time: 694.88ms (95%), errors: 126.40, reconnects:  0.00
[ 290s] threads: 500, tps: 1589.10, reads: 24034.70, writes: 6474.60, response time: 666.56ms (95%), errors: 127.70, reconnects:  0.00
[ 300s] threads: 500, tps: 1578.39, reads: 23888.09, writes: 6444.54, response time: 665.16ms (95%), errors: 127.30, reconnects:  0.00
[ 310s] threads: 500, tps: 1585.11, reads: 23986.00, writes: 6468.55, response time: 693.63ms (95%), errors: 127.30, reconnects:  0.00
[ 320s] threads: 500, tps: 1543.20, reads: 23235.69, writes: 6272.10, response time: 710.87ms (95%), errors: 113.80, reconnects:  0.00
[ 330s] threads: 500, tps: 1587.50, reads: 23922.72, writes: 6474.31, response time: 764.27ms (95%), errors: 121.90, reconnects:  0.00
[ 340s] threads: 500, tps: 1537.60, reads: 23245.10, writes: 6266.30, response time: 750.22ms (95%), errors: 120.40, reconnects:  0.00
[ 350s] threads: 500, tps: 969.90, reads: 14562.51, writes: 3940.80, response time: 1875.52ms (95%), errors: 75.30, reconnects:  0.00
[ 360s] threads: 500, tps: 1402.00, reads: 21168.40, writes: 5719.80, response time: 970.20ms (95%), errors: 108.20, reconnects:  0.00
[ 370s] threads: 500, tps: 1443.70, reads: 21799.79, writes: 5887.20, response time: 842.11ms (95%), errors: 111.10, reconnects:  0.00
