workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,32000,100,10,3445.83,12191.06,631.22,859.98,100
oltp,32000,100,20,4352.53,15219.59,484.17,1085.71,100
oltp,32000,100,30,3698.60,12965.81,556.48,924.60,100
oltp,32000,100,40,3823.39,13416.88,559.65,956.80,100
oltp,32000,100,50,4671.51,16361.83,450.20,1166.60,100
oltp,32000,100,60,4031.82,14142.26,580.64,1008.20,100
oltp,32000,100,70,4580.90,16050.79,479.98,1144.50,100
oltp,32000,100,80,3956.88,13878.12,577.69,988.29,100
oltp,32000,100,90,4835.51,16973.62,464.02,1208.30,100
oltp,32000,100,100,4079.29,14287.18,542.50,1019.80,100
oltp,32000,100,110,4493.90,15740.20,491.91,1119.30,100
oltp,32000,100,120,4038.40,14159.51,508.84,1011.40,100
oltp,32000,100,130,4435.60,15597.49,464.16,1108.70,100
oltp,32000,100,140,4185.44,14633.53,515.12,1045.71,100
oltp,32000,100,150,4540.69,15928.35,495.16,1135.70,100
oltp,32000,100,160,4069.49,14267.76,509.90,1016.20,100
oltp,32000,100,170,4772.80,16739.91,495.01,1192.50,100
oltp,32000,100,180,4061.29,14235.36,485.62,1015.20,100
oltp,32000,100,190,4573.31,16045.52,469.33,1142.80,100
oltp,32000,100,200,4081.19,14293.88,522.42,1018.70,100
oltp,32000,100,210,3504.73,12285.79,574.42,876.61,100
oltp,32000,100,220,2113.20,7412.30,839.09,528.20,100
oltp,32000,100,230,2626.29,9181.38,691.56,655.20,100
oltp,32000,100,240,2613.39,9177.37,710.87,653.90,100
oltp,32000,100,250,2466.01,8643.12,776.50,615.80,100
oltp,32000,100,260,2716.30,9531.00,683.74,678.90,100
oltp,32000,100,270,2627.29,9215.07,732.25,656.10,100
oltp,32000,100,280,2687.40,9412.39,754.50,672.00,100
oltp,32000,100,290,2798.80,9816.41,672.57,698.90,100
oltp,32000,100,300,2926.19,10236.18,634.63,731.10,100
oltp,32000,100,310,5284.14,18525.74,414.25,1320.51,100
oltp,32000,100,320,5048.37,17679.40,401.32,1258.99,100
oltp,32000,100,330,5946.62,20893.17,371.38,1488.60,100
oltp,32000,100,340,4296.08,15033.83,503.23,1073.70,100
oltp,32000,100,350,5284.81,18508.12,329.67,1320.90,100
oltp,32000,100,360,5266.29,18457.77,381.29,1315.60,100
oltp,32000,100,370,5442.01,19068.53,364.66,1359.90,100
oltp,32000,100,380,5478.56,19210.06,400.00,1368.19,100
oltp,32000,100,390,5224.96,18323.11,426.71,1305.71,100
oltp,32000,100,400,5255.77,18411.91,387.50,1311.19,100
oltp,32000,100,410,5375.52,18854.65,379.92,1345.80,100
oltp,32000,100,420,5502.08,19273.93,399.52,1372.90,100
oltp,32000,100,430,5057.23,17763.31,420.00,1265.81,100
oltp,32000,100,440,5579.66,19511.57,381.29,1391.89,100
oltp,32000,100,450,4932.33,17332.21,440.87,1234.71,100
