workload,size,threads,ts,writes,reads,response_time,tps,user_provided_threads
oltp,32000,16,10,2270.53,7952.09,67.34,566.41,16
oltp,32000,16,20,2169.60,7596.09,74.71,542.70,16
oltp,32000,16,30,2211.20,7736.91,75.86,552.60,16
oltp,32000,16,40,2240.09,7839.75,73.87,559.90,16
oltp,32000,16,50,2162.30,7577.39,72.47,541.50,16
oltp,32000,16,60,2218.13,7765.40,73.98,554.71,16
oltp,32000,16,70,2161.59,7556.78,73.16,539.20,16
oltp,32000,16,80,2177.01,7625.44,74.20,544.60,16
oltp,32000,16,90,2257.39,7905.45,72.55,565.10,16
oltp,32000,16,100,2202.99,7709.97,74.00,550.60,16
oltp,32000,16,110,2134.31,7465.82,77.28,532.90,16
oltp,32000,16,120,2112.48,7392.15,73.82,527.90,16
oltp,32000,16,130,2238.61,7841.95,71.54,560.40,16
oltp,32000,16,140,2103.91,7361.25,77.24,526.00,16
oltp,32000,16,150,2181.19,7628.47,75.46,544.40,16
oltp,32000,16,160,2185.70,7651.19,73.69,546.50,16
oltp,32000,16,170,2151.00,7537.60,74.05,538.70,16
oltp,32000,16,180,2336.49,8166.07,70.22,582.90,16
oltp,32000,16,190,2208.01,7737.42,73.10,553.10,16
oltp,32000,16,200,2203.19,7713.55,73.47,551.00,16
oltp,32000,16,210,2312.41,8090.04,69.95,577.80,16
oltp,32000,16,220,2007.52,7024.75,76.07,501.60,16
oltp,32000,16,230,2166.29,7580.37,73.87,541.20,16
oltp,32000,16,240,1778.90,6235.59,102.55,445.80,16
oltp,32000,16,250,342.40,1198.50,39.73,85.50,16
oltp,32000,16,260,2075.09,7263.07,73.65,518.60,16
oltp,32000,16,270,744.60,2601.70,71.75,186.20,16
oltp,32000,16,280,1715.60,6009.80,66.58,428.90,16
oltp,32000,16,290,2120.31,7422.75,80.33,530.10,16
oltp,32000,16,300,1481.80,5175.00,74.76,369.50,16
oltp,32000,16,310,2052.19,7185.57,76.02,513.30,16
oltp,32000,16,320,2072.50,7258.60,73.98,518.10,16
oltp,32000,16,330,1704.70,5958.39,77.03,425.70,16
oltp,32000,16,340,2154.79,7552.37,75.57,539.80,16
oltp,32000,16,350,2047.80,7158.51,70.58,510.90,16
oltp,32000,16,360,2177.99,7622.15,74.49,544.50,16
oltp,32000,16,370,2118.11,7419.24,73.82,530.20,16
oltp,32000,16,380,2158.51,7549.85,77.77,538.70,16
oltp,32000,16,390,2224.09,7788.38,67.87,556.50,16
oltp,32000,16,400,2051.31,7187.63,75.75,513.20,16
oltp,32000,16,410,2110.49,7385.85,74.31,527.80,16
oltp,32000,16,420,2111.39,7394.78,71.88,527.90,16
oltp,32000,16,430,2158.80,7551.21,72.79,539.50,16
oltp,32000,16,440,2389.79,8363.85,67.18,596.90,16
oltp,32000,16,450,2068.81,7245.15,75.48,517.80,16
oltp,32000,16,460,2122.71,7424.64,76.89,529.80,16
oltp,32000,16,470,1920.10,6728.38,67.79,480.70,16
oltp,32000,16,480,2150.20,7524.28,72.95,537.50,16
oltp,32000,16,490,2118.70,7420.30,74.09,530.00,16
oltp,32000,16,500,2113.89,7390.48,72.97,527.30,16
oltp,32000,16,510,2079.40,7285.02,77.63,520.70,16
oltp,32000,16,520,2130.29,7457.05,77.05,532.60,16
oltp,32000,16,530,2182.41,7635.45,72.97,544.90,16
oltp,32000,16,540,2159.61,7564.35,74.20,540.80,16
oltp,32000,16,550,1637.29,5720.88,73.63,407.70,16
oltp,32000,16,560,2171.99,7603.78,73.82,543.20,16
oltp,32000,16,570,2089.50,7324.20,76.34,523.70,16
oltp,32000,16,580,2118.59,7408.58,72.53,528.70,16
oltp,32000,16,590,2035.31,7122.82,77.19,508.50,16
oltp,32000,16,600,2124.09,7434.15,72.21,531.00,16
oltp,32000,16,610,2082.11,7295.25,73.12,521.70,16
oltp,32000,16,620,1604.00,5612.41,70.06,400.60,16
oltp,32000,16,630,2122.30,7428.70,74.33,530.80,16
oltp,32000,16,640,2029.20,7105.59,72.29,507.50,16
oltp,32000,16,650,2153.60,7530.60,70.12,537.40,16
oltp,32000,16,660,2243.89,7859.58,70.37,561.60,16
