sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 250
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 250, tps: 1931.37, reads: 28154.84, writes: 7812.27, response time: 268.87ms (95%), errors: 59.00, reconnects:  0.00
[  20s] threads: 250, tps: 1958.20, reads: 28354.00, writes: 7896.10, response time: 265.43ms (95%), errors: 65.70, reconnects:  0.00
[  30s] threads: 250, tps: 1989.50, reads: 28697.00, writes: 8006.40, response time: 263.14ms (95%), errors: 58.80, reconnects:  0.00
[  40s] threads: 250, tps: 1983.20, reads: 28614.60, writes: 8014.40, response time: 267.11ms (95%), errors: 61.10, reconnects:  0.00
[  50s] threads: 250, tps: 1998.60, reads: 28733.80, writes: 8017.10, response time: 262.19ms (95%), errors: 58.00, reconnects:  0.00
[  60s] threads: 250, tps: 2001.10, reads: 28882.11, writes: 8066.50, response time: 263.61ms (95%), errors: 62.60, reconnects:  0.00
[  70s] threads: 250, tps: 2003.90, reads: 28926.00, writes: 8075.40, response time: 260.24ms (95%), errors: 58.40, reconnects:  0.00
[  80s] threads: 250, tps: 2023.16, reads: 29132.76, writes: 8154.15, response time: 264.40ms (95%), errors: 57.50, reconnects:  0.00
[  90s] threads: 250, tps: 1975.44, reads: 28527.52, writes: 7938.64, response time: 266.23ms (95%), errors: 60.60, reconnects:  0.00
[ 100s] threads: 250, tps: 1957.80, reads: 28258.67, writes: 7894.59, response time: 263.22ms (95%), errors: 64.40, reconnects:  0.00
[ 110s] threads: 250, tps: 1992.50, reads: 28792.62, writes: 8028.51, response time: 263.61ms (95%), errors: 64.40, reconnects:  0.00
[ 120s] threads: 250, tps: 1970.30, reads: 28423.70, writes: 7959.00, response time: 265.35ms (95%), errors: 56.30, reconnects:  0.00
[ 130s] threads: 250, tps: 2001.00, reads: 28771.62, writes: 8034.40, response time: 259.15ms (95%), errors: 59.40, reconnects:  0.00
[ 140s] threads: 250, tps: 2011.10, reads: 29037.48, writes: 8112.79, response time: 257.45ms (95%), errors: 57.50, reconnects:  0.00
[ 150s] threads: 250, tps: 1986.00, reads: 28597.82, writes: 7990.41, response time: 264.56ms (95%), errors: 60.60, reconnects:  0.00
[ 160s] threads: 250, tps: 1967.90, reads: 28469.50, writes: 7950.30, response time: 264.01ms (95%), errors: 61.70, reconnects:  0.00
[ 170s] threads: 250, tps: 1990.70, reads: 28774.70, writes: 8010.50, response time: 262.67ms (95%), errors: 66.40, reconnects:  0.00
[ 180s] threads: 250, tps: 1965.90, reads: 28342.78, writes: 7922.59, response time: 265.67ms (95%), errors: 61.50, reconnects:  0.00
[ 190s] threads: 250, tps: 1957.30, reads: 28316.11, writes: 7895.80, response time: 262.35ms (95%), errors: 63.40, reconnects:  0.00
[ 200s] threads: 250, tps: 1984.60, reads: 28611.31, writes: 8009.40, response time: 257.22ms (95%), errors: 57.50, reconnects:  0.00
[ 210s] threads: 250, tps: 1972.10, reads: 28482.58, writes: 7926.10, response time: 265.35ms (95%), errors: 64.00, reconnects:  0.00
[ 220s] threads: 250, tps: 1991.20, reads: 28717.11, writes: 8021.60, response time: 262.19ms (95%), errors: 60.00, reconnects:  0.00
[ 230s] threads: 250, tps: 1984.00, reads: 28696.01, writes: 8044.40, response time: 257.53ms (95%), errors: 62.20, reconnects:  0.00
[ 240s] threads: 250, tps: 2031.80, reads: 29212.57, writes: 8136.99, response time: 257.91ms (95%), errors: 57.20, reconnects:  0.00
[ 250s] threads: 250, tps: 1981.21, reads: 28547.93, writes: 7981.44, response time: 261.65ms (95%), errors: 56.90, reconnects:  0.00
[ 260s] threads: 250, tps: 1942.09, reads: 28034.79, writes: 7835.77, response time: 273.99ms (95%), errors: 62.20, reconnects:  0.00
[ 270s] threads: 250, tps: 1960.30, reads: 28360.48, writes: 7884.29, response time: 267.19ms (95%), errors: 66.80, reconnects:  0.00
[ 280s] threads: 250, tps: 1967.60, reads: 28507.52, writes: 7941.80, response time: 260.79ms (95%), errors: 66.20, reconnects:  0.00
[ 290s] threads: 250, tps: 1984.20, reads: 28657.46, writes: 8002.09, response time: 264.40ms (95%), errors: 64.90, reconnects:  0.00
[ 300s] threads: 250, tps: 1960.40, reads: 28316.31, writes: 7897.90, response time: 268.79ms (95%), errors: 62.40, reconnects:  0.00
[ 310s] threads: 250, tps: 1983.30, reads: 28588.40, writes: 7997.90, response time: 262.74ms (95%), errors: 55.20, reconnects:  0.00
[ 320s] threads: 250, tps: 2021.10, reads: 29140.23, writes: 8133.41, response time: 259.07ms (95%), errors: 61.20, reconnects:  0.00
[ 330s] threads: 250, tps: 2027.80, reads: 29261.16, writes: 8164.19, response time: 259.38ms (95%), errors: 63.50, reconnects:  0.00
[ 340s] threads: 250, tps: 1993.80, reads: 28835.75, writes: 8057.81, response time: 263.85ms (95%), errors: 64.90, reconnects:  0.00
[ 350s] threads: 250, tps: 2008.40, reads: 28911.84, writes: 8081.58, response time: 257.76ms (95%), errors: 57.80, reconnects:  0.00
[ 360s] threads: 250, tps: 1963.60, reads: 28292.35, writes: 7912.61, response time: 263.45ms (95%), errors: 57.40, reconnects:  0.00
[ 370s] threads: 250, tps: 1970.70, reads: 28526.75, writes: 7945.59, response time: 263.06ms (95%), errors: 68.80, reconnects:  0.00
[ 380s] threads: 250, tps: 1992.60, reads: 28837.65, writes: 8038.61, response time: 260.47ms (95%), errors: 64.00, reconnects:  0.00
[ 390s] threads: 250, tps: 2009.29, reads: 28920.62, writes: 8093.58, response time: 262.04ms (95%), errors: 60.10, reconnects:  0.00
[ 400s] threads: 250, tps: 2015.80, reads: 29174.26, writes: 8127.62, response time: 260.47ms (95%), errors: 65.50, reconnects:  0.00
[ 410s] threads: 250, tps: 2007.90, reads: 28894.92, writes: 8096.71, response time: 258.92ms (95%), errors: 55.80, reconnects:  0.00
[ 420s] threads: 250, tps: 2019.10, reads: 29088.96, writes: 8125.69, response time: 261.49ms (95%), errors: 58.90, reconnects:  0.00
[ 430s] threads: 250, tps: 2001.60, reads: 28848.93, writes: 8068.31, response time: 263.37ms (95%), errors: 59.80, reconnects:  0.00
[ 440s] threads: 250, tps: 1979.60, reads: 28627.31, writes: 8001.80, response time: 265.27ms (95%), errors: 66.10, reconnects:  0.00
[ 450s] threads: 250, tps: 1959.50, reads: 28291.50, writes: 7869.30, response time: 261.80ms (95%), errors: 59.40, reconnects:  0.00
[ 460s] threads: 250, tps: 1979.00, reads: 28578.00, writes: 7975.70, response time: 260.08ms (95%), errors: 62.80, reconnects:  0.00
[ 470s] threads: 250, tps: 2013.60, reads: 29007.10, writes: 8125.90, response time: 253.55ms (95%), errors: 58.50, reconnects:  0.00
[ 480s] threads: 250, tps: 2014.10, reads: 29091.89, writes: 8107.40, response time: 259.15ms (95%), errors: 63.50, reconnects:  0.00
[ 490s] threads: 250, tps: 2004.90, reads: 28911.69, writes: 8092.30, response time: 258.76ms (95%), errors: 57.50, reconnects:  0.00
[ 500s] threads: 250, tps: 2011.10, reads: 28964.61, writes: 8077.20, response time: 259.07ms (95%), errors: 60.40, reconnects:  0.00
[ 510s] threads: 250, tps: 1999.70, reads: 28846.59, writes: 8060.10, response time: 260.63ms (95%), errors: 62.60, reconnects:  0.00
[ 520s] threads: 250, tps: 2011.50, reads: 29015.29, writes: 8103.00, response time: 260.40ms (95%), errors: 60.30, reconnects:  0.00
[ 530s] threads: 250, tps: 2023.30, reads: 29221.61, writes: 8169.70, response time: 258.15ms (95%), errors: 60.70, reconnects:  0.00
[ 540s] threads: 250, tps: 1990.80, reads: 28649.30, writes: 8002.20, response time: 260.24ms (95%), errors: 63.70, reconnects:  0.00
[ 550s] threads: 250, tps: 1973.10, reads: 28540.01, writes: 7956.40, response time: 258.07ms (95%), errors: 60.60, reconnects:  0.00
[ 560s] threads: 250, tps: 1995.80, reads: 28776.81, writes: 8046.10, response time: 260.63ms (95%), errors: 58.90, reconnects:  0.00
[ 570s] threads: 250, tps: 2003.10, reads: 28901.67, writes: 8071.99, response time: 258.61ms (95%), errors: 61.00, reconnects:  0.00
[ 580s] threads: 250, tps: 2005.80, reads: 28883.42, writes: 8069.91, response time: 256.07ms (95%), errors: 56.30, reconnects:  0.00
[ 590s] threads: 250, tps: 1982.10, reads: 28643.60, writes: 8030.60, response time: 262.27ms (95%), errors: 62.00, reconnects:  0.00
[ 600s] threads: 250, tps: 2039.41, reads: 29345.31, writes: 8183.23, response time: 255.38ms (95%), errors: 60.30, reconnects:  0.00
[ 610s] threads: 250, tps: 2021.49, reads: 29138.79, writes: 8140.47, response time: 256.91ms (95%), errors: 59.60, reconnects:  0.00
[ 620s] threads: 250, tps: 2035.10, reads: 29369.79, writes: 8192.80, response time: 255.91ms (95%), errors: 60.00, reconnects:  0.00
[ 630s] threads: 250, tps: 1997.30, reads: 28707.57, writes: 8037.99, response time: 259.93ms (95%), errors: 55.40, reconnects:  0.00
[ 640s] threads: 250, tps: 1992.00, reads: 28782.94, writes: 8040.01, response time: 260.01ms (95%), errors: 62.90, reconnects:  0.00
[ 650s] threads: 250, tps: 2015.80, reads: 28999.20, writes: 8111.40, response time: 259.38ms (95%), errors: 57.50, reconnects:  0.00
[ 660s] threads: 250, tps: 2032.10, reads: 29326.40, writes: 8213.50, response time: 256.07ms (95%), errors: 59.40, reconnects:  0.00
[ 670s] threads: 250, tps: 2024.40, reads: 29201.30, writes: 8152.10, response time: 258.45ms (95%), errors: 63.00, reconnects:  0.00
[ 680s] threads: 250, tps: 2040.90, reads: 29406.58, writes: 8193.90, response time: 255.68ms (95%), errors: 60.40, reconnects:  0.00
[ 690s] threads: 250, tps: 2020.60, reads: 29144.42, writes: 8141.21, response time: 259.54ms (95%), errors: 62.10, reconnects:  0.00
[ 700s] threads: 250, tps: 2037.30, reads: 29357.48, writes: 8201.39, response time: 256.53ms (95%), errors: 59.70, reconnects:  0.00
[ 710s] threads: 250, tps: 1998.40, reads: 28861.20, writes: 8065.70, response time: 260.79ms (95%), errors: 62.40, reconnects:  0.00
[ 720s] threads: 250, tps: 1966.20, reads: 28487.01, writes: 7931.10, response time: 263.30ms (95%), errors: 66.60, reconnects:  0.00
[ 730s] threads: 250, tps: 1990.60, reads: 28705.69, writes: 8002.80, response time: 257.99ms (95%), errors: 62.20, reconnects:  0.00
[ 740s] threads: 250, tps: 1986.60, reads: 28761.41, writes: 8031.60, response time: 259.77ms (95%), errors: 65.30, reconnects:  0.00
[ 750s] threads: 250, tps: 2000.10, reads: 28847.70, writes: 8042.90, response time: 262.19ms (95%), errors: 62.50, reconnects:  0.00
[ 760s] threads: 250, tps: 2002.70, reads: 28895.70, writes: 8065.40, response time: 257.91ms (95%), errors: 60.40, reconnects:  0.00
[ 770s] threads: 250, tps: 2011.20, reads: 29047.08, writes: 8121.10, response time: 257.60ms (95%), errors: 62.90, reconnects:  0.00
[ 780s] threads: 250, tps: 2021.80, reads: 29179.52, writes: 8147.21, response time: 259.85ms (95%), errors: 62.30, reconnects:  0.00
[ 790s] threads: 250, tps: 1997.40, reads: 28803.60, writes: 8072.50, response time: 261.80ms (95%), errors: 58.90, reconnects:  0.00
[ 800s] threads: 250, tps: 2033.20, reads: 29226.97, writes: 8141.99, response time: 256.76ms (95%), errors: 59.40, reconnects:  0.00
[ 810s] threads: 250, tps: 1985.60, reads: 28684.73, writes: 8019.31, response time: 259.38ms (95%), errors: 60.30, reconnects:  0.00
[ 820s] threads: 250, tps: 1989.90, reads: 28779.20, writes: 8012.70, response time: 259.46ms (95%), errors: 68.00, reconnects:  0.00
[ 830s] threads: 250, tps: 1993.40, reads: 28842.60, writes: 8034.00, response time: 261.02ms (95%), errors: 64.80, reconnects:  0.00
[ 840s] threads: 250, tps: 2012.40, reads: 29003.07, writes: 8115.49, response time: 259.70ms (95%), errors: 60.00, reconnects:  0.00
[ 850s] threads: 250, tps: 2010.70, reads: 29049.72, writes: 8099.11, response time: 254.16ms (95%), errors: 64.80, reconnects:  0.00
