sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 603.91, reads: 8474.81, writes: 2418.83, response time: 36.83ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 668.90, reads: 9363.09, writes: 2674.60, response time: 33.87ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 681.90, reads: 9545.91, writes: 2726.90, response time: 34.16ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 689.50, reads: 9652.10, writes: 2758.10, response time: 32.41ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 662.90, reads: 9279.30, writes: 2652.10, response time: 39.43ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 686.80, reads: 9615.80, writes: 2746.90, response time: 33.33ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 666.50, reads: 9335.00, writes: 2666.80, response time: 32.99ms (95%), errors: 0.10, reconnects:  0.00
[  80s] threads: 16, tps: 694.90, reads: 9730.10, writes: 2779.70, response time: 31.19ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 675.60, reads: 9458.19, writes: 2702.00, response time: 34.89ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 684.80, reads: 9577.61, writes: 2739.00, response time: 33.66ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 689.20, reads: 9656.20, writes: 2758.90, response time: 32.14ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 681.50, reads: 9543.50, writes: 2724.40, response time: 35.21ms (95%), errors: 0.10, reconnects:  0.00
[ 130s] threads: 16, tps: 656.40, reads: 9190.40, writes: 2628.20, response time: 35.33ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 699.90, reads: 9795.39, writes: 2796.20, response time: 31.18ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 705.00, reads: 9875.72, writes: 2824.90, response time: 30.52ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 703.60, reads: 9847.30, writes: 2811.20, response time: 31.01ms (95%), errors: 0.10, reconnects:  0.00
[ 170s] threads: 16, tps: 689.40, reads: 9640.99, writes: 2754.60, response time: 33.68ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 698.10, reads: 9780.00, writes: 2795.00, response time: 31.00ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 681.30, reads: 9538.30, writes: 2722.80, response time: 33.69ms (95%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 16, tps: 684.20, reads: 9587.15, writes: 2740.89, response time: 31.85ms (95%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 16, tps: 638.20, reads: 8928.05, writes: 2551.91, response time: 34.42ms (95%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 16, tps: 675.40, reads: 9455.90, writes: 2700.60, response time: 33.17ms (95%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 16, tps: 691.40, reads: 9678.01, writes: 2764.80, response time: 32.31ms (95%), errors: 0.00, reconnects:  0.00
[ 240s] threads: 16, tps: 679.40, reads: 9517.68, writes: 2719.89, response time: 32.69ms (95%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 16, tps: 687.20, reads: 9618.41, writes: 2749.60, response time: 34.45ms (95%), errors: 0.00, reconnects:  0.00
[ 260s] threads: 16, tps: 701.20, reads: 9818.69, writes: 2803.10, response time: 31.75ms (95%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 16, tps: 698.80, reads: 9785.10, writes: 2794.90, response time: 32.12ms (95%), errors: 0.00, reconnects:  0.00
[ 280s] threads: 16, tps: 707.80, reads: 9905.70, writes: 2830.90, response time: 29.57ms (95%), errors: 0.00, reconnects:  0.00
[ 290s] threads: 16, tps: 700.90, reads: 9803.80, writes: 2802.00, response time: 31.12ms (95%), errors: 0.00, reconnects:  0.00
[ 300s] threads: 16, tps: 707.70, reads: 9913.61, writes: 2832.10, response time: 30.35ms (95%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 16, tps: 652.10, reads: 9130.30, writes: 2607.60, response time: 34.51ms (95%), errors: 0.00, reconnects:  0.00
[ 320s] threads: 16, tps: 703.80, reads: 9856.40, writes: 2815.80, response time: 31.15ms (95%), errors: 0.10, reconnects:  0.00
[ 330s] threads: 16, tps: 708.30, reads: 9921.40, writes: 2834.20, response time: 30.27ms (95%), errors: 0.10, reconnects:  0.00
[ 340s] threads: 16, tps: 709.40, reads: 9917.50, writes: 2835.10, response time: 29.84ms (95%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 16, tps: 703.30, reads: 9854.20, writes: 2815.20, response time: 31.00ms (95%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 16, tps: 710.50, reads: 9949.10, writes: 2843.10, response time: 30.03ms (95%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 16, tps: 698.00, reads: 9771.31, writes: 2790.20, response time: 30.77ms (95%), errors: 0.00, reconnects:  0.00
[ 380s] threads: 16, tps: 690.30, reads: 9662.19, writes: 2761.90, response time: 31.61ms (95%), errors: 0.00, reconnects:  0.00
