sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 10 second(s)
Initializing random number generator from timer.

Random number generator seed is 0 and will be ignored


Threads started!

[  10s] threads: 16, tps: 230.30, reads: 3241.36, writes: 924.02, response time: 117.58ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 222.90, reads: 3122.70, writes: 891.60, response time: 123.72ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 225.10, reads: 3148.60, writes: 899.80, response time: 122.91ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 224.70, reads: 3149.80, writes: 901.20, response time: 121.67ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 221.30, reads: 3093.10, writes: 881.70, response time: 123.61ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 225.40, reads: 3153.50, writes: 900.50, response time: 122.29ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 224.80, reads: 3146.40, writes: 899.20, response time: 121.70ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 224.50, reads: 3151.80, writes: 902.10, response time: 120.58ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 223.50, reads: 3119.70, writes: 890.60, response time: 126.99ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 220.90, reads: 3096.50, writes: 883.90, response time: 125.85ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 224.40, reads: 3147.80, writes: 901.90, response time: 121.05ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 226.80, reads: 3173.70, writes: 906.40, response time: 125.03ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 223.70, reads: 3125.70, writes: 891.00, response time: 125.14ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 226.40, reads: 3171.00, writes: 907.90, response time: 121.09ms (95%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 16, tps: 226.40, reads: 3165.70, writes: 904.30, response time: 124.21ms (95%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 16, tps: 223.70, reads: 3140.60, writes: 897.50, response time: 125.51ms (95%), errors: 0.00, reconnects:  0.00
[ 170s] threads: 16, tps: 227.30, reads: 3174.91, writes: 905.70, response time: 119.54ms (95%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 16, tps: 223.60, reads: 3131.40, writes: 894.00, response time: 124.32ms (95%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 16, tps: 227.90, reads: 3186.60, writes: 912.50, response time: 119.29ms (95%), errors: 0.00, reconnects:  0.00
