procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 382016 507628 2886372 37064088    7   23  1381   788    1    1  2  1 96  1  0
 2  0 382016 428216 2886372 37064960    0    0 23292 92347 15103 31757  1  1 97  0  0
66  3 382012 392864 2886372 37038936    0    0 46236 81088 38132 297422 14  6 79  1  0
120  6 382012 373532 2886372 36996404    0    0 57896 86832 49126 403497 19  8 72  2  0
 1  0 382012 357332 2886372 36941960    0    0 61084 88784 66548 437406 22  8 68  2  0
 2  1 382012 367304 2886380 36887028    0    0 41984 245517 71983 326686 14  6 78  2  0
 3  1 382012 371832 2886380 36822632    0    0 62260 568331 90550 472751 23  8 66  3  0
70  4 382012 367904 2886380 36772816    0    0 59488 88420 45902 408214 20  7 71  2  0
 3  3 382012 362388 2886380 36725620    0    0 55972 88576 57906 409689 19  8 72  2  0
 1  0 382012 371164 2886380 36661784    0    0 59652 88986 71372 424537 20  8 70  2  0
40  2 382012 366064 2886388 36617908    0    0 49476 87093 75391 345894 17  8 74  1  0
 1  0 382012 376548 2886388 36541908    0    0 58084 98574 297126 426112 20  8 70  2  0
12  3 382012 397332 2886388 36481996    0    0 44460 516619 338564 368666 15  7 76  2  0
 1  0 382012 386500 2886388 36434492    0    0 55520 89780 278125 418891 19  8 71  2  0
 1  0 382012 380696 2886388 36390416    0    0 56780 89316 302091 410579 20  8 71  2  0
 1  0 382012 385272 2886396 36340028    0    0 47580 89649 309029 358823 17  8 73  2  0
45  0 382012 349860 2886396 36307432    0    0 51008 89039 333090 376030 17  8 74  1  0
54  3 382012 369388 2886396 36258456    0    0 51428 130174 288867 387466 18  8 73  2  0
 2  0 382012 375660 2886396 36215956    0    0 41512 85448 199694 299027 14  7 78  1  0
 1  0 382012 379180 2886396 36168044    0    0 51192 90516 187417 391147 19  7 72  2  0
 2  0 382012 364768 2886404 36127588    0    0 54628 89305 152260 387691 17  7 73  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
33  5 382012 370228 2886404 36082044    0    0 42748 203215 171894 315240 14  7 78  2  0
 4  0 382012 370200 2886404 36026572    0    0 52104 229080 215117 375601 18  7 73  2  0
 1  0 382012 367940 2886404 35990448    0    0 41372 86540 134229 302899 14  7 78  1  0
 1  0 382012 370600 2886404 35981420    0    0   368 69432 9026 10595  2  1 97  0  0
 1  0 382012 370108 2886412 35975108    0    0     0 70945 5025 7199  2  0 98  0  0
 1  0 382012 370284 2886412 35970172    0    0     0 34611 2879 3400  2  0 98  0  0
 1  0 382012 371156 2886412 35968580    0    0     0 34640 2922 3880  2  0 98  0  0
 1  0 382012 383460 2886412 35964516    0    0  3552 37228 34180 34458  4  1 95  0  0
 2  2 382012 363844 2886412 35905288    0    0 93736 103624 225255 633409 30 11 56  3  0
 2  0 382012 371176 2886420 35817220    0    0 91996 104385 218206 645351 32 11 54  3  0
 4  0 382012 364016 2886420 35729324    0    0 101848 106463 199416 668694 35 13 50  3  0
24  1 382012 363152 2886424 35643072    0    0 102856 112286 203687 653955 34 12 51  3  0
 2  2 382012 362460 2886424 35565880    0    0 87044 98420 166770 563946 29 10 58  3  0
 2  1 382012 368444 2886424 35489004    0    0 80460 391748 245255 587224 29 11 57  3  0
67  2 382012 376056 2886436 35408508    0    0 92080 102625 206322 627171 33 11 52  3  0
25  3 382012 369076 2886436 35327580    0    0 93080 129259 192245 646330 33 11 53  3  0
29  2 382012 368636 2886440 35246600    0    0 88196 138504 180392 584529 31 11 55  2  0
17  7 382012 373580 2886440 35170732    0    0 84336 363592 244215 599623 31 11 54  3  0
 2  0 382012 372808 2886440 35086556    0    0 87216 98508 167019 585146 30 11 56  2  0
 2  0 382012 361876 2886448 35053064    0    0 53076 86817 107522 357694 19  8 72  2  0
 2  0 382012 374072 2886448 34996136    0    0 47844 86863 105438 347663 19  7 73  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2 382012 370360 2886448 34964632    0    0 44148 83528 95405 291004 16  7 76  2  0
 4  0 382012 374204 2886448 34905416    0    0 59588 88524 117202 388033 21  8 70  2  0
 3  0 382012 377908 2886448 34853600    0    0 54924 87908 119806 384130 21  7 70  2  0
 3  0 382012 369180 2886456 34819912    0    0 45332 88565 91330 340999 18  7 74  1  0
 1  0 382012 366660 2886456 34771812    0    0 52464 88339 107627 378471 18  7 73  2  0
 1  2 382012 362628 2886456 34742348    0    0 36352 619392 137835 319892 11  6 81  2  0
 1  0 382012 370272 2886456 34687228    0    0 47952 376132 201730 344362 16  7 74  3  0
40  1 382012 380204 2886456 34627436    0    0 58584 90440 120722 411243 20  8 70  2  0
35  2 382012 364520 2886464 34555688    0    0 100432 103261 184757 666498 33 11 53  3  0
67  7 382012 369708 2886464 34498908    0    0 58500 730675 105839 463411 22  8 67  3  0
 2  0 382012 365820 2886464 34429888    0    0 83608 104860 53361 555499 28  9 61  2  0
 2  0 382012 364552 2886464 34360292    0    0 78364 96452 53299 524254 25  9 63  2  0
27  7 382012 371328 2886464 34321536    0    0 34996 459564 86702 268060 12  6 81  2  0
16  3 382012 365468 2886472 34276492    0    0 51260 99621 82362 356238 17  7 74  2  0
 1  0 382012 365752 2886472 34223860    0    0 59440 92855 74991 414836 19  8 71  2  0
 2  0 382012 480724 2886476 34178768    0    0 55016 129175 107317 344757 17  7 75  2  0
 0  1 382012 400928 2886476 34187844    0    0 22216 68579 20439 23105  1  1 97  0  0
75  4 382012 376100 2886476 34149464    0    0 45572 80700 143751 287795 12  6 81  1  0
 1  0 382012 366076 2886484 34083868    0    0 74800 94405 124856 508903 24  9 65  2  0
 6  1 382012 357668 2886484 34001036    0    0 76744 97495 137375 542090 25  8 64  3  0
 1  2 382012 360900 2886484 33911552    0    0 75888 149408 137013 567716 27  9 62  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 382012 366536 2886484 33872068    0    0 40096 367972 110454 311581 13  6 79  2  0
 1  0 382012 370184 2886484 33817272    0    0 45468 87224 73010 337802 15  7 76  1  0
 1  0 382012 366168 2886496 33779560    0    0 42172 85221 58737 292932 14  6 79  1  0
 1  0 382012 366824 2886496 33729836    0    0 44144 107923 55394 324659 14  6 78  1  0
32  2 382012 359136 2886496 33678676    0    0 49108 85916 58115 355608 15  6 77  1  0
 5  0 382012 366332 2886496 33608512    0    0 47692 85228 49286 335033 14  6 78  1  0
 2  0 382012 371240 2886496 33551148    0    0 42320 84746 49314 323725 15  6 77  1  0
 1  0 382012 365372 2886504 33510336    0    0 42336 80901 43371 259655 12  5 81  2  0
 1  0 382012 357444 2886504 33503692    0    0  3788 70259 13593 38049  3  1 96  0  0
 1  0 382012 355284 2886504 33503404    0    0     0 42430 3002 3523  2  0 98  0  0
 1  0 382012 354220 2886504 33503356    0    0     0 34372 2794 3729  2  0 98  0  0
 1  0 382012 352916 2886504 33503036    0    0     0 34456 2749 3206  2  0 98  0  0
 1  0 382012 352932 2886512 33502812    0    0     0 68945 4654 6510  2  0 98  0  0
 4  2 382012 369640 2886512 33442380    0    0 57908 90291 69483 415189 19  7 72  2  0
30  5 382012 368032 2886512 33382756    0    0 68748 116742 66892 453744 22  9 67  2  0
 8  0 382012 371088 2886512 33306892    0    0 83392 96608 67446 556577 27 10 61  2  0
 6  2 382012 362208 2886512 33229536    0    0 91252 100380 84188 608781 28 11 59  3  0
40  1 382008 369636 2886512 33140308    0    0 93156 102768 81162 621458 29 11 58  3  0
37  5 382008 367720 2886520 33052096    0    0 99404 106816 88124 684753 32 12 53  3  0
48  1 382008 367516 2886520 32976672    0    0 86532 100764 74738 591122 28 10 60  2  0
26  1 382008 379104 2886520 32875108    0    0 98840 102440 133295 661930 31 12 54  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  1 382008 368948 2886520 32822600    0    0 71808 336700 104372 500737 23 10 64  3  0
36  2 382008 369028 2886520 32738932    0    0 97048 105028 78604 648930 32 11 55  3  0
 1  0 382008 369904 2886528 32667648    0    0 77432 98328 75177 525018 24 10 64  2  0
38  3 382008 364324 2886528 32600140    0    0 84020 100696 80764 568963 27 10 61  2  0
32  6 382008 368700 2886528 32521456    0    0 84520 325508 117085 601962 27 10 60  3  0
17  2 382008 361744 2886528 32441144    0    0 95252 105376 112820 626672 30 11 55  3  0
 2  0 382008 369268 2886528 32359264    4    0 84160 98780 103306 582353 29 11 57  3  0
18  5 382008 365564 2886536 32299664    0    0 74808 97252 59888 528504 27  9 61  2  0
 2  0 382008 361072 2886540 32243044    0    0 70756 104352 58419 482999 24  9 65  2  0
41  9 382008 376512 2886540 32169920    0    0 63432 610524 134781 480620 23  8 66  3  0
 6  4 382008 364456 2886540 32103632    0    0 87248 102396 66812 573341 29 11 58  3  0
37  6 382008 379144 2886540 32027988    0    0 67904 58176 56841 453400 24  9 65  2  0
50  3 382008 370896 2886548 32003088    0    0 38936 528372 66149 300133 15  6 76  2  0
 9  8 382008 364480 2886552 31942512    0    0 72832 256894 60974 487967 25  9 64  2  0
44  1 382008 365908 2886552 31876080    0    0 70688 91756 56080 472787 24  9 64  2  0
 2  0 382008 376236 2886552 31804560    0    0 68668 91372 52157 456231 24  9 66  2  0
 7  1 382008 364200 2886552 31787536    0    0 33180 454844 85112 276657 13  6 79  1  0
 2  0 382008 374580 2886560 31722404    0    0 54220 178352 74843 405147 20  8 69  3  0
12  0 382008 361032 2886560 31691724    0    0 48520 85804 84612 354783 19  7 73  2  0
 2  0 382008 359248 2886560 31641428    0    0 53176 86904 87971 377738 19  9 70  2  0
18  3 382008 367764 2886560 31593384    0    0 41708 83268 108930 305655 16  7 76  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 382008 372704 2886560 31543720    0    0 48848 86652 118895 376591 19  7 72  1  0
 3  0 382008 373012 2886568 31495596    0    0 51732 100544 88726 389386 20  8 70  2  0
50  5 382008 370560 2886568 31465304    0    0 35076 419188 135139 282308 13  7 79  2  0
 1  0 382008 363816 2886568 31416632    0    0 56040 88796 136909 384131 17  7 74  2  0
 3  1 382008 359440 2886568 31374164    0    0 48112 85236 112266 331876 15  7 76  2  0
 3  0 382008 371288 2886568 31314628    0    0 51980 86200 110193 333807 15  7 76  2  0
46 31 382008 368616 2886576 31270532    0    0 53304 88216 95621 350078 16  7 76  2  0
 3  0 382008 363032 2886576 31217172    0    0 57884 98660 95939 400372 19  8 71  2  0
 1  0 382008 363860 2886576 31176372    0    0 46028 87248 63369 334761 16  7 76  2  0
 1  0 382008 379504 2886576 31168432    0    0 47584 78282 68413 189982  9  4 85  1  0
29  3 382008 364636 2886576 31129584    0    0 49040 78692 57284 212924  8  5 85  2  0
 1  0 382008 363720 2886584 31072228    0    0 52468 79684 38930 191789  9  5 85  2  0
 1  0 382008 368452 2886584 31035116    0    0 27556 110048 23780 104420  4  3 92  1  0
 1  0 382008 357616 2886584 31036116    0    0     0 68668 6097 6311  2  0 98  0  0
 1  0 382008 352948 2886584 31035968    0    0     0 34476 2954 3622  2  0 98  0  0
 1  0 382008 364684 2886584 31030492    0    0     0 68756 5319 6330  2  0 98  0  0
 1  0 382008 362012 2886592 31030248    0    0     0 34720 2963 3962  2  0 98  0  0
81  7 382008 368072 2886592 30993768    0    0 27652 39864 26559 106860  7  2 91  1  0
 1  0 382008 362792 2886592 30838508    0    0 165896 101004 101239 587506 28 10 57  5  0
74  7 382008 372688 2886592 30708572    0    0 123360 94604 86329 446000 21 10 65  3  0
14  2 382008 370880 2886592 30567340    0    0 140752 98536 115734 534110 26 12 59  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0 382008 370276 2886600 30486584    0    0 91336 111664 72682 358773 17  9 70  4  0
44  4 382008 369980 2886600 30368024    0    0 131320 94768 90429 505937 24 11 61  4  0
32  3 382008 369252 2886600 30294240    0    0 81548 85676 54460 325119 14  8 77  2  0
18  3 382008 369360 2886600 30194200    0    0 100628 89698 81303 408274 20  9 69  3  0
 5  2 382008 399536 2886600 30047364    0    0 119464 95016 80540 498822 23 10 64  3  0
71  1 382008 401528 2886608 29918268    0    0 138580 99828 63875 603640 29 10 58  4  0
43  5 382008 402228 2886616 29794268    0    0 133616 106428 63173 588776 28 10 58  4  0
27  4 382008 401604 2886616 29682928    0    0 127412 258532 90833 563398 27 10 59  4  0
 1  0 382008 403776 2886616 29574316    0    0 121668 99440 62050 535369 25  9 62  4  0
42  3 382008 398992 2886616 29468236    0    0 118440 101176 62643 555130 26  9 61  4  0
47  3 382008 404216 2886628 29341608    0    0 124952 103448 66907 584390 27 10 60  4  0
 5  0 382008 399588 2886632 29245396    0    0 108724 271948 77722 526694 24  9 63  4  0
22  1 382008 402612 2886632 29134424    0    0 113860 103380 68579 564051 27 10 59  3  0
36  3 382008 407132 2886632 29024832    0    0 113508 103352 66829 574805 27  9 61  3  0
 1  0 382008 407296 2886632 28921268    0    0 113388 99692 63355 553068 27  9 61  3  0
32  0 382008 402192 2886640 28820484    0    0 99712 100808 61733 520092 23  8 66  4  0
 1  2 382008 397356 2886640 28721808    0    0 103188 292744 86177 572954 25  9 62  4  0
 2  1 382008 403440 2886640 28600148    0    0 111160 103736 66774 589079 27  9 60  3  0
 1  0 382008 404296 2886640 28484600    0    0 109008 102992 63477 576358 27  9 61  3  0
 1  0 382008 384868 2886640 28417568    0    0 88232 97352 56035 459599 21  8 69  3  0
50  1 382008 397564 2886648 28298416    0    0 90176 99268 134093 510701 22  8 67  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0 382008 391340 2886648 28196684    0    0 102052 103372 148731 561514 26  9 62  3  0
17  0 382008 403100 2886648 28077896    0    0 98580 100268 160537 513022 24  9 64  3  0
 1  0 382008 386556 2886648 28025312    0    0 75172 93488 230702 429697 19  8 71  2  0
 5  3 382008 386820 2886648 27952504    0    0 64272 89280 268233 413428 19  8 71  2  0
 2  0 382008 387248 2886656 27868852    0    0 73152 94672 300731 452102 23  8 66  2  0
33  1 382008 410668 2886660 27796224    0    0 49512 731032 305112 386167 16  7 74  3  0
74  5 382008 398916 2886660 27713752    0    0 91792 104744 300617 553595 28 10 59  2  0
35  4 382008 396124 2886660 27622912    0    0 91216 99636 275781 540831 29 10 59  2  0
 7  5 382008 376244 2886660 27579564    0    0 59828 567876 232032 401151 19  7 71  4  0
35  0 382008 393108 2886672 27475500    0    0 87364 220792 350472 505645 25  9 63  3  0
37  2 382008 385880 2886676 27381320    0    0 94072 163980 338420 569196 28 10 60  2  0
 3  0 382008 372664 2886684 27310240    0    0 75796 414030 227023 479686 23  8 67  2  0
60  3 382008 396708 2886684 27205576    0    0 88796 263496 236737 548667 27  9 61  3  0
35  3 382008 393880 2886684 27104992    0    0 98132 99456 179499 573085 30 10 58  2  0
10  7 382008 377304 2886684 27030976    0    0 81800 308580 186519 514728 26  8 63  3  0
 2  0 382008 400208 2886684 26926756    0    0 88296 314062 201222 513967 26  9 62  3  0
26  2 382008 406896 2870380 26828308    0    0 101124 101806 170390 574272 28  9 59  3  0
 6  0 382008 392000 2833016 26775392    0    0 95844 201496 184895 552518 26  9 63  2  0
 2  0 382008 400416 2817020 26779504    0    0  5892 345068 70413 80092  6  2 92  0  0
 1  0 382008 408188 2807016 26777740    0    0     0 35540 3363 4029  3  0 96  0  0
 1  0 382008 406548 2807016 26777520    0    0     0 35040 3117 4168  2  0 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 382008 406216 2804864 26777776    0    0     0 34744 3027 4339  2  0 98  0  0
 1  0 382008 413780 2799484 26775384    0    0     0 34928 3309 3711  2  0 98  0  0
 1  0 382008 412916 2799484 26775592    0    0     0 70732 5119 7774  2  0 98  0  0
 1  0 382008 411304 2799484 26775956    0    0     0 34480 2883 3819  2  0 98  0  0
39  6 382008 397892 2798628 26720276    0    0 93560 97046 241154 584967 27 10 61  3  0
 1  0 382008 432768 2796948 26675016    0    0 66700 81568 91870 245758 13  5 81  1  0
 0  1 381984 441168 2796024 26639924   24    0 38020 69476 11055 17811  1  1 98  0  0
42  2 381984 439452 2794784 26592724    0    0 41260 71316 21093 38826  2  1 97  1  0
49  5 381984 404688 2795720 26485880    0    0 68808 98696 235466 503141 24  9 66  2  0
27  6 381984 400268 2796456 26399196    0    0 77900 111070 215830 572841 27 10 61  2  0
53  1 381984 393468 2796680 26318880    0    0 78136 97188 197383 568946 26 10 61  2  0
39  3 381984 389456 2796708 26229592    0    0 77084 95948 187837 574900 27 10 61  2  0
 3  3 381984 390340 2796316 26149468    0    0 80676 96860 166795 590172 28 10 60  2  0
 3  0 381984 394456 2795828 26077876    0    0 78004 97840 158209 585023 26 10 62  2  0
 2  4 381984 392136 2795140 26006676    0    0 81824 152901 161472 607784 29 10 59  2  0
39  2 381984 400784 2794884 25923224    0    0 78956 98175 143516 603227 28 10 61  2  0
 9  0 381984 393212 2794528 25843528    0    0 84916 100540 138584 597063 28 10 60  2  0
38  2 381984 387552 2794648 25774888    0    0 77584 335120 218963 618030 28 10 59  3  0
23  5 381984 396400 2794920 25680980    0    0 80052 98348 132075 581287 27  9 62  2  0
38  3 381984 429900 2795164 25570208    0    0 84152 121716 139578 608728 28 10 60  2  0
34  2 381984 398140 2795400 25523536    0    0 87020 100184 135310 649886 29 10 58  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1 381984 363648 2795500 25494004    0    0 67192 376290 181617 528395 23  9 65  3  0
51  4 381984 397088 2795652 25373180    0    0 94860 101080 137989 678014 32 11 55  2  0
50  2 381984 396556 2795944 25289936    0    0 96404 102340 135045 685561 30 12 56  2  0
44  2 381984 389612 2796076 25205872    0    0 98596 101184 137614 681851 32 11 54  3  0
63  5 381984 400056 2796064 25121552    0    0 85936 366820 126707 678505 28 11 58  3  0
43  1 381984 407632 2796196 25022952    0    0 98604 104156 65947 704170 31 12 54  3  0
 9  3 381984 399924 2796168 24943224    0    0 91772 101444 97558 679858 32 11 54  3  0
30  0 381984 380644 2796160 24878612    0    0 88344 102772 144485 683812 30 11 56  2  0
 4  1 381984 395276 2796024 24794384    0    0 83616 375419 172689 672122 29 12 56  3  0
44  5 381984 393880 2796068 24726296    0    0 83572 101623 161868 646149 29 11 58  2  0
 1  0 381984 392204 2796072 24642712    0    0 85716 99372 132189 661397 29 11 58  2  0
52  0 381984 384232 2795944 24565920    0    0 94640 103660 142226 738482 33 13 52  2  0
55  8 381984 374052 2795924 24515064    0    0 73296 258320 146224 594826 27 11 60  3  0
 1  0 381984 376088 2795784 24430968    0    0 87420 253421 151411 676018 31 12 55  2  0
64  3 381984 385272 2795624 24336252    0    0 81952 101455 144914 628123 29 11 58  2  0
 1  0 381984 403448 2795488 24238964    0    0 93660 101504 124973 693813 32 12 54  3  0
43  0 381984 391996 2795460 24178212    0    0 78900 358112 98224 640951 29 11 58  2  0
85  4 381984 396824 2795500 24083740    0    0 97980 105580 90541 740852 33 12 52  2  0
88  7 381984 387368 2795496 24009296    0    0 91868 105668 96171 738214 34 12 52  2  0
 1  0 381984 381636 2795528 23931360    0    0 98544 101824 80288 734377 35 12 51  3  0
 2  1 381984 403960 2795520 23837740    0    0 69856 209388 85718 597751 26 10 61  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 381984 547196 2795656 23801992    0    0 76692 172125 72053 497756 23  8 66  3  0
 1  0 381984 398444 2795660 23820460    0    0 38540 71283 14123 31083  1  1 97  1  0
