procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 403976 121326600   9836 1534976    6   22  1160   661    1    1  2  1 97  1  0
 1  1 403904 118793040 265124 1538488   84    0 258812    35 65051 8679  1  2 96  1  0
 1  1 403904 118214816 826196 1555304    0    0 560844     0 139462 13304  0  2 97  1  0
 2  0 403904 118149128 1176096 1565460    0    0 349780 32516 95437 9052  0  3 96  1  0
 0  2 403904 117531024 1291432 1769736    0    0 315748 32584 39995 9125  1  2 97  0  0
 2  0 403848 117219104 1339512 2033060   64    0 307956 63776 33324 9854  0  2 96  1  0
 1  1 403844 116903936 1366012 2317760    4    0 309964 64112 28761 9724  0  2 96  2  0
 1  1 403840 116595624 1417940 2569536    8    0 302704 63352 46644 9035  0  2 96  2  0
 1  1 403840 116293768 1441416 2846480    0    0 297676 63228 35292 8446  0  2 96  2  0
 1  1 403836 115996568 1446412 3134992    8    0 293392 63560 27331 8790  0  2 96  2  0
 1  1 403836 115658368 1451680 3463984    0    0 332472   104 8353 8417  0  2 97  1  0
 1  1 403836 115362776 1458036 3748908    0    0 289688 126096 47103 30092  0  2 97  0  0
 1  1 403836 115047440 1464776 4056484    0    0 312472 32576 16143 8547  0  2 96  1  0
 1  1 403836 114721152 1479748 4360764    0    0 320096 32528 18256 8333  0  2 97  1  0
 1  1 403836 114409024 1489432 4660184    0    0 309108 62848 24701 8191  0  2 98  0  0
 1  1 403816 114102248 1497556 4956396   20    0 302480 62876 24206 8600  0  2 97  0  0
 2  0 403816 113753440 1513968 5285488    0    0 343736    16 11534 9103  0  2 97  0  0
 1  1 403812 113453056 1533020 5563724    4    0 296812 62864 26367 7969  0  2 97  1  0
 1  1 403812 113143048 1559420 5843612    0    0 305300 63068 28192 9186  0  2 96  1  0
 1  1 403812 112827136 1601216 6113420    0    0 310240 63052 31439 8923  0  2 97  1  0
 2  0 403812 112527840 1635536 6377900    0    0 295352 63324 37159 8493  0  2 96  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 403812 112217632 1653684 6666020    0    0 306320 64172 37421 8347  0  2 96  2  0
 1  1 403812 111914216 1673268 6947748    0    0 299380 63752 30752 7707  0  2 96  2  0
 1  1 403812 111607488 1695640 7228300    0    0 305512 58416 30639 8530  0  2 96  2  0
 1  1 403812 111298296 1716816 7514472    0    0 304940 58316 29222 8060  0  2 96  2  0
 1  1 403812 110979744 1739864 7803400    0    0 314112 58664 26208 8681  0  2 96  1  0
 1  1 403812 110667936 1762120 8089928    0    0 312448 58568 26170 8185  0  2 96  2  0
 1  1 403812 110351240 1784696 8378168    0    0 318252 58452 26463 8809  0  2 96  2  0
 1  0 403732 121483520 1797768 7845696    4    0 151776     0 7517 5695  0  2 97  1  0
 1  0 403732 123087808 1803424 6236596    0    0  5600 58452 17294 3162  0  2 98  0  0
 1  0 403732 123103584 1812404 6213012    0    0  9004 57712 18285 3539  0  2 98  0  0
 1  0 403732 123121760 1821080 6185440    4    0  8680 62084 19394 3144  0  2 98  0  0
 1  0 403732 123138992 1830964 6159520    0    0  9888 20172 8239 3423  0  2 98  0  0
 1  0 403732 123165272 1836908 6126504    0    0  5964 43440 14879 2918  0  2 98  0  0
 1  0 403732 123226536 1841768 6059988    0    0  4804 63640 18558 3217  0  2 98  0  0
 1  0 403728 123302752 1845656 5978748    4    0  4060 63699 18385 3993  0  2 98  0  0
 1  0 403728 123327360 1852304 5946696    0    0  6592 95167 35142 24483  0  2 98  0  0
 1  0 403724 123355480 1859388 5913452    4    0  7080 22384 8527 2768  0  2 98  0  0
 1  0 403724 123383624 1865840 5878156    0    0  6480 10220 7014 3353  0  2 98  0  0
 1  0 403724 123408720 1871524 5845156    0    0  5624 63564 18548 2667  0  2 98  0  0
 1  0 403724 123559584 1874168 5693628    0    0  2556 63813 18286 2663  0  2 98  0  0
 1  0 403724 123616440 1878136 5629356    0    0  3912 63659 18549 3152  0  2 98  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 403724 123647312 1883708 5595816    0    0  5520 63616 18766 3109  0  2 98  0  0
