sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 500
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 500, tps: 1317.40, reads: 19692.39, writes: 5438.62, response time: 428.12ms (95%), errors: 0.99, reconnects:  0.00
[   2s] threads: 500, tps: 512.91, reads: 9462.34, writes: 2252.60, response time: 1241.97ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 500, tps: 1267.73, reads: 15165.76, writes: 4820.97, response time: 520.54ms (95%), errors: 2.00, reconnects:  0.00
[   4s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 500, tps: 1071.24, reads: 17480.94, writes: 4505.02, response time: 6083.56ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 500, tps: 74.98, reads: 1445.65, writes: 304.93, response time: 1151.04ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 500, tps: 1529.46, reads: 19543.85, writes: 5957.78, response time: 1738.73ms (95%), errors: 1.00, reconnects:  0.00
[  12s] threads: 500, tps: 277.93, reads: 4985.81, writes: 1272.70, response time: 486.78ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 500, tps: 582.23, reads: 7343.92, writes: 2123.84, response time: 2030.36ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 500, tps: 885.98, reads: 13922.67, writes: 3837.91, response time: 1950.53ms (95%), errors: 1.00, reconnects:  0.00
[  15s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 500, tps: 322.38, reads: 2889.42, writes: 1106.86, response time: 3049.61ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 500, tps: 1569.78, reads: 23436.48, writes: 6337.22, response time: 3994.90ms (95%), errors: 1.00, reconnects:  0.00
[  19s] threads: 500, tps: 1352.97, reads: 17564.57, writes: 5300.87, response time: 699.05ms (95%), errors: 3.00, reconnects:  0.00
[  20s] threads: 500, tps: 1317.01, reads: 19281.14, writes: 5429.04, response time: 574.25ms (95%), errors: 3.00, reconnects:  0.00
[  21s] threads: 500, tps: 1639.02, reads: 21489.32, writes: 6390.10, response time: 810.70ms (95%), errors: 2.00, reconnects:  0.00
[  22s] threads: 500, tps: 325.06, reads: 8108.48, writes: 1439.26, response time: 563.01ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 500, tps: 1438.17, reads: 17230.10, writes: 5680.82, response time: 1163.16ms (95%), errors: 2.99, reconnects:  0.00
[  24s] threads: 500, tps: 1359.45, reads: 18428.20, writes: 5352.64, response time: 865.11ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 500, tps: 576.09, reads: 8390.25, writes: 2404.36, response time: 366.30ms (95%), errors: 1.00, reconnects:  0.00
[  26s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 500, tps: 366.95, reads: 4240.42, writes: 1294.82, response time: 5932.50ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 500, tps: 273.13, reads: 2974.28, writes: 990.35, response time: 7909.86ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 500, tps: 1392.65, reads: 20930.80, writes: 5693.58, response time: 2258.00ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 500, tps: 474.12, reads: 6745.69, writes: 1945.49, response time: 1150.01ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 500, tps: 1182.98, reads: 16406.65, writes: 4758.90, response time: 1177.53ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 500, tps: 207.98, reads: 2568.74, writes: 753.92, response time: 1631.82ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 500, tps: 937.12, reads: 14325.86, writes: 3824.50, response time: 1654.44ms (95%), errors: 1.00, reconnects:  0.00
[  38s] threads: 500, tps: 1038.98, reads: 15431.72, writes: 4363.92, response time: 1042.15ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 500, tps: 0.00, reads: 18.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 500, tps: 0.00, reads: 1.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 500, tps: 1577.78, reads: 21171.05, writes: 6069.15, response time: 3709.08ms (95%), errors: 1.00, reconnects:  0.00
[  43s] threads: 500, tps: 936.02, reads: 13020.32, writes: 3823.09, response time: 875.79ms (95%), errors: 2.00, reconnects:  0.00
[  44s] threads: 500, tps: 58.89, reads: 277.50, writes: 184.66, response time: 1009.00ms (95%), errors: 1.00, reconnects:  0.00
[  45s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 500, tps: 310.96, reads: 5426.31, writes: 1289.84, response time: 3756.00ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 500, tps: 2439.95, reads: 32654.31, writes: 9655.80, response time: 3057.84ms (95%), errors: 3.00, reconnects:  0.00
[  48s] threads: 500, tps: 1121.02, reads: 15472.24, writes: 4421.07, response time: 736.20ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 500, tps: 264.00, reads: 5746.98, writes: 1163.00, response time: 1277.03ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 500, tps: 520.08, reads: 6461.96, writes: 2140.32, response time: 1325.72ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 500, tps: 1560.02, reads: 20970.30, writes: 6108.09, response time: 1328.10ms (95%), errors: 1.00, reconnects:  0.00
[  52s] threads: 500, tps: 882.76, reads: 14093.15, writes: 3568.03, response time: 802.73ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 500, tps: 590.06, reads: 7678.81, writes: 2326.24, response time: 1305.63ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 500, tps: 768.01, reads: 9633.16, writes: 3105.05, response time: 1002.67ms (95%), errors: 2.00, reconnects:  0.00
[  55s] threads: 500, tps: 1178.87, reads: 16918.10, writes: 4746.47, response time: 965.85ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 500, tps: 485.05, reads: 7467.72, writes: 2023.20, response time: 1265.23ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 500, tps: 257.84, reads: 3243.94, writes: 912.42, response time: 4284.76ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 500, tps: 1557.75, reads: 22034.57, writes: 6310.03, response time: 3380.38ms (95%), errors: 2.00, reconnects:  0.00
[  61s] threads: 500, tps: 459.05, reads: 5826.61, writes: 1798.19, response time: 651.37ms (95%), errors: 1.00, reconnects:  0.00
[  62s] threads: 500, tps: 790.05, reads: 11218.64, writes: 3107.18, response time: 1664.38ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 500, tps: 979.99, reads: 14448.86, writes: 4114.96, response time: 777.19ms (95%), errors: 1.00, reconnects:  0.00
[  64s] threads: 500, tps: 528.01, reads: 5441.09, writes: 1843.03, response time: 1273.59ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 500, tps: 1259.76, reads: 19038.31, writes: 5173.00, response time: 1226.82ms (95%), errors: 1.00, reconnects:  0.00
[  66s] threads: 500, tps: 931.81, reads: 15646.86, writes: 3544.29, response time: 785.61ms (95%), errors: 3.00, reconnects:  0.00
[  67s] threads: 500, tps: 394.08, reads: 2761.54, writes: 1756.34, response time: 711.72ms (95%), errors: 3.00, reconnects:  0.00
[  68s] threads: 500, tps: 905.16, reads: 13773.41, writes: 3769.66, response time: 1427.02ms (95%), errors: 1.00, reconnects:  0.00
[  69s] threads: 500, tps: 55.00, reads: 1108.03, writes: 302.01, response time: 1810.98ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 500, tps: 1131.00, reads: 17526.94, writes: 4632.98, response time: 1861.54ms (95%), errors: 1.00, reconnects:  0.00
[  71s] threads: 500, tps: 0.00, reads: 23.00, writes: 62.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 500, tps: 983.83, reads: 10664.14, writes: 3565.38, response time: 3085.42ms (95%), errors: 1.00, reconnects:  0.00
[  74s] threads: 500, tps: 962.05, reads: 13192.65, writes: 3773.19, response time: 791.51ms (95%), errors: 1.00, reconnects:  0.00
[  75s] threads: 500, tps: 396.06, reads: 7310.15, writes: 1768.28, response time: 862.78ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 500, tps: 886.88, reads: 11879.34, writes: 3480.51, response time: 1663.88ms (95%), errors: 1.00, reconnects:  0.00
[  77s] threads: 500, tps: 1226.98, reads: 15765.81, writes: 4787.94, response time: 635.77ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 500, tps: 1061.19, reads: 15065.72, writes: 4276.77, response time: 811.91ms (95%), errors: 1.00, reconnects:  0.00
[  79s] threads: 500, tps: 704.00, reads: 11362.99, writes: 3004.00, response time: 1019.32ms (95%), errors: 1.00, reconnects:  0.00
[  80s] threads: 500, tps: 351.16, reads: 4498.01, writes: 1323.60, response time: 999.98ms (95%), errors: 0.93, reconnects:  0.00
[  81s] threads: 500, tps: 74.47, reads: 2690.46, writes: 338.87, response time: 2049.29ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 500, tps: 24.00, reads: 473.01, writes: 95.00, response time: 13712.33ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 500, tps: 31.01, reads: 564.21, writes: 115.04, response time: 15812.19ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 500, tps: 4.00, reads: 296.99, writes: 34.00, response time: 16444.56ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 500, tps: 118.04, reads: 729.28, writes: 392.15, response time: 18591.85ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 500, tps: 304.88, reads: 1259.51, writes: 1030.60, response time: 23327.26ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 500, tps: 440.18, reads: 9167.82, writes: 2223.93, response time: 25298.46ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 500, tps: 61.00, reads: 49.00, writes: 43.00, response time: 7993.17ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 500, tps: 494.93, reads: 7504.97, writes: 2010.72, response time: 9242.08ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 500, tps: 192.95, reads: 387.91, writes: 535.87, response time: 2702.24ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 500, tps: 4.00, reads: 11.00, writes: 10.00, response time: 16234.25ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 500, tps: 0.00, reads: 249.11, writes: 11.02, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 500, tps: 56.82, reads: 5194.02, writes: 378.23, response time: 25687.63ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 500, tps: 225.00, reads: 1561.99, writes: 889.00, response time: 32095.57ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 500, tps: 1151.74, reads: 13863.80, writes: 4475.22, response time: 30248.57ms (95%), errors: 2.99, reconnects:  0.00
[ 139s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 500, tps: 748.01, reads: 10674.11, writes: 3071.03, response time: 2381.57ms (95%), errors: 1.00, reconnects:  0.00
[ 141s] threads: 500, tps: 177.00, reads: 2942.00, writes: 713.00, response time: 2395.87ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 500, tps: 1710.94, reads: 22521.27, writes: 6702.78, response time: 1329.69ms (95%), errors: 2.00, reconnects:  0.00
[ 143s] threads: 500, tps: 204.95, reads: 3144.25, writes: 836.80, response time: 412.64ms (95%), errors: 0.00, reconnects:  0.00
[ 144s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 145s] threads: 500, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 146s] threads: 500, tps: 3.00, reads: 0.00, writes: 5.00, response time: 3974.62ms (95%), errors: 0.00, reconnects:  0.00
