sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 100
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 100, tps: 1260.86, reads: 17688.98, writes: 5043.43, response time: 160.00ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 100, tps: 1471.00, reads: 20661.02, writes: 5891.01, response time: 135.35ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 100, tps: 1711.00, reads: 24128.02, writes: 6837.01, response time: 114.94ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 100, tps: 2012.92, reads: 28265.92, writes: 8052.69, response time: 100.48ms (95%), errors: 1.00, reconnects:  0.00
[   5s] threads: 100, tps: 2138.08, reads: 29657.12, writes: 8559.32, response time: 94.42ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 100, tps: 2102.00, reads: 29401.03, writes: 8400.01, response time: 99.97ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 100, tps: 2318.99, reads: 32627.87, writes: 9275.96, response time: 93.18ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 100, tps: 2425.97, reads: 33843.56, writes: 9703.87, response time: 86.49ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 100, tps: 2494.04, reads: 34901.56, writes: 9983.16, response time: 85.79ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 100, tps: 2730.00, reads: 38362.97, writes: 10921.99, response time: 79.37ms (95%), errors: 2.00, reconnects:  0.00
[  11s] threads: 100, tps: 3015.00, reads: 42126.03, writes: 12057.01, response time: 75.68ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 100, tps: 3080.00, reads: 43259.01, writes: 12325.00, response time: 78.45ms (95%), errors: 4.00, reconnects:  0.00
[  13s] threads: 100, tps: 3222.99, reads: 45259.92, writes: 12898.98, response time: 73.47ms (95%), errors: 1.00, reconnects:  0.00
[  14s] threads: 100, tps: 3432.01, reads: 48044.09, writes: 13717.03, response time: 68.91ms (95%), errors: 1.00, reconnects:  0.00
[  15s] threads: 100, tps: 3704.00, reads: 51637.02, writes: 14818.01, response time: 68.95ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 100, tps: 3616.99, reads: 50750.90, writes: 14467.97, response time: 66.34ms (95%), errors: 1.00, reconnects:  0.00
[  17s] threads: 100, tps: 4102.00, reads: 57591.98, writes: 16401.99, response time: 62.19ms (95%), errors: 2.00, reconnects:  0.00
[  18s] threads: 100, tps: 4322.00, reads: 60483.02, writes: 17319.00, response time: 59.73ms (95%), errors: 2.00, reconnects:  0.00
[  19s] threads: 100, tps: 4256.01, reads: 59451.12, writes: 16993.03, response time: 58.22ms (95%), errors: 1.00, reconnects:  0.00
[  20s] threads: 100, tps: 4503.00, reads: 63168.97, writes: 18021.99, response time: 56.58ms (95%), errors: 2.00, reconnects:  0.00
[  21s] threads: 100, tps: 2520.00, reads: 35597.01, writes: 10074.00, response time: 85.72ms (95%), errors: 1.00, reconnects:  0.00
[  22s] threads: 100, tps: 4420.87, reads: 61504.18, writes: 17681.48, response time: 58.24ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 100, tps: 3951.05, reads: 55860.74, writes: 15806.21, response time: 67.56ms (95%), errors: 1.00, reconnects:  0.00
[  24s] threads: 100, tps: 4659.08, reads: 64796.04, writes: 18635.30, response time: 58.93ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 100, tps: 5175.98, reads: 72368.73, writes: 20708.92, response time: 50.70ms (95%), errors: 1.00, reconnects:  0.00
[  26s] threads: 100, tps: 5274.01, reads: 74034.12, writes: 21100.03, response time: 49.08ms (95%), errors: 2.00, reconnects:  0.00
[  27s] threads: 100, tps: 5170.89, reads: 72388.51, writes: 20678.58, response time: 49.88ms (95%), errors: 1.00, reconnects:  0.00
[  28s] threads: 100, tps: 5153.11, reads: 72181.51, writes: 20625.43, response time: 52.25ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 100, tps: 5176.01, reads: 72544.10, writes: 20696.03, response time: 52.06ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 100, tps: 5209.99, reads: 72864.85, writes: 20835.96, response time: 49.79ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 100, tps: 5050.00, reads: 70685.02, writes: 20201.01, response time: 53.19ms (95%), errors: 1.00, reconnects:  0.00
[  32s] threads: 100, tps: 4580.99, reads: 64193.81, writes: 18321.95, response time: 61.37ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 100, tps: 4591.02, reads: 64073.24, writes: 18361.07, response time: 58.00ms (95%), errors: 2.00, reconnects:  0.00
[  34s] threads: 100, tps: 5329.01, reads: 74640.17, writes: 21318.05, response time: 50.22ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 100, tps: 5278.99, reads: 74107.83, writes: 21113.95, response time: 49.88ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 100, tps: 5280.91, reads: 73998.71, writes: 21144.63, response time: 52.03ms (95%), errors: 1.00, reconnects:  0.00
[  37s] threads: 100, tps: 3584.07, reads: 50360.95, writes: 14335.27, response time: 102.31ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 100, tps: 5108.99, reads: 71173.83, writes: 20418.95, response time: 55.62ms (95%), errors: 3.00, reconnects:  0.00
[  39s] threads: 100, tps: 4853.00, reads: 68193.98, writes: 19431.99, response time: 59.58ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 100, tps: 5556.00, reads: 77603.03, writes: 22203.01, response time: 49.59ms (95%), errors: 3.00, reconnects:  0.00
[  41s] threads: 100, tps: 5387.84, reads: 75586.69, writes: 21554.34, response time: 50.49ms (95%), errors: 1.00, reconnects:  0.00
[  42s] threads: 100, tps: 5925.18, reads: 82974.59, writes: 23700.74, response time: 46.16ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 100, tps: 5631.01, reads: 78891.10, writes: 22521.03, response time: 50.89ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 100, tps: 5636.00, reads: 78720.95, writes: 22543.99, response time: 49.92ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 100, tps: 5849.01, reads: 82001.11, writes: 23397.03, response time: 48.35ms (95%), errors: 2.00, reconnects:  0.00
[  46s] threads: 100, tps: 6240.96, reads: 87576.40, writes: 25001.83, response time: 46.22ms (95%), errors: 3.00, reconnects:  0.00
[  47s] threads: 100, tps: 5716.89, reads: 79898.43, writes: 22831.55, response time: 44.17ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 100, tps: 5811.15, reads: 81306.06, writes: 23260.59, response time: 47.27ms (95%), errors: 1.00, reconnects:  0.00
[  49s] threads: 100, tps: 6203.99, reads: 86919.90, writes: 24823.97, response time: 42.05ms (95%), errors: 1.00, reconnects:  0.00
[  50s] threads: 100, tps: 6211.00, reads: 86873.94, writes: 24829.98, response time: 43.60ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 100, tps: 5966.00, reads: 83534.06, writes: 23891.02, response time: 48.61ms (95%), errors: 1.00, reconnects:  0.00
[  52s] threads: 100, tps: 5918.01, reads: 82691.08, writes: 23641.02, response time: 46.42ms (95%), errors: 1.00, reconnects:  0.00
[  53s] threads: 100, tps: 5948.99, reads: 83608.87, writes: 23794.96, response time: 48.30ms (95%), errors: 2.00, reconnects:  0.00
[  54s] threads: 100, tps: 6442.01, reads: 90279.10, writes: 25786.03, response time: 43.87ms (95%), errors: 2.00, reconnects:  0.00
[  55s] threads: 100, tps: 6768.97, reads: 94629.58, writes: 27079.88, response time: 41.79ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 100, tps: 6615.01, reads: 92685.20, writes: 26443.06, response time: 43.20ms (95%), errors: 2.00, reconnects:  0.00
[  57s] threads: 100, tps: 5533.00, reads: 77434.03, writes: 22135.01, response time: 55.12ms (95%), errors: 2.00, reconnects:  0.00
[  58s] threads: 100, tps: 6004.63, reads: 84200.84, writes: 24018.53, response time: 44.70ms (95%), errors: 1.00, reconnects:  0.00
[  59s] threads: 100, tps: 4980.23, reads: 69684.26, writes: 19918.93, response time: 58.49ms (95%), errors: 1.00, reconnects:  0.00
[  60s] threads: 100, tps: 5904.09, reads: 82709.32, writes: 23622.38, response time: 46.78ms (95%), errors: 2.00, reconnects:  0.00
[  61s] threads: 100, tps: 6565.98, reads: 91813.71, writes: 26267.92, response time: 40.48ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 100, tps: 6382.01, reads: 89372.18, writes: 25517.05, response time: 42.28ms (95%), errors: 3.00, reconnects:  0.00
[  63s] threads: 100, tps: 6066.82, reads: 85037.42, writes: 24295.26, response time: 45.12ms (95%), errors: 1.00, reconnects:  0.00
[  64s] threads: 100, tps: 6161.14, reads: 86256.93, writes: 24620.55, response time: 44.08ms (95%), errors: 1.00, reconnects:  0.00
[  65s] threads: 100, tps: 6577.06, reads: 92295.88, writes: 26322.25, response time: 42.31ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 100, tps: 6611.01, reads: 92273.11, writes: 26428.03, response time: 43.32ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 100, tps: 6349.97, reads: 89073.54, writes: 25399.87, response time: 43.60ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 100, tps: 6694.01, reads: 93688.12, writes: 26781.03, response time: 41.40ms (95%), errors: 2.00, reconnects:  0.00
[  69s] threads: 100, tps: 6439.02, reads: 90147.33, writes: 25802.10, response time: 43.19ms (95%), errors: 1.00, reconnects:  0.00
[  70s] threads: 100, tps: 6142.96, reads: 86240.42, writes: 24548.84, response time: 39.95ms (95%), errors: 1.00, reconnects:  0.00
