sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 70
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 70, tps: 0.00, reads: 0.00, writes: 0.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 70, tps: 145.00, reads: 2030.05, writes: 580.01, response time: 1877.77ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 70, tps: 1226.00, reads: 17356.99, writes: 4909.00, response time: 81.64ms (95%), errors: 1.00, reconnects:  0.00
[   4s] threads: 70, tps: 1339.00, reads: 18668.00, writes: 5356.00, response time: 90.25ms (95%), errors: 2.00, reconnects:  0.00
[   5s] threads: 70, tps: 1381.00, reads: 19616.01, writes: 5555.00, response time: 81.93ms (95%), errors: 2.00, reconnects:  0.00
[   6s] threads: 70, tps: 1653.00, reads: 22856.99, writes: 6582.00, response time: 70.75ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 70, tps: 1688.00, reads: 23953.98, writes: 6762.99, response time: 75.70ms (95%), errors: 1.00, reconnects:  0.00
[   8s] threads: 70, tps: 1862.00, reads: 25754.01, writes: 7431.00, response time: 71.20ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 70, tps: 1845.00, reads: 26068.97, writes: 7388.99, response time: 68.73ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 70, tps: 2242.00, reads: 31226.06, writes: 8967.02, response time: 56.71ms (95%), errors: 1.00, reconnects:  0.00
[  11s] threads: 70, tps: 2120.99, reads: 29767.85, writes: 8484.96, response time: 59.67ms (95%), errors: 1.00, reconnects:  0.00
[  12s] threads: 70, tps: 2462.00, reads: 34378.05, writes: 9844.02, response time: 53.16ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 70, tps: 2779.01, reads: 39328.12, writes: 11165.03, response time: 49.56ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 70, tps: 2900.00, reads: 40433.00, writes: 11573.00, response time: 47.12ms (95%), errors: 4.00, reconnects:  0.00
[  15s] threads: 70, tps: 3272.93, reads: 46144.98, writes: 13146.71, response time: 39.87ms (95%), errors: 3.00, reconnects:  0.00
[  16s] threads: 70, tps: 3233.07, reads: 44807.95, writes: 12862.27, response time: 41.18ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 70, tps: 3434.00, reads: 48293.03, writes: 13734.01, response time: 38.78ms (95%), errors: 2.00, reconnects:  0.00
[  18s] threads: 70, tps: 3390.00, reads: 47617.03, writes: 13608.01, response time: 41.86ms (95%), errors: 1.00, reconnects:  0.00
[  19s] threads: 70, tps: 3424.00, reads: 47736.99, writes: 13658.00, response time: 42.36ms (95%), errors: 1.00, reconnects:  0.00
[  20s] threads: 70, tps: 3557.00, reads: 49757.97, writes: 14215.99, response time: 40.00ms (95%), errors: 1.00, reconnects:  0.00
[  21s] threads: 70, tps: 3291.00, reads: 46250.05, writes: 13173.01, response time: 41.21ms (95%), errors: 2.00, reconnects:  0.00
[  22s] threads: 70, tps: 2812.00, reads: 39462.94, writes: 11284.98, response time: 47.10ms (95%), errors: 1.00, reconnects:  0.00
[  23s] threads: 70, tps: 3031.00, reads: 42353.04, writes: 12105.01, response time: 46.00ms (95%), errors: 2.00, reconnects:  0.00
[  24s] threads: 70, tps: 2932.00, reads: 41188.01, writes: 11716.00, response time: 45.85ms (95%), errors: 1.00, reconnects:  0.00
[  25s] threads: 70, tps: 2972.99, reads: 41825.93, writes: 11894.98, response time: 44.46ms (95%), errors: 1.00, reconnects:  0.00
[  26s] threads: 70, tps: 3055.01, reads: 42496.10, writes: 12233.03, response time: 44.82ms (95%), errors: 3.00, reconnects:  0.00
[  27s] threads: 70, tps: 3057.99, reads: 42853.85, writes: 12211.96, response time: 43.05ms (95%), errors: 1.00, reconnects:  0.00
[  28s] threads: 70, tps: 3142.01, reads: 43872.14, writes: 12561.04, response time: 44.94ms (95%), errors: 2.00, reconnects:  0.00
[  29s] threads: 70, tps: 3210.00, reads: 45153.99, writes: 12855.00, response time: 43.55ms (95%), errors: 2.00, reconnects:  0.00
