procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  1 382016 521276 2886232 41204036    7   23  1381   788    1    2  2  1 96  1  0
 6  0 382016 399028 2886232 41143324    0    0 110884 90835 185213 388478 19  7 71  3  0
 2  4 382016 384708 2886232 41018636    0    0 123296 97420 198144 526293 25  9 62  3  0
 4  3 382016 395068 2886232 40866252    0    0 119432 97064 194647 513451 23  9 65  3  0
45  1 382016 397704 2886240 40723856    0    0 111996 97568 178972 499781 23  8 66  3  0
25  5 382016 398552 2886244 40618004    0    0 85304 90876 129522 398932 17  7 72  3  0
19  0 382016 400096 2886244 40487904    0    0 99320 97000 152657 482661 22  7 67  3  0
39  0 382016 387892 2886244 40390184    0    0 88028 96364 139781 457931 21  7 69  3  0
30  2 382016 398300 2886244 40253304    0    0 99112 98624 160820 515776 24  8 65  3  0
 6  0 382016 386400 2886252 40129360    0    0 100048 99940 143378 535257 25  9 64  3  0
20  0 382016 392932 2886252 40001000    0    0 91376 98292 140621 520092 25  9 64  3  0
11  1 382016 382388 2886252 39880368    0    0 101668 99760 131111 543095 26  9 62  3  0
31  2 382016 392032 2886252 39748008    0    0 99528 99532 131809 541969 26  9 62  3  0
 2  0 382016 384900 2886252 39647976    0    0 87616 96328 187608 492733 23  8 66  3  0
22  1 382016 373304 2886260 39562716    0    0 77960 93612 213950 466630 20  8 70  2  0
21  2 382016 390316 2886260 39454820    0    0 67312 100326 251623 445652 20  7 70  3  0
 1  0 382016 391000 2886260 39343644    0    0 83300 98280 342579 550458 24  9 64  2  0
40  6 382016 403216 2886260 39225752    0    0 86096 98184 301631 544061 25  9 63  2  0
44  1 382016 391004 2886260 39133408    0    0 87312 98328 154379 555023 24  9 64  2  0
55  2 382016 402616 2886268 39015336    0    0 86852 99148 121141 562859 28  9 61  3  0
23  0 382016 400884 2886272 38910124    0    0 86036 174482 130658 568328 29  9 60  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 382016 394256 2886272 38806288    0    0 91456 97036 115315 601974 29  9 59  3  0
63  1 382016 394840 2886272 38699300    0    0 96984 98464 82848 621028 31 10 57  2  0
52  2 382016 390684 2886272 38595000    0    0 95264 99404 75229 622270 32 10 56  3  0
 3  0 382016 398424 2886316 38480880    0    0 92696 98340 70115 609809 31  9 57  2  0
 2  3 382016 393728 2886316 38380888    0    0 93800 100140 78585 627775 32 10 56  2  0
 2  0 382016 391460 2886316 38369964    0    0  9292 72112 14120 68342  7  1 92  0  0
 2  0 382016 386112 2886316 38369924    0    0     0 34532 3005 3580  4  0 96  0  0
 2  0 382016 396572 2886316 38362820    0    0     0 34472 3315 3801  4  0 96  0  0
 2  0 382016 398836 2886324 38362808    0    0     0 68744 4890 6634  4  0 96  0  0
 2  0 382016 397192 2886324 38362716    0    0     0 34456 3046 3781  4  0 96  0  0
 2  0 382016 396276 2886324 38362644    0    0     0 34444 3286 3861  4  0 96  0  0
 2  0 382016 395152 2886324 38362684    0    0     0 34400 3003 3825  4  0 96  0  0
 4  0 382016 394528 2886324 38362804    0    0     0 34488 3100 3797  4  0 96  0  0
47  5 382016 378804 2886332 38363040    0    0 25928 42460 17417 158071 12  2 85  1  0
 8  2 382016 380820 2886332 38250540    0    0 115356 104980 117398 695783 37 11 49  3  0
23  3 382016 397088 2886332 38123844    0    0 122668 108640 77055 735518 39 12 46  4  0
43  1 382016 403768 2886332 38007380    4    0 120780 109428 68470 743398 39 12 46  3  0
58  5 382016 385920 2886332 37916484    0    0 122956 111760 71588 778843 38 12 45  4  0
46  4 382016 349640 2886344 37833228    0    0 128596 112812 81467 805881 41 12 43  4  0
 1  0 382016 365316 2886348 37738796    0    0 93584 111236 80786 592136 29 11 58  3  0
35  6 382016 376948 2886348 37647884    0    0 87892 95956 70329 541103 27 10 61  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0 382016 369272 2886348 37570420    0    0 92504 99208 75936 594538 29 11 57  3  0
67  2 382016 371844 2886348 37480104    0    0 93980 101096 66755 584343 28 10 58  3  0
61  5 382016 368804 2886356 37403040    0    0 91404 101028 64742 558656 28 11 59  3  0
12  4 382016 368304 2886364 37327432    0    0 84532 153479 61045 525136 26 10 61  3  0
 5  0 382016 370916 2886364 37243488    0    0 89468 99751 58707 540400 27 10 61  2  0
44  5 382016 372476 2886364 37175572    0    0 73832 94900 47549 466159 23  9 66  2  0
 1  0 382016 395044 2886364 37089916    0    0 49116 696056 81734 350724 17  6 75  2  0
 2  0 382016 471940 2886372 37066280    0    0 79516 282587 112751 413699 22  9 66  3  0
 0  1 382016 425452 2886372 37065552    0    0 20332 92347 14395 31000  1  2 97  0  0
 1  0 382012 390224 2886372 37022600    0    0 56384 86112 45713 397200 19  7 72  1  0
27  3 382012 364092 2886372 36983272    0    0 61312 87688 51587 424408 20  8 70  2  0
 1  0 382012 355572 2886372 36935812    0    0 47712 84308 60897 344704 17  7 75  2  0
54 13 382012 377048 2886380 36866684    0    0 45688 457496 89077 368633 15  6 76  2  0
 3  0 382012 367448 2886380 36809092    0    0 71388 360876 78055 518869 26  8 62  3  0
 1  0 382012 372084 2886380 36755436    0    0 54280 86928 45955 378428 19  7 72  2  0
 1  0 382012 371592 2886380 36702828    0    0 55412 88052 63826 406100 19  8 72  2  0
 5  0 382012 369644 2886380 36655368    0    0 56156 88026 66291 394960 19  8 72  2  0
13  1 382012 357380 2886388 36603844    0    0 59280 90496 126881 410805 19  8 71  2  0
69  8 382012 368608 2886388 36537876    0    0 51712 100703 286356 386159 18  8 73  2  0
 1  0 382012 400552 2886388 36474536    0    0 39004 510127 314986 332115 13  7 78  2  0
 1  0 382012 367528 2886388 36435064    0    0 58336 91488 295183 450396 20  8 70  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  3 382012 369332 2886388 36391048    0    0 57648 89192 319422 403214 20  8 71  2  0
 3  0 382012 375376 2886396 36340900    0    0 43956 87952 280873 328332 16  7 75  2  0
 1  0 382012 386580 2886396 36283980    0    0 56424 130767 371523 426468 19  8 71  2  0
 1  0 382012 362244 2886396 36252268    0    0 51840 90287 276821 385204 18  7 73  1  0
62  1 382012 369132 2886396 36210304    0    0 43476 86892 180304 311693 14  7 77  2  0
79  0 382012 366700 2886396 36168256    0    0 47860 89252 177096 370180 18  7 74  1  0
25  5 382012 367784 2886404 36116224    0    0 51528 88092 138180 361526 16  7 75  2  0
25  9 382012 350572 2886404 36077612    0    0 47856 341728 239903 362502 16  7 74  3  0
 1  0 382012 371124 2886404 36023788    0    0 45832 90048 148077 320235 16  6 77  1  0
 1  0 382012 372696 2886404 35986220    0    0 35820 84628 120252 264814 12  6 81  1  0
 1  0 382012 370440 2886404 35980472    0    0     0 69176 5764 7182  2  0 98  0  0
 1  0 382012 370232 2886412 35974612    0    0     0 70948 4985 7204  2  0 98  0  0
 1  0 382012 370788 2886412 35970148    0    0     0 34608 2942 3439  2  0 98  0  0
 1  0 382012 371656 2886412 35968256    0    0     0 34640 2837 3810  2  0 98  0  0
 1  0 382012 375788 2886412 35964892    0    0 17372 42620 69823 134874  8  3 89  0  0
12  0 382012 366776 2886412 35882864    0    0 98944 105208 226998 664373 32 11 54  3  0
 2  0 382012 362992 2886420 35809356    0    0 89288 103661 210385 623373 32 11 54  3  0
66  6 382012 363140 2886424 35715076    0    0 103904 114698 199770 687483 35 13 49  3  0
36  2 382012 365304 2886424 35618452    0    0 103948 104675 205938 655129 34 12 50  3  0
57  6 382012 371496 2886424 35539632    0    0 85868 98404 162354 563958 29 10 59  2  0
 2  0 382012 368356 2886424 35475500    0    0 77852 390096 244791 564899 28 11 58  4  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
87  1 382012 368972 2886436 35397296    0    0 92772 103391 203398 623477 34 11 53  3  0
47  2 382012 370280 2886440 35314504    0    0 90772 168014 193554 639251 33 11 53  3  0
 4  3 382012 366640 2886440 35233424    0    0 92328 100311 180853 616896 33 11 54  3  0
22  3 382012 371100 2886440 35166652    0    0 79604 361576 245935 556550 29 11 57  3  0
 3  0 382012 363996 2886440 35087392    0    0 85440 98396 154555 584258 31 11 56  2  0
42  3 382012 360988 2886448 35046916    0    0 50824 85611 103077 333471 18  7 74  1  0
 4  0 382012 368772 2886448 34996784    0    0 49256 87481 108900 359359 19  7 72  1  0
 3  1 382012 368972 2886448 34954568    0    0 43588 83188 93801 284082 16  7 76  2  0
17  2 382012 360852 2886448 34907152    0    0 59084 88688 119879 394969 22  8 69  2  0
 2  0 382012 374156 2886448 34850596    0    0 52872 87260 115466 368985 20  7 71  2  0
 2  0 382012 369288 2886456 34805804    0    0 50128 90220 98319 365248 19  7 73  1  0
 1  0 382012 371448 2886456 34750144    0    0 54716 89808 119601 405932 19  8 71  2  0
 1  0 382012 353744 2886456 34736392    0    0 33072 749052 155934 291967 10  6 82  2  0
50  1 382012 371892 2886456 34675856    0    0 50120 245068 177663 356362 17  7 73  3  0
 9  0 382012 368668 2886456 34622512    0    0 58472 90500 122987 409998 19  9 70  2  0
 5  0 382012 354648 2886464 34540692    0    0 101224 161941 186657 685618 34 11 52  3  0
44  4 382012 356404 2886464 34493548    0    0 65492 683050 87813 497267 23  8 65  3  0
32  1 382012 357544 2886464 34425436    0    0 78272 95173 51344 515707 26  9 63  2  0
 2  0 382012 360816 2886464 34344116    0    0 77812 95372 57399 510332 24  9 64  2  0
25  6 382012 368464 2886464 34316744    0    0 23428 496460 89519 207622  9  5 85  1  0
71  3 382012 360432 2886472 34267472    0    0 60436 132908 90109 428624 20  8 70  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 382012 362376 2886472 34220948    0    0 52060 87176 68448 358660 17  8 74  2  0
 1  1 382012 429452 2886476 34178768    0    0 51012 128186 100226 312789 15  6 78  1  0
 1  0 382012 393256 2886476 34189428    0    0 26960 68704 16084 14645  1  1 98  1  0
22  1 382012 369792 2886476 34146232    0    0 51540 85064 177087 371989 16  7 75  2  0
33  0 382012 349092 2886484 34084956    0    0 78020 96604 118955 534593 25  9 63  3  0
 4  1 382012 371212 2886484 33972272    0    0 74824 97828 138993 531194 24  8 65  2  0
 5  1 382012 362456 2886484 33910252    0    0 63804 278156 125740 496298 22  8 68  2  0
 5  0 382012 363260 2886484 33862132    0    0 47936 166984 105810 343509 15  7 76  2  0
53  1 382012 367224 2886484 33813940    0    0 44076 86660 64015 328125 15  7 77  1  0
 2  0 382012 354784 2886496 33779536    0    0 43532 86048 58717 305289 14  6 78  1  0
44  3 382012 370060 2886496 33712720    0    0 45440 108008 63754 332170 14  6 78  1  0
104  9 382012 363928 2886496 33660088    0    0 47228 84752 47133 336325 15  6 78  1  0
