
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  0.5 sda       289.0    16.0     4.5     0%    8.2    28.5     0.0     0.0     0.0     0%    0.0     0.0 100%     12   289.0   30.7   3.4
  0.5 sda1      289.0    16.0     4.5     0%    8.2    28.5     0.0     0.0     0.0     0%    0.0     0.0 100%     12   289.0   30.7   3.4
  0.5 sdb        34.5    10.2     0.3     0%    0.0     0.2     0.0     0.0     0.0     0%    0.0     0.0   1%      0    34.5    0.0   0.2
  0.5 sdb2       34.5    10.2     0.3     0%    0.0     0.2     0.0     0.0     0.0     0%    0.0     0.0   1%      0    34.5    0.0   0.2
  0.5 sdc        36.4     4.0     0.1     0%    0.0     0.8     0.0     0.0     0.0     0%    0.0     0.0   1%      0    36.4    0.6   0.2
  0.5 sdc2       36.4     4.0     0.1     0%    0.0     0.8     0.0     0.0     0.0     0%    0.0     0.0   1%      0    36.4    0.6   0.2
  0.5 md1        70.8     7.0     0.5     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0    70.8    0.0   0.0

  1.0 sda       362.0    16.0     5.7     0%   14.9    41.1    11.0     8.0     0.1    42%    0.4    20.0 100%     14   373.0   34.8   2.6
  1.0 sda1      362.0    16.0     5.7     0%   14.9    41.1    11.0     8.0     0.1    42%    0.4    20.0 100%     14   373.0   34.8   2.6
  1.0 sdb         2.0    28.0     0.1     0%    0.0     2.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   2.0
  1.0 sdb2        2.0    28.0     0.1     0%    0.0     2.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   2.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         2.0    28.0     0.1     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       256.0    16.0     4.0     0%   15.5    60.5    16.0     6.0     0.1    24%    0.9    41.7 100%     17   272.0   55.8   3.6
  1.0 sda1      256.0    16.0     4.0     0%   15.5    60.5    16.0     6.0     0.1    24%    0.9    41.7 100%     17   272.0   55.8   3.6
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       280.0    16.0     4.4     0%   15.6    55.8    14.0     9.1     0.1    26%    0.6    32.2 100%     15   294.0   51.5   3.3
  1.0 sda1      280.0    16.0     4.4     0%   15.6    55.8    14.0     9.1     0.1    26%    0.6    32.2 100%     15   294.0   51.5   3.3
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       288.0    15.9     4.5     0%   16.8    58.4    15.0     6.7     0.1    25%    0.8    41.2 100%     15   303.0   53.4   3.2
  1.0 sda1      288.0    15.9     4.5     0%   16.8    58.4    15.0     6.7     0.1    25%    0.8    41.2 100%     15   303.0   53.4   3.2
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     7.0     7.4     0.1    59%    0.0     1.2   2%      0     7.0    0.0   1.2
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     7.0     7.4     0.1    59%    0.0     1.2   2%      0     7.0    0.0   1.2
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0     7.4     0.1    59%    0.0     1.2   2%      0     7.0    0.0   1.2
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0     7.4     0.1    59%    0.0     1.2   2%      0     7.0    0.0   1.2
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0    12.0     4.0     0.0     0%    0.0     0.0   0%      0    12.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       231.0    15.8     3.6     0%   14.5    62.6    18.0     8.0     0.1    25%    0.8    35.0 100%     22   249.0   59.1   3.9
  1.0 sda1      231.0    15.8     3.6     0%   14.5    62.6    18.0     8.0     0.1    25%    0.8    35.0 100%     22   249.0   59.1   3.9
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       257.0    15.9     4.0     0%   16.6    64.5    13.0     5.8     0.1    24%    0.8    48.9 100%      6   270.0   58.5   3.6
  1.0 sda1      257.0    15.9     4.0     0%   16.6    64.5    13.0     5.8     0.1    24%    0.8    48.9 100%      6   270.0   58.5   3.6
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       221.0    15.9     3.4     0%   15.1    68.2    17.0     7.3     0.1    26%    0.8    32.9 100%     19   238.0   60.9   4.1
  1.0 sda1      221.0    15.9     3.4     0%   15.1    68.2    17.0     7.3     0.1    26%    0.8    32.9 100%     19   238.0   60.9   4.1
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
