
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  0.6 sda       266.8    16.0     4.2     0%    9.6    36.0     3.4    14.0     0.0    71%    0.0     0.0 100%     17   270.2   31.9   3.6
  0.6 sda1      266.8    16.0     4.2     0%    9.6    36.0     3.4    14.0     0.0    71%    0.0     0.0 100%     17   270.2   31.9   3.6
  0.6 sdb         6.8    33.0     0.2     0%    0.0     1.0     0.0     0.0     0.0     0%    0.0     0.0   1%      0     6.8    0.0   1.0
  0.6 sdb2        6.8    33.0     0.2     0%    0.0     1.0     0.0     0.0     0.0     0%    0.0     0.0   1%      0     6.8    0.0   1.0
  0.6 md1         6.8    33.0     0.2     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     6.8    0.0   0.0

  1.0 sda       325.0    16.0     5.1     0%   14.1    43.3    18.0     9.8     0.2    22%    0.7    31.1 100%     12   343.0   40.4   2.9
  1.0 sda1      325.0    16.0     5.1     0%   14.1    43.3    17.0    10.4     0.2    23%    0.7    30.9 100%     12   342.0   40.4   2.9
  1.0 sdb         2.0    28.0     0.1     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0
  1.0 sdb2        2.0    28.0     0.1     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0
  1.0 md1         2.0    28.0     0.1     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     2.0    0.0   0.0

  1.0 sda       270.0    16.1     4.2     0%   11.2    41.4    15.0     6.7     0.1    29%    0.7    31.2 100%     15   285.0   35.7   3.4
  1.0 sda1      270.0    16.1     4.2     0%   11.2    41.4    15.0     6.7     0.1    29%    0.7    31.2 100%     15   285.0   35.7   3.4
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       232.0    16.0     3.6     0%   18.7    80.7    18.0     6.2     0.1    25%    0.9    38.7 100%     16   250.0   73.4   3.9
  1.0 sda1      232.0    16.0     3.6     0%   18.7    80.7    18.0     6.2     0.1    25%    0.9    38.7 100%     16   250.0   73.4   3.9
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     1.0     1.0     0.0     0%    0.0     4.0   0%      0     1.0    0.0   4.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     1.0     1.0     0.0     0%    0.0     4.0   0%      0     1.0    0.0   4.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     1.0     1.0     0.0     0%    0.0     4.0   0%      0     1.0    0.0   4.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     1.0     1.0     0.0     0%    0.0     4.0   0%      0     1.0    0.0   4.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       298.0    16.0     4.7     0%   18.3    61.1    15.0     7.2     0.1    25%    0.8    38.4 100%     17   313.0   56.7   3.1
  1.0 sda1      298.0    16.0     4.7     0%   18.3    61.1    15.0     7.2     0.1    25%    0.8    38.4 100%     17   313.0   56.7   3.1
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       240.0    15.9     3.7     0%   15.4    63.7    18.0     6.9     0.1    25%    0.8    35.3 100%     26   258.0   61.9   3.8
  1.0 sda1      240.0    15.9     3.7     0%   15.4    63.7    18.0     6.9     0.1    25%    0.8    35.3 100%     26   258.0   61.9   3.8
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     6.0     6.5     0.0    54%    0.0     1.5   2%      0     6.0    0.0   1.5
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     6.0     6.5     0.0    54%    0.0     1.5   2%      0     6.0    0.0   1.5
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     6.0     6.5     0.0    54%    0.0     1.5   2%      0     6.0    0.0   1.5
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     6.0     6.5     0.0    54%    0.0     1.5   2%      0     6.0    0.0   1.5
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     9.0     4.0     0.0     0%    0.0     0.0   0%      0     9.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       261.0    15.9     4.1     0%   19.6    75.0    15.0     6.7     0.1    25%    0.8    42.0 100%     21   276.0   67.9   3.6
  1.0 sda1      261.0    15.9     4.1     0%   19.6    75.0    15.0     6.7     0.1    25%    0.8    42.0 100%     21   276.0   67.9   3.6
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       232.0    15.8     3.6     0%   15.5    67.0    19.0     5.9     0.1    24%    1.0    40.3 100%     33   251.0   60.3   3.9
  1.0 sda1      232.0    15.8     3.6     0%   15.5    67.0    19.0     5.9     0.1    24%    1.0    40.3 100%     33   251.0   60.3   3.9
  1.0 sdb       629.0     4.0     2.5     0%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      0   629.0    0.0   0.1
  1.0 sdb2      629.0     4.0     2.5     0%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      0   629.0    0.0   0.1
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1       629.0     4.0     2.5     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0   629.0    0.0   0.0

  1.0 sda       295.0    15.8     4.6     0%   17.8    60.2    21.0     6.7     0.1    25%    0.9    32.1 100%     11   316.0   52.0   3.1
  1.0 sda1      295.0    15.8     4.6     0%   17.8    60.2    21.0     6.7     0.1    25%    0.9    32.1 100%     11   316.0   52.0   3.1
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       257.0    15.9     4.0     0%   15.0    58.2    16.0     7.8     0.1    24%    0.7    33.7 100%     16   273.0   52.0   3.6
  1.0 sda1      257.0    15.9     4.0     0%   15.0    58.2    15.0     8.3     0.1    25%    0.6    30.8 100%     16   272.0   51.9   3.6
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
