
  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       391.0    16.0     6.1     0%   13.9    35.7     2.0    14.0     0.0    67%    0.0     0.0 100%     15   393.0   33.3   2.5
  1.0 sda1      391.0    16.0     6.1     0%   13.9    35.7     2.0    14.0     0.0    67%    0.0     0.0 100%     15   393.0   33.3   2.5
  1.0 sdb       636.0     4.2     2.6     0%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      0   636.0    0.0   0.1
  1.0 sdb2      636.0     4.2     2.6     0%    0.1     0.1     0.0     0.0     0.0     0%    0.0     0.0   6%      0   636.0    0.0   0.1
  1.0 sdc         1.0    16.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   0.0
  1.0 sdc2        1.0    16.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     1.0    0.0   0.0
  1.0 md1       637.0     4.3     2.6     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0   637.0    0.0   0.0

  1.0 sda       245.0    16.0     3.8     0%   17.6    71.9    18.0     6.2     0.1    25%    0.9    37.0 100%     15   263.0   64.1   3.7
  1.0 sda1      245.0    16.0     3.8     0%   17.6    71.9    18.0     6.2     0.1    25%    0.9    37.0 100%     15   263.0   64.1   3.7
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       279.0    16.0     4.4     0%   14.2    50.9    12.0     6.3     0.1    25%    0.6    38.8 100%     37   291.0   50.5   3.4
  1.0 sda1      279.0    16.0     4.4     0%   14.2    50.9    12.0     6.3     0.1    25%    0.6    38.8 100%     37   291.0   50.5   3.4
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       243.0    16.0     3.8     0%   17.9    73.6    15.0     6.1     0.1    25%    0.8    41.4 100%     17   258.0   64.9   3.8
  1.0 sda1      243.0    16.0     3.8     0%   17.9    73.6    15.0     6.1     0.1    25%    0.8    41.4 100%     17   258.0   64.9   3.8
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     7.0    10.3     0.1    68%    0.0     0.9   2%      0     7.0    0.0   0.9
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     7.0    10.3     0.1    68%    0.0     0.9   2%      0     7.0    0.0   0.9
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     7.0    10.3     0.1    68%    0.0     0.9   2%      0     7.0    0.0   0.9
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     7.0    10.3     0.1    68%    0.0     0.9   2%      0     7.0    0.0   0.9
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0    17.0     4.0     0.1     0%    0.0     0.0   0%      0    17.0    0.0   0.0

  1.0 sda       230.0    15.8     3.5     0%   17.7    76.9    15.0     8.5     0.1    25%    1.0    47.6 100%     15   245.0   70.3   4.0
  1.0 sda1      230.0    15.8     3.5     0%   17.7    76.9    15.0     8.5     0.1    25%    1.0    47.6 100%     15   245.0   70.3   4.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  #ts device     rd_s rd_avkb rd_mb_s rd_mrg rd_cnc   rd_rt    wr_s wr_avkb wr_mb_s wr_mrg wr_cnc   wr_rt busy in_prg    io_s  qtime stime
  1.0 sda       225.0    15.8     3.5     0%   18.8    83.4    18.0     7.8     0.1    25%    1.0    40.8 100%     17   243.0   74.7   4.0
  1.0 sda1      225.0    15.8     3.5     0%   18.8    83.4    18.0     7.8     0.1    25%    1.0    40.8 100%     17   243.0   74.7   4.0
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdc2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 md1         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0

  1.0 sda       282.0    15.9     4.4     0%   17.5    62.1    15.0     7.7     0.1    25%    0.8    38.8 100%     17   297.0   57.2   3.3
  1.0 sda1      282.0    15.9     4.4     0%   17.5    62.1    15.0     7.7     0.1    25%    0.8    38.8 100%     17   297.0   57.2   3.3
  1.0 sdb         0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
  1.0 sdb2        0.0     0.0     0.0     0%    0.0     0.0     0.0     0.0     0.0     0%    0.0     0.0   0%      0     0.0    0.0   0.0
