sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 0.00, reads: 173.97, writes: 7.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 8.00, reads: 97.00, writes: 43.00, response time: 1954.62ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 9.00, reads: 115.00, writes: 27.00, response time: 2646.21ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 9.00, reads: 135.00, writes: 33.00, response time: 2569.71ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 7.00, reads: 93.99, writes: 36.00, response time: 2346.19ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 8.00, reads: 120.00, writes: 28.00, response time: 2942.01ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 10.00, reads: 121.00, writes: 39.00, response time: 2316.88ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 9.00, reads: 137.00, writes: 33.00, response time: 2490.94ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 10.00, reads: 121.00, writes: 42.00, response time: 2175.07ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 5.00, reads: 129.01, writes: 35.00, response time: 2000.80ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 12.00, reads: 121.99, writes: 37.00, response time: 2373.74ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 8.00, reads: 117.00, writes: 33.00, response time: 2849.28ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 11.00, reads: 134.00, writes: 40.00, response time: 2203.91ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 7.00, reads: 121.00, writes: 26.00, response time: 1799.63ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 9.00, reads: 147.00, writes: 49.00, response time: 2008.60ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 12.00, reads: 162.00, writes: 41.00, response time: 1983.50ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 7.00, reads: 105.00, writes: 37.00, response time: 2245.86ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 11.00, reads: 143.00, writes: 39.00, response time: 2027.93ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 11.00, reads: 143.00, writes: 44.00, response time: 1795.32ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 10.00, reads: 141.01, writes: 33.00, response time: 2065.30ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 16.00, reads: 152.00, writes: 54.00, response time: 2192.72ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 2.00, reads: 137.00, writes: 27.00, response time: 1055.65ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 3.00, reads: 32.00, writes: 29.00, response time: 1826.22ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 10.00, reads: 54.00, writes: 14.00, response time: 3181.08ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3.00, reads: 100.00, writes: 4.00, response time: 3492.49ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 1.00, reads: 70.00, writes: 29.00, response time: 3396.61ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 6.00, reads: 22.00, writes: 19.00, response time: 4250.27ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 6.00, reads: 45.00, writes: 16.00, response time: 5120.08ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 4.00, reads: 71.00, writes: 2.00, response time: 5263.05ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 0.00, reads: 51.00, writes: 16.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 3.00, reads: 31.00, writes: 21.00, response time: 3880.57ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 3.00, reads: 40.00, writes: 11.00, response time: 4662.15ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 6.00, reads: 49.00, writes: 5.00, response time: 5882.98ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 4.00, reads: 77.00, writes: 21.00, response time: 5856.63ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 1.00, reads: 39.00, writes: 4.00, response time: 4924.67ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 6.00, reads: 49.00, writes: 36.00, response time: 4952.76ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 6.00, reads: 83.00, writes: 9.00, response time: 4960.17ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 1.00, reads: 40.00, writes: 5.00, response time: 4286.04ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 2.00, reads: 54.00, writes: 27.00, response time: 4555.93ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 5.00, reads: 38.00, writes: 14.00, response time: 4219.84ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 6.00, reads: 68.00, writes: 17.00, response time: 4909.95ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 5.00, reads: 74.00, writes: 11.00, response time: 5499.81ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 2.00, reads: 51.00, writes: 15.00, response time: 3974.62ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 2.00, reads: 44.00, writes: 26.00, response time: 4590.15ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 8.00, reads: 52.00, writes: 13.00, response time: 4462.79ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 2.00, reads: 62.00, writes: 12.00, response time: 5197.29ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 3.00, reads: 68.00, writes: 16.00, response time: 4652.40ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 8.00, reads: 48.00, writes: 26.00, response time: 4089.27ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 2.00, reads: 52.00, writes: 6.00, response time: 3984.15ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 3.00, reads: 76.00, writes: 19.00, response time: 4429.52ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3.00, reads: 40.00, writes: 27.00, response time: 4551.84ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 8.00, reads: 64.00, writes: 8.00, response time: 4627.40ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 3.00, reads: 90.01, writes: 17.00, response time: 4473.49ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 1.00, reads: 31.00, writes: 11.00, response time: 4315.65ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 7.00, reads: 53.00, writes: 29.00, response time: 4366.33ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 5.00, reads: 66.00, writes: 9.00, response time: 4995.94ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 1.00, reads: 42.00, writes: 5.00, response time: 5021.43ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3.00, reads: 46.00, writes: 12.00, response time: 5411.62ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 3.00, reads: 50.00, writes: 28.00, response time: 3899.20ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 7.00, reads: 43.00, writes: 12.00, response time: 5842.62ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 3.00, reads: 63.00, writes: 13.00, response time: 5932.50ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 4.00, reads: 58.00, writes: 25.00, response time: 6242.20ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 6.00, reads: 76.00, writes: 14.00, response time: 4477.51ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 2.00, reads: 60.00, writes: 12.00, response time: 4806.70ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 4.00, reads: 48.00, writes: 18.00, response time: 4284.76ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 4.00, reads: 48.00, writes: 18.00, response time: 4610.80ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 8.00, reads: 68.00, writes: 14.00, response time: 4656.58ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 0.00, reads: 53.00, writes: 16.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 5.00, reads: 65.00, writes: 18.00, response time: 4063.65ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 2.00, reads: 52.00, writes: 19.00, response time: 5439.23ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 7.00, reads: 79.99, writes: 14.00, response time: 4946.83ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 3.00, reads: 71.00, writes: 39.00, response time: 4283.48ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 16.00, reads: 34.00, writes: 24.00, response time: 4645.44ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 1.00, reads: 152.99, writes: 12.00, response time: 808.27ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 2.00, reads: 61.00, writes: 5.00, response time: 1644.08ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 1.00, reads: 32.00, writes: 28.00, response time: 2386.57ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 6.00, reads: 29.00, writes: 20.00, response time: 3825.21ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 6.00, reads: 80.00, writes: 8.00, response time: 4762.30ms (95%), errors: 0.00, reconnects:  0.00
[  79s] threads: 16, tps: 3.00, reads: 66.00, writes: 13.00, response time: 4701.39ms (95%), errors: 0.00, reconnects:  0.00
[  80s] threads: 16, tps: 2.00, reads: 49.00, writes: 26.00, response time: 4269.39ms (95%), errors: 0.00, reconnects:  0.00
[  81s] threads: 16, tps: 7.00, reads: 50.00, writes: 12.00, response time: 4255.36ms (95%), errors: 0.00, reconnects:  0.00
[  82s] threads: 16, tps: 5.00, reads: 61.00, writes: 20.00, response time: 4769.43ms (95%), errors: 0.00, reconnects:  0.00
[  83s] threads: 16, tps: 4.00, reads: 74.99, writes: 8.00, response time: 4551.84ms (95%), errors: 0.00, reconnects:  0.00
[  84s] threads: 16, tps: 1.00, reads: 55.00, writes: 28.00, response time: 3484.14ms (95%), errors: 0.00, reconnects:  0.00
[  85s] threads: 16, tps: 7.00, reads: 66.00, writes: 18.00, response time: 4579.17ms (95%), errors: 0.00, reconnects:  0.00
[  86s] threads: 16, tps: 4.00, reads: 40.00, writes: 16.00, response time: 4473.49ms (95%), errors: 0.00, reconnects:  0.00
[  87s] threads: 16, tps: 2.00, reads: 41.00, writes: 7.00, response time: 3907.38ms (95%), errors: 0.00, reconnects:  0.00
[  88s] threads: 16, tps: 5.00, reads: 78.00, writes: 20.00, response time: 4667.74ms (95%), errors: 0.00, reconnects:  0.00
[  89s] threads: 16, tps: 2.00, reads: 36.00, writes: 9.00, response time: 4998.93ms (95%), errors: 0.00, reconnects:  0.00
[  90s] threads: 16, tps: 3.00, reads: 96.00, writes: 58.00, response time: 5146.21ms (95%), errors: 0.00, reconnects:  0.00
[  91s] threads: 16, tps: 16.00, reads: 138.00, writes: 4.00, response time: 5255.18ms (95%), errors: 0.00, reconnects:  0.00
[  92s] threads: 16, tps: 2.00, reads: 81.01, writes: 23.00, response time: 1357.44ms (95%), errors: 0.00, reconnects:  0.00
[  93s] threads: 16, tps: 5.00, reads: 55.00, writes: 23.00, response time: 2562.03ms (95%), errors: 0.00, reconnects:  0.00
[  94s] threads: 16, tps: 10.00, reads: 92.00, writes: 26.00, response time: 3438.55ms (95%), errors: 0.00, reconnects:  0.00
[  95s] threads: 16, tps: 2.00, reads: 61.00, writes: 12.00, response time: 2770.22ms (95%), errors: 0.00, reconnects:  0.00
[  96s] threads: 16, tps: 5.00, reads: 55.00, writes: 20.00, response time: 3667.12ms (95%), errors: 0.00, reconnects:  0.00
[  97s] threads: 16, tps: 3.00, reads: 67.00, writes: 28.00, response time: 4083.16ms (95%), errors: 0.00, reconnects:  0.00
[  98s] threads: 16, tps: 8.00, reads: 80.01, writes: 9.00, response time: 3760.50ms (95%), errors: 0.00, reconnects:  0.00
[  99s] threads: 16, tps: 0.00, reads: 50.00, writes: 23.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 16, tps: 7.00, reads: 41.00, writes: 10.00, response time: 4368.94ms (95%), errors: 0.00, reconnects:  0.00
[ 101s] threads: 16, tps: 2.00, reads: 75.00, writes: 22.00, response time: 2963.23ms (95%), errors: 0.00, reconnects:  0.00
[ 102s] threads: 16, tps: 6.00, reads: 63.00, writes: 13.00, response time: 5403.53ms (95%), errors: 0.00, reconnects:  0.00
[ 103s] threads: 16, tps: 3.00, reads: 43.00, writes: 15.00, response time: 3087.27ms (95%), errors: 0.00, reconnects:  0.00
[ 104s] threads: 16, tps: 4.00, reads: 53.00, writes: 13.00, response time: 6251.55ms (95%), errors: 0.00, reconnects:  0.00
[ 105s] threads: 16, tps: 3.00, reads: 79.00, writes: 25.00, response time: 4562.75ms (95%), errors: 0.00, reconnects:  0.00
[ 106s] threads: 16, tps: 8.00, reads: 53.00, writes: 14.00, response time: 5485.01ms (95%), errors: 0.00, reconnects:  0.00
[ 107s] threads: 16, tps: 2.00, reads: 72.99, writes: 24.00, response time: 3699.10ms (95%), errors: 0.00, reconnects:  0.00
[ 108s] threads: 16, tps: 1.00, reads: 25.00, writes: 8.00, response time: 4315.65ms (95%), errors: 0.00, reconnects:  0.00
[ 109s] threads: 16, tps: 7.00, reads: 72.01, writes: 16.00, response time: 4798.07ms (95%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 16, tps: 4.00, reads: 51.00, writes: 13.00, response time: 4524.67ms (95%), errors: 0.00, reconnects:  0.00
[ 111s] threads: 16, tps: 5.00, reads: 69.00, writes: 31.00, response time: 4998.93ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 16, tps: 5.00, reads: 56.00, writes: 5.00, response time: 4986.97ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 16, tps: 2.00, reads: 76.00, writes: 22.00, response time: 4018.89ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 16, tps: 6.00, reads: 63.00, writes: 25.00, response time: 4538.23ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 16, tps: 6.00, reads: 88.00, writes: 21.00, response time: 4263.01ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 16, tps: 7.00, reads: 79.00, writes: 22.00, response time: 5025.94ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 16, tps: 1.00, reads: 50.00, writes: 23.00, response time: 2700.63ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 16, tps: 8.00, reads: 73.00, writes: 11.00, response time: 3975.81ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 16, tps: 3.00, reads: 63.00, writes: 19.00, response time: 4017.69ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 16, tps: 4.00, reads: 42.00, writes: 22.00, response time: 4085.60ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 16, tps: 15.00, reads: 70.01, writes: 38.00, response time: 3930.85ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 16, tps: 1.00, reads: 159.99, writes: 8.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 16, tps: 3.00, reads: 53.00, writes: 18.00, response time: 2002.59ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 16, tps: 5.00, reads: 88.00, writes: 38.00, response time: 2709.53ms (95%), errors: 0.00, reconnects:  0.00
[ 125s] threads: 16, tps: 10.00, reads: 56.00, writes: 22.00, response time: 3968.68ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 16, tps: 3.00, reads: 85.00, writes: 8.00, response time: 3538.80ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 16, tps: 3.00, reads: 64.00, writes: 26.00, response time: 3571.79ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 16, tps: 7.00, reads: 67.00, writes: 28.00, response time: 3370.27ms (95%), errors: 0.00, reconnects:  0.00
[ 129s] threads: 16, tps: 6.00, reads: 89.00, writes: 16.00, response time: 3804.66ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 16, tps: 4.00, reads: 99.01, writes: 21.00, response time: 3537.74ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 16, tps: 6.00, reads: 75.99, writes: 36.00, response time: 2839.91ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 16, tps: 8.00, reads: 78.00, writes: 12.00, response time: 4084.38ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 16, tps: 2.00, reads: 57.00, writes: 7.00, response time: 3262.08ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 16, tps: 3.00, reads: 59.00, writes: 42.00, response time: 3294.47ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 16, tps: 10.00, reads: 86.00, writes: 14.00, response time: 4621.86ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 16, tps: 0.00, reads: 61.00, writes: 16.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 16, tps: 8.00, reads: 50.00, writes: 8.00, response time: 4691.55ms (95%), errors: 0.00, reconnects:  0.00
[ 138s] threads: 16, tps: 4.00, reads: 91.00, writes: 32.00, response time: 3596.46ms (95%), errors: 0.00, reconnects:  0.00
[ 139s] threads: 16, tps: 15.00, reads: 95.99, writes: 38.00, response time: 4340.27ms (95%), errors: 0.00, reconnects:  0.00
[ 140s] threads: 16, tps: 0.00, reads: 97.00, writes: 6.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[ 141s] threads: 16, tps: 3.00, reads: 69.00, writes: 35.00, response time: 2488.71ms (95%), errors: 0.00, reconnects:  0.00
[ 142s] threads: 16, tps: 9.00, reads: 105.00, writes: 21.00, response time: 2631.20ms (95%), errors: 0.00, reconnects:  0.00
