sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 1.00, reads: 156.99, writes: 16.00, response time: 775.10ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 8.00, reads: 110.00, writes: 32.00, response time: 1940.05ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 7.00, reads: 104.00, writes: 28.00, response time: 2905.26ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 9.00, reads: 130.99, writes: 33.00, response time: 3011.51ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 8.00, reads: 116.00, writes: 33.00, response time: 2606.90ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 11.00, reads: 116.00, writes: 40.00, response time: 2233.80ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 6.00, reads: 119.99, writes: 21.00, response time: 2444.41ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 8.00, reads: 117.00, writes: 45.00, response time: 2495.42ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 10.00, reads: 125.00, writes: 37.00, response time: 2453.21ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 7.00, reads: 121.01, writes: 29.00, response time: 2382.29ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 11.00, reads: 110.99, writes: 38.00, response time: 2097.07ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 8.00, reads: 145.00, writes: 32.00, response time: 1997.21ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 10.00, reads: 142.00, writes: 41.00, response time: 2277.68ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 6.00, reads: 119.01, writes: 24.00, response time: 2108.40ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 15.00, reads: 138.99, writes: 55.00, response time: 2232.46ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 6.00, reads: 139.00, writes: 42.00, response time: 1733.53ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 11.00, reads: 136.00, writes: 31.00, response time: 1952.28ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 12.00, reads: 148.01, writes: 51.00, response time: 1799.09ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 6.00, reads: 140.99, writes: 32.00, response time: 2110.93ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 10.00, reads: 135.01, writes: 40.00, response time: 2073.35ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 20.00, reads: 140.99, writes: 60.00, response time: 2233.13ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 2.00, reads: 167.00, writes: 26.00, response time: 860.97ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 10.00, reads: 55.00, writes: 34.00, response time: 2028.54ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 6.00, reads: 126.00, writes: 12.00, response time: 3007.01ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 1.00, reads: 47.00, writes: 20.00, response time: 2617.06ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4.00, reads: 41.00, writes: 30.00, response time: 3793.29ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 7.00, reads: 47.00, writes: 8.00, response time: 3832.09ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 3.00, reads: 79.00, writes: 10.00, response time: 4066.08ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 3.00, reads: 69.00, writes: 21.00, response time: 4458.78ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 4.00, reads: 41.00, writes: 17.00, response time: 3855.10ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 4.00, reads: 42.00, writes: 14.00, response time: 4430.84ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4.00, reads: 52.00, writes: 16.00, response time: 4918.77ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 4.00, reads: 74.00, writes: 14.00, response time: 4854.41ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 4.00, reads: 51.00, writes: 19.00, response time: 4594.27ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 5.00, reads: 53.00, writes: 13.00, response time: 5416.48ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 4.00, reads: 55.00, writes: 16.00, response time: 4271.95ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 4.00, reads: 47.00, writes: 10.00, response time: 4805.26ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 1.00, reads: 54.00, writes: 14.00, response time: 3873.61ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 4.00, reads: 61.00, writes: 24.00, response time: 4602.53ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 6.00, reads: 57.00, writes: 11.00, response time: 4759.45ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 1.00, reads: 39.00, writes: 16.00, response time: 6029.17ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 6.00, reads: 68.00, writes: 14.00, response time: 4678.93ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 4.00, reads: 50.00, writes: 11.00, response time: 5178.66ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 2.00, reads: 49.00, writes: 24.00, response time: 3966.30ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 5.00, reads: 52.00, writes: 10.00, response time: 5024.43ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 4.00, reads: 66.00, writes: 16.00, response time: 4768.01ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 4.00, reads: 40.00, writes: 21.00, response time: 4683.14ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 4.00, reads: 53.00, writes: 17.00, response time: 5177.11ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 7.00, reads: 76.00, writes: 18.00, response time: 5302.58ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 1.00, reads: 56.00, writes: 14.00, response time: 3985.35ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 4.00, reads: 46.00, writes: 6.00, response time: 4123.69ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 3.00, reads: 60.00, writes: 27.00, response time: 4895.27ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 6.00, reads: 65.00, writes: 17.00, response time: 5042.51ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 6.00, reads: 64.00, writes: 13.00, response time: 4852.96ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 3.00, reads: 56.00, writes: 21.00, response time: 4444.13ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 2.00, reads: 45.00, writes: 18.00, response time: 3495.63ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 6.00, reads: 76.00, writes: 12.00, response time: 4304.04ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 3.00, reads: 66.00, writes: 20.00, response time: 3923.79ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 8.00, reads: 59.00, writes: 28.00, response time: 4420.25ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 5.00, reads: 86.00, writes: 10.00, response time: 3743.65ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 2.00, reads: 49.00, writes: 8.00, response time: 4226.16ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 2.00, reads: 53.00, writes: 29.00, response time: 4187.13ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 7.00, reads: 51.00, writes: 25.00, response time: 4690.15ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 6.00, reads: 83.00, writes: 8.00, response time: 4837.01ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 2.00, reads: 60.00, writes: 6.00, response time: 3853.95ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 5.00, reads: 44.00, writes: 33.00, response time: 4022.50ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 6.00, reads: 65.00, writes: 20.00, response time: 4118.76ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 5.00, reads: 63.00, writes: 7.00, response time: 4612.18ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 0.00, reads: 65.00, writes: 27.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 10.00, reads: 67.00, writes: 15.00, response time: 4121.22ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 1.00, reads: 56.00, writes: 28.00, response time: 3765.01ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 7.00, reads: 84.00, writes: 9.00, response time: 3644.14ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 2.00, reads: 63.00, writes: 23.00, response time: 3141.34ms (95%), errors: 0.00, reconnects:  0.00
[  74s] threads: 16, tps: 7.00, reads: 80.00, writes: 11.00, response time: 4464.13ms (95%), errors: 0.00, reconnects:  0.00
[  75s] threads: 16, tps: 4.00, reads: 42.00, writes: 24.00, response time: 3867.82ms (95%), errors: 0.00, reconnects:  0.00
[  76s] threads: 16, tps: 2.00, reads: 47.00, writes: 18.00, response time: 3851.64ms (95%), errors: 0.00, reconnects:  0.00
[  77s] threads: 16, tps: 7.00, reads: 69.00, writes: 11.00, response time: 4597.02ms (95%), errors: 0.00, reconnects:  0.00
[  78s] threads: 16, tps: 3.00, reads: 74.00, writes: 22.00, response time: 3729.11ms (95%), errors: 0.00, reconnects:  0.00
