sysbench 1.0:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 16
Report intermediate results every 1 second(s)
Initializing random number generator from current time


Initializing worker threads...

Threads started!

[   1s] threads: 16, tps: 0.00, reads: 178.96, writes: 1.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[   2s] threads: 16, tps: 11.00, reads: 106.00, writes: 53.00, response time: 1596.55ms (95%), errors: 0.00, reconnects:  0.00
[   3s] threads: 16, tps: 5.00, reads: 136.00, writes: 33.00, response time: 2438.56ms (95%), errors: 0.00, reconnects:  0.00
[   4s] threads: 16, tps: 12.00, reads: 109.00, writes: 28.00, response time: 2283.15ms (95%), errors: 0.00, reconnects:  0.00
[   5s] threads: 16, tps: 5.00, reads: 98.00, writes: 26.00, response time: 3017.83ms (95%), errors: 0.00, reconnects:  0.00
[   6s] threads: 16, tps: 10.00, reads: 97.00, writes: 39.00, response time: 2229.12ms (95%), errors: 0.00, reconnects:  0.00
[   7s] threads: 16, tps: 5.00, reads: 124.00, writes: 33.00, response time: 2375.88ms (95%), errors: 0.00, reconnects:  0.00
[   8s] threads: 16, tps: 13.00, reads: 144.00, writes: 39.00, response time: 2109.03ms (95%), errors: 0.00, reconnects:  0.00
[   9s] threads: 16, tps: 8.00, reads: 126.00, writes: 29.00, response time: 1836.63ms (95%), errors: 0.00, reconnects:  0.00
[  10s] threads: 16, tps: 9.00, reads: 127.00, writes: 43.00, response time: 2422.56ms (95%), errors: 0.00, reconnects:  0.00
[  11s] threads: 16, tps: 8.00, reads: 112.00, writes: 32.00, response time: 1876.09ms (95%), errors: 0.00, reconnects:  0.00
[  12s] threads: 16, tps: 11.00, reads: 120.00, writes: 42.00, response time: 2218.47ms (95%), errors: 0.00, reconnects:  0.00
[  13s] threads: 16, tps: 8.00, reads: 148.00, writes: 28.00, response time: 2651.76ms (95%), errors: 0.00, reconnects:  0.00
[  14s] threads: 16, tps: 7.00, reads: 91.00, writes: 36.00, response time: 2211.18ms (95%), errors: 0.00, reconnects:  0.00
[  15s] threads: 16, tps: 10.00, reads: 137.00, writes: 30.00, response time: 2458.35ms (95%), errors: 0.00, reconnects:  0.00
[  16s] threads: 16, tps: 10.00, reads: 133.00, writes: 43.00, response time: 1994.82ms (95%), errors: 0.00, reconnects:  0.00
[  17s] threads: 16, tps: 7.00, reads: 136.00, writes: 36.00, response time: 2050.52ms (95%), errors: 0.00, reconnects:  0.00
[  18s] threads: 16, tps: 12.00, reads: 133.00, writes: 43.00, response time: 1905.52ms (95%), errors: 0.00, reconnects:  0.00
[  19s] threads: 16, tps: 8.00, reads: 117.00, writes: 27.00, response time: 1881.71ms (95%), errors: 0.00, reconnects:  0.00
[  20s] threads: 16, tps: 11.00, reads: 149.00, writes: 55.00, response time: 2074.59ms (95%), errors: 0.00, reconnects:  0.00
[  21s] threads: 16, tps: 7.00, reads: 123.00, writes: 25.00, response time: 1951.70ms (95%), errors: 0.00, reconnects:  0.00
[  22s] threads: 16, tps: 8.00, reads: 108.00, writes: 38.00, response time: 2142.12ms (95%), errors: 0.00, reconnects:  0.00
[  23s] threads: 16, tps: 6.00, reads: 60.99, writes: 18.00, response time: 2492.44ms (95%), errors: 0.00, reconnects:  0.00
[  24s] threads: 16, tps: 4.00, reads: 55.00, writes: 3.00, response time: 2840.76ms (95%), errors: 0.00, reconnects:  0.00
[  25s] threads: 16, tps: 3.00, reads: 63.99, writes: 30.00, response time: 3563.24ms (95%), errors: 0.00, reconnects:  0.00
[  26s] threads: 16, tps: 4.00, reads: 53.00, writes: 13.00, response time: 3558.98ms (95%), errors: 0.00, reconnects:  0.00
[  27s] threads: 16, tps: 5.00, reads: 48.00, writes: 15.00, response time: 5001.92ms (95%), errors: 0.00, reconnects:  0.00
[  28s] threads: 16, tps: 2.00, reads: 45.00, writes: 8.00, response time: 4524.67ms (95%), errors: 0.00, reconnects:  0.00
[  29s] threads: 16, tps: 2.00, reads: 34.00, writes: 19.00, response time: 5795.59ms (95%), errors: 0.00, reconnects:  0.00
[  30s] threads: 16, tps: 6.00, reads: 62.01, writes: 8.00, response time: 4838.46ms (95%), errors: 0.00, reconnects:  0.00
[  31s] threads: 16, tps: 1.00, reads: 46.00, writes: 14.00, response time: 5937.83ms (95%), errors: 0.00, reconnects:  0.00
[  32s] threads: 16, tps: 4.00, reads: 52.00, writes: 23.00, response time: 5788.65ms (95%), errors: 0.00, reconnects:  0.00
[  33s] threads: 16, tps: 6.00, reads: 61.00, writes: 15.00, response time: 5557.73ms (95%), errors: 0.00, reconnects:  0.00
[  34s] threads: 16, tps: 1.00, reads: 42.00, writes: 11.00, response time: 4577.80ms (95%), errors: 0.00, reconnects:  0.00
[  35s] threads: 16, tps: 5.00, reads: 60.00, writes: 18.00, response time: 5300.99ms (95%), errors: 0.00, reconnects:  0.00
[  36s] threads: 16, tps: 0.00, reads: 27.00, writes: 8.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  37s] threads: 16, tps: 10.00, reads: 49.00, writes: 18.00, response time: 5104.78ms (95%), errors: 0.00, reconnects:  0.00
[  38s] threads: 16, tps: 1.00, reads: 71.01, writes: 12.00, response time: 3348.15ms (95%), errors: 0.00, reconnects:  0.00
[  39s] threads: 16, tps: 2.00, reads: 40.00, writes: 4.00, response time: 4630.17ms (95%), errors: 0.00, reconnects:  0.00
[  40s] threads: 16, tps: 2.00, reads: 41.00, writes: 18.00, response time: 5447.38ms (95%), errors: 0.00, reconnects:  0.00
[  41s] threads: 16, tps: 5.00, reads: 43.00, writes: 18.00, response time: 5194.18ms (95%), errors: 0.00, reconnects:  0.00
[  42s] threads: 16, tps: 3.00, reads: 49.00, writes: 17.00, response time: 5766.17ms (95%), errors: 0.00, reconnects:  0.00
[  43s] threads: 16, tps: 5.00, reads: 66.99, writes: 11.00, response time: 5253.60ms (95%), errors: 0.00, reconnects:  0.00
[  44s] threads: 16, tps: 7.00, reads: 44.00, writes: 16.00, response time: 6456.96ms (95%), errors: 0.00, reconnects:  0.00
[  45s] threads: 16, tps: 0.00, reads: 72.00, writes: 13.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  46s] threads: 16, tps: 1.00, reads: 24.00, writes: 12.00, response time: 3182.04ms (95%), errors: 0.00, reconnects:  0.00
[  47s] threads: 16, tps: 2.00, reads: 23.00, writes: 13.00, response time: 4895.27ms (95%), errors: 0.00, reconnects:  0.00
[  48s] threads: 16, tps: 7.00, reads: 48.00, writes: 14.00, response time: 6420.34ms (95%), errors: 0.00, reconnects:  0.00
[  49s] threads: 16, tps: 3.00, reads: 59.00, writes: 6.00, response time: 6336.33ms (95%), errors: 0.00, reconnects:  0.00
[  50s] threads: 16, tps: 1.00, reads: 52.00, writes: 12.00, response time: 5388.99ms (95%), errors: 0.00, reconnects:  0.00
[  51s] threads: 16, tps: 3.00, reads: 40.00, writes: 20.00, response time: 6583.82ms (95%), errors: 0.00, reconnects:  0.00
[  52s] threads: 16, tps: 5.00, reads: 41.00, writes: 19.00, response time: 5660.14ms (95%), errors: 0.00, reconnects:  0.00
[  53s] threads: 16, tps: 5.00, reads: 51.00, writes: 5.00, response time: 5501.45ms (95%), errors: 0.00, reconnects:  0.00
[  54s] threads: 16, tps: 1.00, reads: 56.01, writes: 14.00, response time: 4837.01ms (95%), errors: 0.00, reconnects:  0.00
[  55s] threads: 16, tps: 4.00, reads: 27.00, writes: 19.00, response time: 5577.73ms (95%), errors: 0.00, reconnects:  0.00
[  56s] threads: 16, tps: 5.00, reads: 54.00, writes: 10.00, response time: 5771.35ms (95%), errors: 0.00, reconnects:  0.00
[  57s] threads: 16, tps: 0.00, reads: 69.00, writes: 21.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  58s] threads: 16, tps: 7.00, reads: 53.00, writes: 11.00, response time: 5991.39ms (95%), errors: 0.00, reconnects:  0.00
[  59s] threads: 16, tps: 3.00, reads: 75.00, writes: 28.00, response time: 4808.14ms (95%), errors: 0.00, reconnects:  0.00
[  60s] threads: 16, tps: 9.00, reads: 45.00, writes: 10.00, response time: 5166.27ms (95%), errors: 0.00, reconnects:  0.00
[  61s] threads: 16, tps: 0.00, reads: 48.00, writes: 11.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
[  62s] threads: 16, tps: 4.00, reads: 37.00, writes: 10.00, response time: 4695.77ms (95%), errors: 0.00, reconnects:  0.00
[  63s] threads: 16, tps: 2.00, reads: 53.00, writes: 11.00, response time: 4911.42ms (95%), errors: 0.00, reconnects:  0.00
[  64s] threads: 16, tps: 2.00, reads: 41.00, writes: 15.00, response time: 4249.00ms (95%), errors: 0.00, reconnects:  0.00
[  65s] threads: 16, tps: 4.00, reads: 37.00, writes: 12.00, response time: 5408.38ms (95%), errors: 0.00, reconnects:  0.00
[  66s] threads: 16, tps: 1.00, reads: 31.00, writes: 17.00, response time: 6107.28ms (95%), errors: 0.00, reconnects:  0.00
[  67s] threads: 16, tps: 6.00, reads: 60.00, writes: 12.00, response time: 6792.01ms (95%), errors: 0.00, reconnects:  0.00
[  68s] threads: 16, tps: 4.00, reads: 43.00, writes: 5.00, response time: 5918.31ms (95%), errors: 0.00, reconnects:  0.00
[  69s] threads: 16, tps: 1.00, reads: 56.00, writes: 20.00, response time: 6808.29ms (95%), errors: 0.00, reconnects:  0.00
[  70s] threads: 16, tps: 5.00, reads: 55.00, writes: 10.00, response time: 5211.31ms (95%), errors: 0.00, reconnects:  0.00
[  71s] threads: 16, tps: 2.00, reads: 65.00, writes: 54.00, response time: 6216.10ms (95%), errors: 0.00, reconnects:  0.00
[  72s] threads: 16, tps: 14.00, reads: 122.00, writes: 0.00, response time: 4743.80ms (95%), errors: 0.00, reconnects:  0.00
[  73s] threads: 16, tps: 0.00, reads: 72.00, writes: 25.00, response time: 0.00ms (95%), errors: 0.00, reconnects:  0.00
