procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  0 810964 120481000  15248 726712    0    0    60   310    0    0 12  9 78  1  0
 1 16 810964 120405280  16800 729256    0    0  9056    72 2303 4866  1  0 77 22  0
 1 13 810964 120395832  16840 730476    0    0  5904    88 1770 3158  2  0 73 25  0
 2 17 810964 120365456  16896 730988    0    0  4016   128 1709 3751  2  1 79 18  0
 1 15 810964 120351872  16936 731016    0    0  4208    90 1544 2594  2  1 79 18  0
 2 15 810964 120340816  16984 730996    0    0  3664   108 1775 3215  2  1 84 12  0
 1 14 810964 120335456  17032 731024    0    0  4396   146 1653 2868  2  1 88  9  0
 2 16 810964 120333904  17080 731048    0    0  3924   116 1840 3810  2  2 88  8  0
 2 12 810964 120321776  17120 731076    0    0  4176   120 1475 2534  2  2 89  6  0
 1 15 810964 120319328  17164 731144    0    0  4192   128 1741 6164  2  1 89  7  0
 2 15 810964 120313016  17212 731192    0    0  3916   144 1486 2746  2  1 92  5  0
 2 15 810964 120307424  17268 731196    0    0  4320   216 1684 3665  2  2 92  4  0
 1 14 810964 120306264  17316 731240    0    0  4036   136 1548 3076  2  2 92  4  0
 2 18 810964 120302680  17364 731264    0    0  4096   120 1594 3921  2  1 92  5  0
 2 15 810964 120303040  17420 731288    0    0  4276   140 1547 3149  2  1 93  4  0
 2 15 810964 120301440  17464 731328    0    0  3888   188 1637 3308  2  2 91  5  0
 3 15 810964 120293600  17520 731368    0    0  3660   157 1444 2732  2  2 93  3  0
 2 15 810964 120279488  17560 731404    0    0  3976   103 1761 3896  2  1 92  5  0
 2 16 810964 120277768  17600 731440    0    0  4000   120 1432 2825  2  2 91  5  0
 1 16 810964 120278176  17648 731476    0    0  3744   148 1553 3883  2  1 92  5  0
 3 11 810964 120271760  17808 733600    0    0  6560   148 1544 2965  2  1 92  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 16 810964 120256448  18096 739976    0    0 11104   201 1940 4123  2  2 90  6  0
 2 23 810964 120249504  18120 741380    0    0  5616   791 1610 6552  2  1 89  8  0
 1 15 810964 120216816  18156 750896    0    0 16068  8408 1804 3913  2  2 90  6  0
 1 10 810964 120202576  18180 760920    0    0 42736 32904 1195 2412  2  0 91  6  0
 2 19 810964 120222424  18196 747588    0    0 28432 36944 1266 2749  2  0 91  6  0
 1 18 810964 120182440  18224 777096    0    0 43312 30865 1198 2510  2  1 90  7  0
 1 14 810964 120203184  18252 754876    0    0 31780 30855 1386 2731  2  0 91  6  0
 2 12 810964 120195056  20792 757628    0    0 44892 41048 2037 3188  2  2 87  9  0
 2 15 810964 120192896  20800 757556    0    0 31568 30788 1415 2458  2  2 90  5  0
 1 17 810964 120190728  20808 758400    0    0 41904 41016 1110 1726  2  0 92  5  0
 3 17 810964 120187664  20828 759084    0    0 42132 41069 1470 2321  2  2 88  7  0
 1 13 810964 120188280  20844 757716    0    0 41920 41043 1078 1685  2  1 91  6  0
 2 16 810964 120189424  20860 757532    0    0 32176 30796 1637 2659  2  2 90  7  0
 2 15 810964 120180376  20872 767668    0    0 31828 32828 1066 1752  2  1 92  5  0
 1 16 810964 120188504  20888 757572    0    0 52544 49248 1420 5109  2  1 92  4  0
 1 14 810964 120187712  20904 757664    0    0 41664 41117 1121 1853  2  0 93  5  0
 1 15 810964 120178576  20920 767864    0    0 42384 41039 1396 2795  2  0 94  4  0
 2  2 810964 120164096  20928 779688    0    0  4084  8228 1605 2595  2  1 93  4  0
 1 20 810964 120162832  20948 778532    0    0 52320 43160 1129 2393  2  0 86 11  0
 2 17 810964 120168784  20960 769720    0    0 42752 41088 1151 2105  2  0 90  7  0
 1 16 810964 120173552  20984 759412    0    0 32336 30837 1343 2725  2  0 93  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 10 810964 120170408  21004 759404    0    0 41956 41055 1087 1964  2  0 91  7  0
 1 16 810964 120168432  21020 759428    0    0 42672 41048 1176 2659  2  0 91  6  0
 1 16 810964 120155152  21036 768980    0    0 52496 51284 1079 1840  2  0 92  6  0
 1 13 810964 120163088  21048 759432    0    0 22052 20584 1260 2867  2  0 92  6  0
 1 15 810964 120150784  21072 769772    0    0 52720 51341 1144 1855  2  1 91  6  0
 2 16 810964 120132608  21080 788936    0    0 41968 41023 1493 2551  2  1 91  6  0
 1 16 810964 120162224  21096 760016    0    0 42148 41076 1244 4424  2  1 91  5  0
 3 11 810964 120142800  21108 776920    0    0 32144 41040 1714 2885  2  2 87  8  0
 1 15 810964 120160208  21124 759608    0    0 31824 20592 1310 1816  2  2 88  7  0
 1 15 810964 120158528  21140 759648    0    0 42016 41133 1182 2387  2  0 93  5  0
 2 14 810964 120156016  21160 762696    0    0 42292 41051 1166 1842  2  1 92  5  0
 2 13 810964 120158944  21168 759724    0    0 42080 41008 1447 2473  2  2 88  8  0
 2 16 810964 120159224  21184 759736    0    0 41920 41076 1259 1599  2  2 91  4  0
 2 15 810964 120155328  21204 759732    0    0 32436 30800 1518 2874  2  2 90  6  0
 1 16 810964 120153104  21220 759756    0    0 52352 51269 1131 1541  2  1 88  9  0
 2 13 810964 120151744  21236 760464    0    0 42288 41091 1567 2893  2  1 89  8  0
 2 16 810964 120146232  21256 761088    0    0 42468 41064 1167 1976  2  1 91  6  0
 2 14 810964 120138176  21272 768656    0    0 41936 41044 1469 2445  2  2 89  6  0
 1 16 810964 120145280  21288 759748    0    0 41968 41056 1126 1963  2  0 90  7  0
