procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  2 810960 120473664  17768 727288    0    0    62   311    0    0 12  9 78  1  0
 1 14 810960 120405792  19308 730672    0    0 10168    50 2682 4964  1  0 79 20  0
 1 12 810960 120373832  19360 731108    0    0  4528   170 1808 2974  2  0 75 23  0
 2 17 810960 120348912  19416 731144    0    0  4336   120 1914 3775  2  1 74 23  0
 4 12 810960 120338784  19456 731200    0    0  4240    88 1664 2571  2  0 69 29  0
 1 15 810960 120331800  19504 731192    0    0  3908   124 1970 6241  2  1 69 28  0
 2 14 810960 120322048  19544 731220    0    0  4328    88 1899 3018  2  1 64 32  0
 1 16 810960 120315104  19592 731252    0    0  4060   212 2093 3588  2  2 74 22  0
 2 12 810960 120302752  19640 731244    0    0  4108   120 1551 2698  2  1 85 12  0
 1 15 810960 120302648  19680 731284    0    0  3552   108 1531 3427  2  1 87 10  0
 2 16 810960 120303408  19720 731308    0    0  3628   188 1475 2548  2  1 89  7  0
 1 16 810960 120302872  19768 731332    0    0  3392   132 1781 3708  2  1 83 13  0
 2 15 810960 120299360  19816 731380    0    0  3516   124 1528 2757  2  1 82 15  0
 3 17 810960 120294208  19864 731416    0    0  3760   144 1710 3276  2  1 83 13  0
 1 16 810960 120290288  19912 731424    0    0  3652   140 1707 2624  2  2 75 21  0
 1 14 810960 120289136  19944 731516    0    0  4252   104 1872 3767  2  1 79 18  0
 2 17 810960 120280144  19984 731544    0    0  3456    96 1404 2832  2  1 87 10  0
 1 15 810960 120276368  20032 731568    0    0  3744   140 1771 3601  2  1 89  7  0
 1  9 810960 120275552  20080 731620    0    0  4404   124 1628 6071  2  1 91  6  0
 1 11 810960 120273896  20128 731636    0    0  3536   128 1800 4160  2  1 90  6  0
 2 14 810960 120265776  20276 733012    0    0  6212    92 1537 3158  2  1 92  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 19 810960 120240376  20740 742636    0    0 13316   156 1991 4037  3  2 87  9  0
 1 17 810960 120225680  20788 741632    0    0 34288  1296 1446 4327  2  1 91  6  0
 1 15 810960 120235392  20812 741668    0    0 49408  1068 1331 6353  2  1 93  4  0
 1 13 810960 120218536  20844 746628    0    0 32660 13412 1322 3870  2  1 92  5  0
 2 16 810960 120216824  20860 749440    0    0 42752 27716 1506 5151  3  2 90  6  0
 2 19 810960 120202840  20880 754744    0    0 42704 26708 1485 4708  3  2 87  8  0
