procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  1 810940 120476632  15220 729260    0    0    66   313    0    0 12  9 78  1  0
 1 16 810940 120409040  16896 732504    0    0 10408     0 2335 4887  1  0 81 18  0
 1 16 810940 120371152  19468 732792    0    0  7100   124 2149 4262  2  0 77 20  0
 1 16 810940 120370336  19500 733552    0    0  4464    72 1644 3316  2  0 79 18  0
 2 16 810940 120351120  19548 733528    0    0  3632   173 1353 2739  2  0 78 20  0
 2 17 810940 120335408  19588 733568    0    0  3884   127 1935 3270  2  2 79 17  0
 2 17 810940 120329856  19636 733552    0    0  3540   144 1656 2437  2  2 75 20  0
 1 13 810940 120321160  19676 733608    0    0  4428   116 2095 3688  2  2 75 21  0
 1 16 810940 120317560  19716 733672    0    0  4108    96 1726 5626  2  1 78 19  0
 2 14 810940 120310176  19756 733676    0    0  3816    84 1985 3312  2  2 82 13  0
 2 16 810940 120305760  19812 733684    0    0  3940   260 1782 2870  2  2 80 16  0
 2 15 810940 120302576  19860 733756    0    0  3688   120 1864 3450  3  2 82 14  0
 2 13 810940 120299840  19892 733796    0    0  3704   176 1592 2791  2  1 80 17  0
 1 22 810940 120299104  19940 733836    0    0  3900   120 1696 3439  2  1 78 19  0
 1 15 810940 120299344  19988 733832    0    0  3008   140 1507 2566  2  1 79 18  0
 3 16 810940 120295296  20036 733900    0    0  3628   144 1807 3699  2  1 85 11  0
 1 14 810940 120287872  20212 733804    0    0  3820   108 1644 2884  2  1 83 13  0
 1 14 810940 120285712  20260 733976    0    0  3760   132 1919 3691  2  1 75 21  0
 1 15 810940 120277984  20316 733968    0    0  4020   152 1597 3076  2  1 83 14  0
 1 16 810940 120275824  20356 734020    0    0  3376   104 1547 3411  2  1 93  4  0
 2 16 810940 120267696  20420 736192    0    0  5684   168 1566 3316  2  1 91  5  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2 15 810940 120251088  20712 743948    0    0 11856   756 1979 6634  3  2 90  6  0
 1 14 810940 120235640  20752 745024    0    0 14176   224 1406 2832  2  1 91  5  0
 2 17 810940 120223616  20776 755744    0    0 42464 41104 1316 2935  2  1 91  6  0
 1 16 810940 120223312  20784 754200    0    0 28528 30756 1121 1716  2  1 91  5  0
 1 14 810940 120219264  20828 759812    0    0 22048 16640 1406 3155  2  1 93  4  0
 2 16 810940 120204384  20844 770776    0    0 42344 41004 1116 1700  2  1 92  5  0
 2 17 810940 120199568  20860 770172    0    0 32112 30812 1444 2430  2  2 90  5  0
 2 19 810940 120205016  20868 759936    0    0 42112 41032 1254 1688  2  2 89  7  0
 1 13 810940 120196256  20888 770196    0    0 31572 32860 1287 2468  2  1 91  6  0
 2 19 810940 120185912  20904 779984    0    0 52736 49236 1184 1864  2  1 92  6  0
 2 16 810940 120189312  20920 770336    0    0 21632 20544 1434 2280  2  2 91  5  0
 2 16 810940 120198832  20936 759576    0    0 42304 41060 1299 1831  2  2 91  5  0
 1 16 810940 120198680  20948 760424    0    0 32212 30768 1329 2535  2  1 90  6  0
 2 15 810940 120193440  20968 766224    0    0 42208 41032 1116 4301  2  0 93  5  0
 2 15 810940 120198304  20984 760628    0    0 32304 30884 1711 2885  2  2 89  7  0
 1 13 810940 120185752  20996 769448    0    0 41652 49200 1083 1397  2  1 92  5  0
 1 12 810940 120191280  21016 760112    0    0 42096 32872 1342 2738  2  1 89  7  0
