engine,ts,tps
wt,0,31603
wt,10,33781
wt,20,31750
wt,30,33777
wt,40,33525
wt,50,31615
wt,60,29888
wt,70,29309
wt,80,30414
wt,90,30566
wt,100,29769
wt,110,30218
wt,120,30130
wt,130,27128
wt,140,27074
wt,150,26869
wt,160,28728
wt,170,29759
wt,180,29696
wt,190,31368
wt,200,29843
wt,210,30123
wt,220,28581
wt,230,29485
wt,240,28954
wt,250,30507
wt,260,29537
wt,270,29747
wt,280,30903
wt,290,28352
wt,300,28306
wt,310,28379
wt,320,26970
wt,330,24419
wt,340,26775
wt,350,28010
wt,360,29941
wt,370,29771
wt,380,29894
wt,390,28430
wt,400,25780
wt,410,28192
wt,420,26336
wt,430,29617
wt,440,28506
wt,450,29149
wt,460,28329
wt,470,26398
wt,480,26423
wt,490,26493
wt,500,28869
wt,510,30673
wt,520,28654
wt,530,29523
wt,540,28637
wt,550,28603
wt,560,27504
wt,570,28225
wt,580,27180
wt,590,29068
wt,600,30508
wt,610,29601
wt,620,27502
wt,630,29285
wt,640,27260
wt,650,25771
wt,660,29043
wt,670,26746
wt,680,31586
wt,690,30569
wt,700,31584
wt,710,31709
wt,720,30029
wt,730,30853
wt,740,29371
wt,750,30484
wt,760,27006
wt,770,28740
wt,780,25933
wt,790,30593
wt,800,31118
wt,810,28922
wt,820,28637
wt,830,29107
wt,840,30108
wt,850,28538
wt,860,29233
wt,870,31741
wt,880,27341
wt,890,23965
wt,900,24608
wt,910,26001
wt,920,25973
wt,930,27614
wt,940,28444
wt,950,27655
wt,960,26523
wt,970,31047
wt,980,29644
wt,990,28554
wt,1000,30473
wt,1010,26896
wt,1020,29045
wt,1030,27910
wt,1040,28567
wt,1050,27614
wt,1060,30100
wt,1070,32589
wt,1080,30464
wt,1090,30459
wt,1100,30602
wt,1110,31019
wt,1120,29892
wt,1130,26139
wt,1140,25489
wt,1150,24593
wt,1160,25950
wt,1170,25242
wt,1180,24945
wt,1190,25253
wt,1200,26857
wt,1210,26828
wt,1220,24757
wt,1230,25214
wt,1240,25204
wt,1250,25328
wt,1260,25325
wt,1270,25676
wt,1280,25790
wt,1290,25438
wt,1300,27615
wt,1310,24843
wt,1320,23677
wt,1330,23684
wt,1340,23780
wt,1350,25192
wt,1360,23815
wt,1370,23509
wt,1380,23401
wt,1390,24951
wt,1400,25345
wt,1410,22625
wt,1420,24043
wt,1430,23666
wt,1440,24370
wt,1450,23550
