You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  96   0   0   0|  16M   23M|   0     0 |   0     0 |  24k   66k
  1   1  96   2   0   0|  50M   47k| 224k 2189k|   0     0 |5717    10k
 26   4  39  30   0   1| 443M   13k|  10M  101M|   0     0 | 170k  295k
 47   8  23  21   0   1| 435M 4915B|  16M  162M|   0     0 | 257k  613k
 56  10  23   8   0   2| 362M 5734B|  18M  185M|   0     0 | 293k  808k
 57  10  27   4   0   2| 288M 6554B|  18M  186M|   0     0 | 285k  824k
 57  10  28   3   0   2| 244M 6963B|  18M  187M|   0     0 | 282k  830k
 57  10  29   2   0   2| 212M 6963B|  18M  187M|   0     0 | 280k  834k
 57  10  30   2   0   2| 186M 7373B|  18M  188M|   0     0 | 279k  837k
 56  10  30   2   0   2| 167M 7373B|  18M  187M|   0     0 | 275k  835k
 56  10  31   2   0   2| 152M 7373B|  18M  188M|   0     0 | 274k  836k
 56  10  31   1   0   2| 141M 7373B|  18M  187M|   0     0 | 271k  827k
 56  10  31   1   0   2| 131M 7782B|  18M  188M|   0     0 | 271k  836k
 56  10  31   1   0   2| 123M   24k|  18M  189M|   0     0 | 273k  840k
 56  10  31   1   0   2| 115M   15k|  18M  188M|   0     0 | 270k  835k
 56  10  31   1   0   2| 109M 8192B|  18M  188M|   0     0 | 269k  836k
 56  10  32   1   0   2| 104M 8192B|  18M  188M|   0     0 | 268k  836k
 56  10  31   1   0   2|  99M 8602B|  18M  188M|   0     0 | 272k  838k
 56  10  31   1   0   2|  95M 8602B|  18M  188M|   0     0 | 268k  838k
 54  10  34   1   0   2|  87M 9011B|  18M  181M|   0     0 | 258k  806k
