You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  96   0   0   0|  15M   23M|   0     0 |   0     0 |  24k   65k
  0   2  98   0   0   0| 357k   30M|1003B   15k|   0     0 |1091  1247 
  4   2  70  24   0   0| 315M   45k|3084k   19M|   0     0 |  58k  108k
  7   2  58  33   0   0| 468M 4915B|5326k   33M|   0     0 |  94k  155k
  8   2  58  31   0   0| 471M 5734B|6029k   38M|   0     0 |  99k  158k
  8   2  58  31   0   0| 474M 6963B|6760k   42M|   0     0 | 107k  163k
  9   3  56  32   0   0| 476M 7373B|7514k   47M|   0     0 | 114k  168k
 10   3  56  31   0   0| 477M 7373B|8283k   51M|   0     0 | 126k  174k
 11   3  52  34   0   0| 478M 7782B|9092k   56M|   0     0 | 132k  181k
 13   3  49  36   0   0| 479M 8602B|9976k   62M|   0     0 | 144k  194k
 15   3  47  35   0   0| 480M 8192B|  11M   68M|   0     0 | 156k  208k
 17   3  43  36   0   0| 480M 8602B|  12M   75M|   0     0 | 170k  225k
 20   4  45  31   0   1| 480M 9011B|  13M   83M|   0     0 | 186k  246k
 22   4  43  30   0   1| 480M   24k|  15M   92M|   0     0 | 203k  276k
 26   5  38  30   0   1| 480M   23k|  17M  105M|   0     0 | 228k  321k
 31   6  33  29   0   1| 480M 9830B|  19M  121M|   0     0 | 261k  389k
 38   8  28  25   0   1| 479M 9830B|  22M  140M|   0     0 | 302k  497k
 43   9  25  22   0   2| 475M   10k|  24M  153M|   0     0 | 330k  580k
 47  10  24  17   0   2| 470M   10k|  26M  166M|   0     0 | 359k  656k
 51  11  25  12   0   2| 452M   10k|  27M  175M|   0     0 | 378k  708k
