You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  17M   24M|   0     0 |   0     0 |  24k   67k
  0   2  98   0   0   0| 801k   41k|  64B   33B|   0     0 | 787   812 
  5   2  69  25   0   0| 328M   25k|3223k   20M|   0     0 |  60k  113k
  7   2  57  34   0   0| 468M 1638B|5341k   33M|   0     0 |  90k  155k
  8   2  56  34   0   0| 471M 3686B|6051k   38M|   0     0 |  97k  158k
  8   2  56  33   0   0| 474M 4045B|6784k   42M|   0     0 | 105k  163k
  9   2  56  32   0   0| 476M 4506B|7533k   47M|   0     0 | 114k  168k
 10   3  56  32   0   0| 477M 1229B|8316k   51M|   0     0 | 122k  175k
 11   3  54  32   0   0| 478M 4813B|9112k   57M|   0     0 | 131k  182k
 13   3  49  35   0   0| 479M 1229B|9992k   62M|   0     0 | 145k  196k
 15   3  45  38   0   0| 480M 1229B|  11M   68M|   0     0 | 164k  211k
 17   3  42  37   0   0| 480M 1587B|  12M   75M|   0     0 | 175k  229k
 19   3  39  38   0   0| 480M 1229B|  13M   83M|   0     0 | 194k  253k
 22   4  34  39   0   0| 480M 9421B|  15M   93M|   0     0 | 217k  283k
 26   5  37  31   0   1| 480M   16k|  17M  105M|   0     0 | 232k  322k
 31   6  33  29   0   1| 480M 1229B|  19M  122M|   0     0 | 262k  390k
 38   7  28  25   0   2| 479M 1229B|  22M  141M|   0     0 | 302k  491k
 42   9  26  21   0   2| 475M 1587B|  24M  153M|   0     0 | 331k  574k
 47  10  24  16   0   2| 469M 1229B|  26M  166M|   0     0 | 359k  656k
 51  11  25  12   0   2| 452M 1229B|  27M  175M|   0     0 | 379k  704k
