You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  17M   24M|   0     0 |   0     0 |  25k   68k
  1   1  96   2   0   0|  59M   49k| 347k 3453k|   0     0 |7715    14k
 27   5  38  30   0   1| 443M   10k|  10M  103M|   0     0 | 171k  298k
 47   8  23  20   0   1| 435M 4506B|  16M  164M|   0     0 | 259k  622k
 57  10  23   8   0   2| 361M   15k|  18M  185M|   0     0 | 291k  809k
 57  10  26   4   0   2| 289M 1229B|  18M  187M|   0     0 | 288k  832k
 57  10  28   3   0   2| 244M 1229B|  18M  188M|   0     0 | 285k  835k
 57  10  28   2   0   2| 212M 3174B|  18M  189M|   0     0 | 282k  840k
 57  10  29   2   0   2| 187M 1229B|  18M  189M|   0     0 | 279k  837k
 57  10  30   2   0   2| 168M 1229B|  19M  189M|   0     0 | 282k  842k
 57  10  30   2   0   2| 153M 1536B|  19M  189M|   0     0 | 276k  842k
 57  10  30   1   0   2| 141M 1229B|  18M  189M|   0     0 | 274k  832k
 57  10  30   1   0   2| 132M 1229B|  19M  190M|   0     0 | 275k  843k
 57  10  30   1   0   2| 124M   12k|  19M  190M|   0     0 | 277k  840k
 57  10  31   1   0   2| 116M 6144B|  19M  190M|   0     0 | 272k  842k
 57  10  31   1   0   2| 110M 1229B|  19M  190M|   0     0 | 273k  843k
 57  10  31   1   0   2| 104M 1638B|  19M  191M|   0     0 | 272k  840k
 56  10  31   1   0   2| 100M 1229B|  19M  190M|   0     0 | 271k  840k
 57  10  31   1   0   2|  95M 1229B|  19M  190M|   0     0 | 272k  841k
 53   9  35   1   0   2|  86M 5683B|  18M  179M|   0     0 | 255k  790k
