You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  3   1  96   1   0   0|  18M   24M|   0     0 |   0     0 |  25k   69k
  0   1  99   0   0   0|2995k   48k|  42B    0 |   0     0 | 776   840 
 11   3  56  31   0   0| 444M 9830B|6905k   69M|   0     0 | 113k  171k
 19   4  45  32   0   0| 473M 1229B|  12M  121M|   0     0 | 183k  259k
 29   6  32  32   0   1| 474M   12k|  17M  174M|   0     0 | 253k  439k
 45  10  25  18   0   2| 462M 1229B|  22M  229M|   0     0 | 323k  808k
 53  12  27   6   0   2| 386M 1229B|  24M  246M|   0     0 | 347k  967k
 53  12  29   3   0   2| 316M 4813B|  24M  246M|   0     0 | 344k  979k
 53  13  30   2   0   2| 270M 1229B|  24M  246M|   0     0 | 342k  980k
 53  12  31   2   0   2| 237M 1229B|  24M  247M|   0     0 | 344k  981k
 53  12  31   2   0   2| 214M 1536B|  24M  247M|   0     0 | 339k  985k
 53  12  31   1   0   2| 195M 1229B|  24M  247M|   0     0 | 339k  985k
 53  12  32   1   0   2| 178M 1229B|  24M  247M|   0     0 | 337k  985k
 53  12  32   1   0   2| 167M 9318B|  24M  247M|   0     0 | 339k  988k
 52  12  33   1   0   2| 156M 6144B|  24M  246M|   0     0 | 335k  992k
 52  12  33   1   0   2| 145M 1229B|  24M  246M|   0     0 | 334k  991k
 52  12  33   1   0   2| 138M 1587B|  24M  246M|   0     0 | 334k  993k
 52  12  33   1   0   2| 130M 1229B|  24M  245M|   0     0 | 333k  989k
 52  12  33   1   0   2| 125M 1229B|  24M  245M|   0     0 | 331k  988k
 52  12  33   1   0   2| 118M 4045B|  24M  245M|   0     0 | 331k  991k
