You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  96   0   0   0|  16M   23M|   0     0 |   0     0 |  24k   66k
  1   1  92   5   0   0|  76M   40k| 720k 7295k|   0     0 |  15k   25k
 13   3  54  30   0   0| 467M   12k|8277k   82M|   0     0 | 131k  190k
 21   4  46  28   0   1| 472M 2048B|  13M  131M|   0     0 | 192k  277k
 32   7  32  28   0   1| 473M 6144B|  18M  185M|   0     0 | 262k  499k
 49  10  26  13   0   2| 441M 6963B|  22M  230M|   0     0 | 331k  871k
 53  11  30   5   0   2| 353M 8192B|  23M  232M|   0     0 | 334k  969k
 53  11  31   3   0   2| 293M 7782B|  23M  232M|   0     0 | 332k  965k
 54  11  31   2   0   2| 255M 7782B|  23M  234M|   0     0 | 333k  960k
 54  11  31   2   0   2| 226M 8602B|  23M  235M|   0     0 | 335k  955k
 54  11  31   1   0   2| 203M 8602B|  23M  233M|   0     0 | 328k  947k
 55  11  31   1   0   2| 186M 9011B|  23M  235M|   0     0 | 329k  951k
 55  11  31   1   0   2| 172M 9421B|  23M  235M|   0     0 | 328k  956k
 55  11  31   1   0   2| 161M   25k|  23M  234M|   0     0 | 327k  947k
 55  11  31   1   0   2| 154M   14k|  23M  235M|   0     0 | 327k  946k
 55  11  31   1   0   2| 148M   10k|  23M  235M|   0     0 | 326k  946k
 55  11  32   1   0   2| 140M   10k|  23M  233M|   0     0 | 324k  940k
 55  11  31   1   0   2| 136M   10k|  23M  233M|   0     0 | 324k  942k
 55  11  31   1   0   2| 130M   11k|  23M  234M|   0     0 | 324k  944k
 46   9  42   1   0   2| 108M   11k|  19M  198M|   0     0 | 275k  803k
