You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  96   1   0   0|  16M   24M|   0     0 |   0     0 |  24k   67k
  0   1  98   0   0   0|  27M   49k|  86B  124B|   0     0 |1396  1462 
 11   3  54  32   0   0| 428M   24k|5843k   36M|   0     0 | 104k  193k
 12   3  54  30   0   0| 442M 1229B|7156k   45M|   0     0 | 121k  212k
 14   3  50  32   0   0| 442M 1229B|8251k   51M|   0     0 | 138k  221k
 16   3  44  36   0   0| 444M 7322B|9283k   58M|   0     0 | 149k  230k
 18   4  48  30   0   0| 445M 1229B|  10M   64M|   0     0 | 159k  241k
 19   4  47  30   0   1| 445M 1229B|  11M   70M|   0     0 | 170k  253k
 22   4  46  27   0   1| 445M 1536B|  12M   76M|   0     0 | 182k  266k
 24   4  46  25   0   1| 445M 1229B|  13M   83M|   0     0 | 194k  281k
 27   4  40  28   0   1| 444M 1229B|  14M   92M|   0     0 | 213k  309k
 29   5  35  30   0   1| 443M 1536B|  15M   97M|   0     0 | 227k  332k
 30   5  35  29   0   1| 442M 1229B|  16M  100M|   0     0 | 236k  339k
 30   5  35  29   0   1| 442M   11k|  16M  101M|   0     0 | 235k  345k
 30   5  35  29   0   1| 441M   10k|  16M  102M|   0     0 | 236k  349k
 30   5  35  29   0   1| 440M 1229B|  16M  102M|   0     0 | 237k  350k
 31   5  35  29   0   1| 440M 1229B|  16M  103M|   0     0 | 240k  353k
 31   5  35  29   0   1| 439M 5683B|  16M  103M|   0     0 | 241k  355k
 31   5  35  28   0   1| 439M 1229B|  16M  103M|   0     0 | 240k  357k
 31   5  34  29   0   1| 438M 1229B|  16M  104M|   0     0 | 242k  363k
