You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
  2   1  96   0   0   0|  15M   23M|   0     0 |   0     0 |  23k   65k
  0   1  98   0   0   0|  21M   10k| 972B   15k|   0     0 |1476  1728 
  9   2  60  28   0   0| 388M   56k|5171k   32M|   0     0 |  94k  174k
 12   3  54  30   0   0| 438M 4096B|6973k   44M|   0     0 | 118k  210k
 14   3  53  30   0   0| 438M 6144B|8060k   50M|   0     0 | 131k  220k
 16   3  51  29   0   0| 440M 6963B|9069k   56M|   0     0 | 143k  230k
 17   3  51  28   0   0| 441M 6963B|  10M   62M|   0     0 | 156k  239k
 19   4  46  30   0   0| 442M 6963B|  11M   69M|   0     0 | 167k  252k
 21   4  41  34   0   1| 442M 7373B|  12M   75M|   0     0 | 182k  266k
 23   4  39  33   0   1| 441M 7782B|  13M   82M|   0     0 | 195k  285k
 25   5  40  29   0   1| 440M 7782B|  14M   89M|   0     0 | 208k  303k
 28   5  36  31   0   1| 439M 7782B|  15M   98M|   0     0 | 227k  333k
 32   5  34  28   0   1| 438M 7782B|  17M  107M|   0     0 | 247k  367k
 33   5  32  28   0   1| 437M   28k|  17M  111M|   0     0 | 255k  385k
 34   6  32  27   0   1| 437M   19k|  18M  114M|   0     0 | 265k  399k
 34   6  32  27   0   1| 436M 8602B|  18M  115M|   0     0 | 266k  404k
 35   6  31  27   0   1| 435M 8602B|  18M  116M|   0     0 | 267k  412k
 35   6  32  27   0   1| 434M 8602B|  18M  116M|   0     0 | 267k  413k
 35   6  31  26   0   1| 433M 8602B|  18M  117M|   0     0 | 269k  417k
 35   6  31  27   0   1| 432M 9011B|  18M  117M|   0     0 | 274k  422k
