"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem100-rocks-ext4-rocks0-uniform-100-oltp_ro.log 10",,,,"Date:","31 May 2016 23:33:13 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.665,4.358,79.883,0.234,0.0,0.861,638695.901,44601117.171,0.0,0.0,18183.711,102647.792,210884.990,324060.179
18.902,6.056,66.948,6.908,0.0,1.187,215359539.200,27545.600,12431667.400,27121089.200,0.0,0.0,267057.700,333576.400
48.337,15.014,28.390,4.761,0.0,3.498,331769036.800,16076.800,32637218.700,71094777.400,0.0,0.0,712488.200,913789.100
48.089,14.917,31.028,2.543,0.0,3.422,250525286.400,1638.400,32829557.500,71988379.200,0.0,0.0,708285.800,915462.800
47.577,14.565,32.567,1.852,0.0,3.438,199631257.600,1638.400,32806724.600,71842727.300,0.0,0.0,701834.300,908430.100
47.558,14.371,33.242,1.457,0.0,3.372,161410252.800,1945.600,32921854.800,72011806.800,0.0,0.0,703414.0,910005.700
47.535,14.263,33.645,1.165,0.0,3.392,130509619.200,1638.400,32974888.500,71937260.800,0.0,0.0,700658.300,911680.500
46.839,14.560,34.268,0.944,0.0,3.389,105733324.800,1638.400,32819237.800,71738390.400,0.0,0.0,698942.100,913352.0
46.674,14.724,34.468,0.779,0.0,3.356,85759590.400,1945.600,32620731.800,71642704.500,0.0,0.0,696158.200,912965.0
46.317,14.553,35.074,0.641,0.0,3.415,70087475.200,1638.400,32610701.400,71607857.500,0.0,0.0,695777.600,911878.600
46.204,14.211,35.628,0.525,0.0,3.433,56919244.800,1638.400,32761682.300,71447132.200,0.0,0.0,692772.800,907620.200
45.948,14.275,35.899,0.456,0.0,3.421,47980544.0,1945.600,32735495.200,71541791.100,0.0,0.0,691631.200,905483.400
46.152,13.978,36.105,0.376,0.0,3.389,39623884.800,14336.0,32785899.400,71266877.800,0.0,0.0,690903.100,905526.200
46.188,14.085,36.254,0.311,0.0,3.161,32450560.0,15155.200,32745777.200,71527929.300,0.0,0.0,697155.600,908618.900
45.935,13.972,36.561,0.265,0.0,3.267,26636697.600,8601.600,32649772.200,71156737.300,0.0,0.0,690914.600,906622.100
45.982,13.868,36.603,0.220,0.0,3.326,22102016.0,1638.400,32690129.500,71489058.0,0.0,0.0,689348.600,905002.100
45.865,14.131,36.544,0.186,0.0,3.274,18545459.200,1638.400,32678955.400,71413408.300,0.0,0.0,691498.200,909247.500
45.845,13.782,36.744,0.151,0.0,3.479,15332147.200,6092.800,32712356.600,71332500.0,0.0,0.0,689550.400,905699.300
45.832,13.896,36.813,0.133,0.0,3.326,12860620.800,1638.400,32679360.800,71223497.0,0.0,0.0,693272.400,906377.900
