"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem120-wt-ext4-wt2-pareto-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 02:55:23 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
15.202,4.491,79.157,0.256,0.0,0.893,2446777.083,44008667.136,0.0,0.0,17838.779,100700.640,218453.447,333386.902
11.037,3.280,72.644,12.619,0.0,0.420,218424473.600,31517337.600,6461078.900,55120364.300,0.0,0.0,138074.500,156671.900
49.971,13.627,28.840,4.809,0.0,2.754,336689971.200,11571.200,26865869.500,229131884.300,0.0,0.0,714086.600,983373.200
49.999,13.459,32.380,1.321,0.0,2.841,196886528.0,1638.400,27147862.800,231630223.900,0.0,0.0,720181.200,1000053.800
49.496,13.367,33.514,0.908,0.0,2.714,146238668.800,1638.400,27119103.500,230987928.800,0.0,0.0,716575.500,998590.600
49.387,13.058,34.131,0.693,0.0,2.730,117036236.800,8499.200,27137579.600,231485380.100,0.0,0.0,717202.700,1001840.400
49.119,13.457,34.039,0.553,0.0,2.833,96700006.400,1638.400,27121102.400,231215635.800,0.0,0.0,715017.0,999496.0
49.036,13.109,34.628,0.457,0.0,2.770,80322969.600,1638.400,27023243.100,230567752.100,0.0,0.0,719243.700,998851.900
48.874,13.359,34.647,0.385,0.0,2.735,69559091.200,1945.600,27052584.700,230770630.0,0.0,0.0,712881.900,997087.600
48.552,13.257,35.037,0.346,0.0,2.807,60736716.800,1638.400,26983883.500,230107003.700,0.0,0.0,713294.100,999133.700
48.523,13.345,35.122,0.292,0.0,2.718,53412659.200,1638.400,26957371.400,229960995.0,0.0,0.0,711964.0,997312.300
48.600,13.071,35.435,0.264,0.0,2.630,47755264.0,1945.600,26904069.300,229583558.800,0.0,0.0,712202.200,997165.700
48.723,13.144,35.145,0.232,0.0,2.755,42233446.400,1638.400,26936595.200,229624102.100,0.0,0.0,714042.300,996244.700
48.500,13.159,35.470,0.204,0.0,2.667,37608345.600,13107.200,26941056.700,229694004.200,0.0,0.0,710790.100,995892.500
48.658,13.050,35.439,0.184,0.0,2.669,34423603.200,4454.400,26959286.200,229794365.300,0.0,0.0,711430.100,997479.600
48.392,13.363,35.409,0.173,0.0,2.664,31145574.400,1638.400,27008434.0,230109741.300,0.0,0.0,712085.900,998384.500
48.831,13.009,35.364,0.149,0.0,2.646,28273459.200,1638.400,27046941.100,230748085.900,0.0,0.0,714209.600,997654.700
48.646,12.926,35.573,0.142,0.0,2.714,25498009.600,4454.400,27076645.100,230762991.100,0.0,0.0,710613.100,994969.0
48.966,12.829,35.412,0.127,0.0,2.666,24204902.400,1638.400,27086177.200,230759554.500,0.0,0.0,711630.300,996866.600
