"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem170-rocks-ext4-rocks0-pareto-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 02:06:04 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
15.059,4.459,79.344,0.252,0.0,0.886,2049757.059,44140963.235,0.0,0.0,17921.693,101168.692,216638.861,330956.323
22.997,5.177,62.231,8.735,0.0,0.860,232203827.200,27136.0,8715537.800,74266537.100,0.0,0.0,233088.100,307150.300
57.880,12.843,24.340,2.504,0.0,2.433,218802176.0,2457.600,21687581.700,184827048.600,0.0,0.0,600295.900,839131.200
57.683,12.869,25.627,1.367,0.0,2.454,139543756.800,12800.0,21866638.800,186546850.700,0.0,0.0,598893.200,841989.0
57.738,12.502,26.260,1.037,0.0,2.463,108589056.0,1638.400,21888649.600,186447758.500,0.0,0.0,594381.0,841065.500
57.822,12.763,26.100,0.852,0.0,2.463,90170572.800,1638.400,22016545.500,187739013.700,0.0,0.0,593535.100,840812.400
57.790,12.585,26.512,0.723,0.0,2.390,77524172.800,3584.0,21983737.400,187584720.600,0.0,0.0,592387.400,840505.500
57.569,12.757,26.627,0.628,0.0,2.419,68051353.600,1638.400,21974804.300,186942433.600,0.0,0.0,592038.400,840069.500
57.370,12.844,26.745,0.537,0.0,2.504,58995097.600,1638.400,21943045.200,187196156.100,0.0,0.0,592228.800,842476.800
57.672,12.665,26.702,0.461,0.0,2.500,53392998.400,1945.600,22051152.0,187579025.300,0.0,0.0,591625.400,840897.700
57.420,12.709,27.094,0.408,0.0,2.370,48495820.800,1638.400,21987484.300,187782104.100,0.0,0.0,592177.0,843126.0
57.443,12.522,27.204,0.366,0.0,2.465,43538022.400,1638.400,21946725.400,187164783.600,0.0,0.0,596729.900,843220.500
57.334,12.862,27.000,0.336,0.0,2.467,39998259.200,10547.200,21981229.800,187266079.800,0.0,0.0,591661.0,843048.100
57.315,12.670,27.246,0.305,0.0,2.464,36773171.200,8601.600,21913604.100,186937575.800,0.0,0.0,590343.400,841605.800
57.657,12.703,26.971,0.288,0.0,2.381,33981644.800,1638.400,22005184.700,187558353.700,0.0,0.0,591212.900,842288.800
57.346,12.787,27.116,0.262,0.0,2.489,31152947.200,2048.0,22053748.600,187821391.300,0.0,0.0,595125.0,843278.200
57.330,12.604,27.310,0.245,0.0,2.510,29218406.400,1638.400,21997226.700,187184854.300,0.0,0.0,590114.400,841302.400
57.384,12.700,27.214,0.234,0.0,2.467,27222016.0,1638.400,22031503.500,187850888.800,0.0,0.0,591312.400,842842.900
57.369,12.522,27.360,0.216,0.0,2.533,25085952.0,6092.800,21986916.600,187298367.0,0.0,0.0,590148.900,841471.500
