"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem210-rocks-ext4-rocks0-uniform-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 00:08:00 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.759,4.388,79.747,0.237,0.0,0.868,956573.517,44461712.416,0.0,0.0,18123.403,102307.350,212369.194,325829.571
16.712,5.634,69.837,6.633,0.0,1.184,199491225.600,46613401.600,11192406.300,24436737.800,0.0,0.0,241244.100,301280.800
47.759,15.307,28.341,5.098,0.0,3.495,337796710.400,1638.400,32734258.0,71344682.200,0.0,0.0,721822.900,917207.900
47.274,14.812,31.775,2.586,0.0,3.554,253242982.400,1638.400,32903690.0,72114943.400,0.0,0.0,706769.800,908927.600
46.868,15.037,32.779,1.875,0.0,3.441,201624371.200,15360.0,32933415.500,72045326.700,0.0,0.0,704886.500,911459.700
46.418,14.685,33.942,1.465,0.0,3.490,162387968.0,1638.400,32901987.600,72010644.200,0.0,0.0,700862.500,908253.400
46.370,14.540,34.492,1.190,0.0,3.409,131209625.600,1638.400,32979285.500,71970175.400,0.0,0.0,699662.100,907144.200
46.285,14.656,34.684,0.947,0.0,3.429,106749132.800,3584.0,32947923.900,71928061.900,0.0,0.0,701860.100,910130.400
46.067,14.555,35.256,0.780,0.0,3.342,86399385.600,1638.400,32701730.0,71839059.400,0.0,0.0,696441.500,910382.600
45.797,14.645,35.620,0.639,0.0,3.300,70725222.400,1638.400,32746129.400,71917234.0,0.0,0.0,694980.900,909569.800
45.369,14.610,36.091,0.519,0.0,3.410,57218662.400,1945.600,32790895.900,71506954.0,0.0,0.0,693152.100,907102.900
45.667,14.475,36.087,0.454,0.0,3.317,48220160.0,1638.400,32833194.100,71712889.600,0.0,0.0,694338.100,906966.800
45.477,14.219,36.552,0.379,0.0,3.372,39822540.800,1638.400,32873072.200,71536529.600,0.0,0.0,691846.700,904468.0
45.572,14.324,36.508,0.305,0.0,3.291,32568934.400,19609.600,32835257.300,71719556.100,0.0,0.0,692796.700,908510.100
45.278,14.422,36.659,0.257,0.0,3.384,26804224.0,4096.0,32801651.0,71440333.200,0.0,0.0,691719.500,907332.700
45.580,14.128,36.754,0.219,0.0,3.320,22275686.400,6963.200,32922572.100,72009501.900,0.0,0.0,698446.600,907054.900
45.595,13.942,36.888,0.182,0.0,3.393,18692096.0,3686.400,32919415.900,71912954.900,0.0,0.0,691215.800,905625.600
45.154,14.357,37.008,0.154,0.0,3.327,15338291.200,1638.400,32815392.400,71542887.500,0.0,0.0,689901.100,904749.600
45.309,14.082,37.120,0.129,0.0,3.361,12916736.0,1638.400,32910202.600,71730944.300,0.0,0.0,690785.500,905387.500
