"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","smblade04",,,,"User:","fipar"
"Cmdline:","dstat --output=/home/fipar/perf-32/dstat-mem210-wt-ext4-wt2-uniform-100-oltp_ro.log 10",,,,"Date:","01 Jun 2016 01:13:24 EDT"

"total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",
"usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw"
14.892,4.429,79.552,0.247,0.0,0.881,1666279.172,44262409.630,0.0,0.0,18011.133,101673.583,214995.448,328727.054
12.100,4.092,71.582,11.512,0.0,0.714,214466867.200,33331.200,10357162.800,22633979.800,0.0,0.0,184393.100,206911.900
39.395,12.419,32.283,12.783,0.0,3.120,457639936.0,2457.600,33263243.100,72441128.800,0.0,0.0,672610.600,825223.700
40.922,12.763,39.971,3.070,0.0,3.273,330320281.600,13312.0,34672209.900,75979169.900,0.0,0.0,710307.700,880987.100
40.387,12.553,42.056,1.714,0.0,3.289,245242675.200,1638.400,34865285.500,76280987.100,0.0,0.0,707400.0,879211.600
40.202,12.260,43.237,1.140,0.0,3.160,183295180.800,1638.400,34859583.500,76206529.100,0.0,0.0,706401.600,875743.200
39.982,12.024,44.008,0.812,0.0,3.173,137941811.200,6860.800,34977444.100,76333619.500,0.0,0.0,704413.100,879199.400
39.450,12.237,44.448,0.591,0.0,3.274,103670169.600,1638.400,34852604.800,76239382.0,0.0,0.0,703029.500,880810.100
39.427,12.017,44.941,0.432,0.0,3.182,77423001.600,1638.400,34776994.600,76448347.900,0.0,0.0,701288.200,880134.500
39.341,11.924,45.250,0.320,0.0,3.165,57835110.400,1945.600,34857889.600,76433481.200,0.0,0.0,701189.600,877448.0
39.551,11.823,45.321,0.247,0.0,3.058,44111462.400,1638.400,34929834.200,75969912.0,0.0,0.0,700325.600,878416.200
39.382,11.802,45.498,0.177,0.0,3.142,33034649.600,4915.200,34946190.0,76345836.400,0.0,0.0,700007.300,878242.800
39.247,11.876,45.607,0.136,0.0,3.134,25092915.200,10956.800,34978804.900,76355110.700,0.0,0.0,701730.800,881148.600
39.286,11.735,45.764,0.100,0.0,3.115,18275993.600,19660.800,34890266.200,75963002.0,0.0,0.0,700796.500,878936.0
39.341,11.695,45.776,0.076,0.0,3.113,14127104.0,1638.400,34899898.300,76298420.700,0.0,0.0,699806.100,874687.400
39.075,11.783,45.875,0.055,0.0,3.212,10573414.400,2048.0,34944098.400,76379717.600,0.0,0.0,699411.300,877836.600
39.111,11.842,45.859,0.044,0.0,3.144,7858585.600,1638.400,34872870.700,76066991.700,0.0,0.0,699752.300,879834.900
39.115,11.748,46.001,0.031,0.0,3.105,5869158.400,1638.400,34878494.300,75977724.200,0.0,0.0,699395.800,879021.800
39.210,11.662,45.967,0.024,0.0,3.136,4440064.0,4454.400,34891966.300,76309947.0,0.0,0.0,704749.100,880634.500
