You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
 15   5  79   0   0   1|2611k   42M|   0     0 |  17k   98k| 220k  335k
 11   3  72  13   0   0| 211M   30M|6436k   54M|   0     0 | 141k  162k
 50  14  28   5   0   3| 319M   12k|  26M  218M|   0     0 | 714k  984k
 49  14  32   1   0   3| 186M   15k|  26M  219M|   0     0 | 715k  994k
 49  14  33   1   0   3| 139M 2458B|  26M  219M|   0     0 | 717k  997k
 49  14  34   1   0   3| 112M 2458B|  26M  220M|   0     0 | 713k  996k
 49  14  34   1   0   3|  92M 6042B|  26M  219M|   0     0 | 712k  995k
 49  14  35   0   0   3|  77M 2458B|  26M  219M|   0     0 | 711k  994k
 48  14  35   0   0   3|  66M   16k|  26M  219M|   0     0 | 709k  992k
 49  13  35   0   0   3|  58M 3584B|  26M  219M|   0     0 | 713k  994k
 49  13  35   0   0   3|  51M 5734B|  26M  220M|   0     0 | 709k  993k
 49  14  35   0   0   3|  46M 9421B|  26M  219M|   0     0 | 709k  992k
 49  13  35   0   0   3|  40M 2765B|  26M  219M|   0     0 | 708k  993k
 49  14  35   0   0   3|  36M 4096B|  26M  220M|   0     0 | 714k 1001k
 48  14  35   0   0   3|  33M 2458B|  26M  220M|   0     0 | 712k 1000k
 49  14  35   0   0   3|  30M 2867B|  26M  219M|   0     0 | 710k  997k
 48  14  35   0   0   3|  27M 2458B|  26M  220M|   0     0 | 709k  993k
 48  14  35   0   0   3|  24M 2458B|  26M  219M|   0     0 | 714k  995k
 48  14  35   0   0   3|  23M 5274B|  26M  219M|   0     0 | 706k  989k
