You did not select any stats, using -cdngy by default.
[7l----total-cpu-usage---- -dsk/total- -net/total- ---paging-- ---system--
usr sys idl wai hiq siq| read  writ| recv  send|  in   out | int   csw 
 11   2  83   3   0   0|  32M   67M|   0     0 | 178B   81k|  18k  221k
 63  10  24   0   0   2|   0  9421B|1164B 1403B|   0     0 |  32k  838k
 64  10  23   0   0   2|   0  7373B| 825B   83B|   0     0 |  28k  842k
 65  10  23   0   0   2|   0  7782B| 860B  193B|   0     0 |  30k  841k
 64  10  23   0   0   2|   0  8602B| 825B   90B|   0     0 |  30k  837k
 65  10  23   0   0   2|   0  8192B| 861B  156B|   0     0 |  28k  842k
 65  10  23   0   0   2|   0    11k| 813B   89B|   0     0 |  28k  842k
 65  10  23   0   0   2|   0  9421B| 825B   90B|   0     0 |  28k  841k
 65  10  22   0   0   2|   0  9421B| 825B   83B|   0     0 |  31k  843k
 65  10  23   0   0   2|   0  8602B| 872B  181B|   0     0 |  28k  843k
 65  10  23   0   0   2|   0    13k| 819B   79B|   0     0 |  28k  841k
 64  10  23   0   0   2|   0  9421B| 854B  156B|   0     0 |  28k  843k
 64  10  23   0   0   2|   0    14k| 801B   79B|   0     0 |  29k  840k
 64  10  23   0   0   2|   0    13k| 830B   99B|   0     0 |  28k  841k
 64  10  23   0   0   2|   0    10k| 820B   89B|   0     0 |  28k  844k
 64  10  24   0   0   2| 410B 9421B| 813B   90B|   0     0 |  27k  835k
 64  10  23   0   0   2|   0    13k| 855B  177B|   0     0 |  32k  843k
 64  10  24   0   0   2|   0    10k| 860B  168B|   0     0 |  28k  840k
 64  10  24   0   0   2|   0  9421B| 825B   83B|   0     0 |  28k  839k
 64  10  23   0   0   2|   0  9830B| 807B   83B|   0     0 |  28k  844k
 65  10  23   0   0   2|   0    11k| 819B   79B|   0     0 |  28k  846k
 64  10  23   0   0   2|   0    11k| 807B  105B|   0     0 |  32k  842k
 64  10  23   0   0   2|   0    10k| 879B  189B|   0     0 |  28k  841k
 64  10  23   0   0   2|   0    16k| 878B  156B|   0     0 |  28k  846k
 64  10  24   0   0   2|   0  5734B| 801B   79B|   0     0 |  28k  839k
 64  10  23   0   0   2|   0    15k| 842B   87B|   0     0 |  31k  843k
 64  10  24   0   0   2|   0  8602B| 801B   90B|   0     0 |  28k  840k
 64  10  23   0   0   2|   0  7782B| 825B   90B|   0     0 |  28k  845k
 64  10  23   0   0   2| 410B   10k| 885B  181B|   0     0 |  28k  841k
 64  10  24   0   0   2|   0  8192B| 848B  166B|   0     0 |  29k  839k
 64  10  23   0   0   2|   0  7782B| 823B   97B|   0     0 |  28k  847k
